Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,1.4842479685260596e9,1.9170654745748093e9,1.786675282906331e9,5.1879887260072e9
t1,32137.07648302296,27263.64333763093,20539.596861185855,79940.31668183974
t2,32200.963157237908,27263.64333763093,24028.788163628782,83493.39465849762
t3,32771.63041349638,27263.64333763093,27853.13480099466,87888.40855212197
t4,32771.63041349638,27020.574830976708,29710.586650767247,89502.79189524034
t5,31339.83512623946,27020.574830976708,31907.64460351577,90268.05456073194
t6,30077.469297895852,27020.574830976708,31907.644603515582,89005.68873238814
t7,28955.55527094638,27020.574830976708,31907.644603515582,87883.77470543867
t8,26332.68611532844,27020.574830976708,31907.644603515582,85260.90554982073
t9,28502.028256295755,29008.523126948083,31907.644603515582,89418.19598675941
t10,31166.204491176064,29540.11696598982,29407.459709995266,90113.78116716116
t11,33830.38072605637,31023.243278422073,25149.76151431206,90003.3855187905
t12,36494.55696093668,33083.33755574813,20172.97754286055,89750.87205954536
t13,39158.73319581699,36069.52393394777,14928.316751515875,90156.57388128064
t14,41822.90943069729,37071.34486511318,9473.832057429941,88368.08635324042
t15,42994.24431382617,37071.34486511318,4416.886497665717,84482.47567660507
t16,43895.12230166426,37071.34486511318,615.9364211531799,81582.40358793062
t17,43895.12230166426,33218.62843517942,-0.0,77113.75073684368
t18,41914.52084814157,28855.785181146606,-0.0,70770.30602928817
t19,39415.45008719788,28855.785181146606,-0.0,68271.23526834449
t20,36267.79385506141,24596.87495682908,-0.0,60864.66881189049
t21,33120.13762292494,23949.14088029936,-0.0,57069.278503224305
t22,29972.481390788475,23338.872194451687,-0.0,53311.35358524016
t23,29206.533750934293,23338.872194451687,-0.0,52545.40594538598
t24,29206.533750934293,22849.73189015374,-0.0,52056.26564108803
t25,30032.401853310832,22849.73189015374,-0.0,52882.13374346457
t26,31781.379637595328,24684.396555506963,-0.0,56465.77619310229
t27,33637.25464529171,25823.68522943513,-0.0,59460.93987472684
t28,35487.55240654921,27442.61886288934,-0.0,62930.17126943855
t29,37114.76031025147,29600.593635095378,5151.379268524659,71866.7332138715
t30,38062.47368948339,30726.779671182616,5151.379268524659,73940.63262919067
t31,36010.32633573395,30726.779671182616,5151.379268524659,71888.48527544123
t32,32862.670103597484,26015.08817198892,10302.758537049318,69180.51681263572
t33,29715.01387146101,25257.916462960144,10302.758537049318,65275.68887147047
t34,32081.73348864758,27872.444558894615,15454.137805573977,75408.31585311618
t35,34503.827751473335,27872.444558894615,15454.137805573977,77830.41011594192
t36,37122.873755552486,27872.444558894615,15454.137805573977,80449.45612002107
