Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27173913043478215,-0.2667277819022263,0.04193147256972794
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423.544906058093,-6344.979517707892,0.04193147256972794
