Region,Resource,Zone,Cluster,AnnualSum
MA,MA_natural_gas_combined_cycle,1,1,3.418663182615777e11
CT,CT_natural_gas_combined_cycle,2,1,1.0708657238862105e11
ME,ME_natural_gas_combined_cycle,3,1,2.7212237149957584e10
MA,MA_solar_pv,1,1,2.938939853776793e11
CT,CT_onshore_wind,2,1,3.652480960917183e11
CT,CT_solar_pv,2,1,3.249448269955735e11
ME,ME_onshore_wind,3,1,4.6185676543753595e11
MA,MA_battery,1,0,1.2737561117512442e11
CT,CT_battery,2,0,1.2797896177994923e11
ME,ME_battery,3,0,1.5269963413752448e11
