region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,0.0,0.0,0.0,4.8682642132403314e7,0.0,0.0,3.7606315234059855e7,2.097698406179176e8,0.0,2.1576419972101856e7,0.0,0.0,3.418663182615777e11,0.0,0.0,0.0,0.0,0.0,2.8805842081695654e11,0.0,3.418663182615777e11,2.88376056034913e11,5.349026222666467e10
CT,CT_natural_gas_combined_cycle,2,1,2,0.0,0.0,0.0,1.1042390337682232e7,0.0,0.0,1.2506341499834742e7,5.73306891816681e7,0.0,5.898456472548588e6,0.0,0.0,1.0708657238862105e11,0.0,0.0,0.0,0.0,0.0,9.389794609477588e10,0.0,1.0708657238862105e11,9.398472397226761e10,1.310184841635344e10
ME,ME_natural_gas_combined_cycle,3,1,3,0.0,0.0,0.0,5.589866341777831e6,0.0,0.0,4.119943791854387e6,2.6005702868947934e7,0.0,840568.0777253057,0.0,0.0,2.7212237149957584e10,0.0,0.0,0.0,0.0,0.0,2.11734019476752e10,0.0,2.7212237149957584e10,2.1209958028755505e10,6.00227912120208e9
MA,MA_solar_pv,1,1,4,0.0,0.0,0.0,2.2590586242054912e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.938939853776793e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.938939853776793e11,2.2590586242054912e8,2.936680795152588e11
CT,CT_onshore_wind,2,1,5,0.0,0.0,0.0,4.8382367750461775e8,0.0,0.0,2.9395125017045564e6,0.0,0.0,0.0,0.0,0.0,3.652480960917183e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.652480960917183e11,4.867631900063223e8,3.64761332901712e11
CT,CT_solar_pv,2,1,6,0.0,0.0,0.0,2.470991254211371e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.249448269955735e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.249448269955735e11,2.470991254211371e8,3.2469772787015234e11
ME,ME_onshore_wind,3,1,7,0.0,0.0,0.0,5.866156457370627e8,0.0,0.0,3.751353948501789e6,0.0,0.0,0.0,0.0,0.0,4.6185676543753595e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6185676543753595e11,5.903669996855645e8,4.612663984378504e11
MA,MA_battery,1,0,8,0.0,0.0,0.0,1.4175155075803371e7,1.6216724907967083e7,0.0,946978.0492834179,0.0,1.1188303984917486e6,0.0,1.0448674603242604e11,0.0,1.2737561117512442e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2737561117512442e11,1.0451920372085759e11,2.285640745426683e10
CT,CT_battery,2,0,9,0.0,0.0,0.0,3.1804637508384157e7,3.638528499426992e7,0.0,930582.5248102902,0.0,1.0994595047380568e6,0.0,7.362184955742029e10,0.0,1.2797896177994923e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2797896177994923e11,7.369206952195248e10,5.428689225799675e10
ME,ME_battery,3,0,10,0.0,0.0,0.0,2.7408697303726304e7,3.135622163449793e7,0.0,1.0535450548303637e6,0.0,1.2447365959716034e6,0.0,8.652022843716298e10,0.0,1.5269963413752448e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5269963413752448e11,8.6581291637752e10,6.611834249977248e10
