Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39690.56016072112,19786.661887533326,80429.64423999292
n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39522.61008927336,19786.661887533326,81405.00175876555
n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39586.496763488314,19786.661887533326,81405.00175876555
n4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40157.164019746786,19786.661887533326,85229.34839613142
n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40157.164019746786,19543.593380879105,87086.80024590401
n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38725.368732489864,19543.593380879105,87086.80024590401
n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37463.002904146255,19543.593380879105,87086.80024590401
n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36341.08887719679,19543.593380879105,87086.80024590401
n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33718.21972157885,19543.593380879105,87086.80024590401
n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35887.56186254616,21531.541676850484,87086.80024590401
n11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38551.73809742647,22063.13551589222,84586.6153523837
n12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41215.91433230678,23546.261828324474,80328.9171567005
n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43880.090567187086,25606.356105650524,75352.13318524898
n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46544.266802067395,28592.54248385017,70107.4723939043
n15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49208.443036947705,29594.363415015578,64652.98769981837
n16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50379.77792007659,29594.363415015578,59596.042140054145
n17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51280.655907914675,29594.363415015578,55795.09206354161
n18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48132.99967577821,28928.277567745376,55179.15564238843
n19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44985.34344364174,25746.939590942304,55179.15564238843
n20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42486.27268269805,25746.939590942304,55179.15564238843
n21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40340.70664109532,20473.531272728895,60207.07288874706
n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37193.05040895885,19825.79719619918,60207.07288874706
n23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34045.39417682238,19215.52851035151,60207.07288874706
n24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33279.4465369682,19215.52851035151,60207.07288874706
n25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32796.28870386737,19215.52851035151,60207.07288874706
n26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33622.15680624391,19215.52851035151,60207.07288874706
n27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35371.1345905284,21050.193175704728,60207.07288874706
n28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37227.00959822479,22189.4818496329,65358.45215727172
n29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39077.307359482285,23808.41548308711,65358.45215727172
n30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40704.51526318454,25966.390255293147,65358.45215727172
n31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41652.22864241646,27092.57629138038,65358.45215727172
n32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39600.081288667025,27092.57629138038,65358.45215727172
n33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36452.425056530556,22380.884792186684,65358.45215727172
n34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33304.76882439409,21623.71308315791,70509.83142579638
n35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35671.48844158066,24238.24117909238,70509.83142579638
n36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38093.58270440642,24238.24117909238,70509.83142579638
n37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40712.628708485565,24238.24117909238,70509.83142579638
n38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43236.713129335854,24889.443944279257,70509.83142579638
n39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45014.02479935217,27756.26018146304,70509.83142579638
n40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46648.431624628094,29102.861158120693,75631.44539465882
n41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47088.35564570835,30187.686664701654,75631.44539465882
n42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43940.69941357188,28112.017268524978,75631.44539465882
n43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41419.769264410905,26971.097297185832,75631.44539465882
n44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38773.194797538454,26971.097297185832,75631.44539465882
n45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36777.21813722931,27528.81217576021,75631.44539465882
n46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35378.67808347957,28660.279351649533,75631.44539465882
n47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34858.72127467013,29569.314618646364,80782.82466318348
n48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35350.9595280601,30292.80989858288,80782.82466318348
n49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36688.15061694054,32267.6778702725,80782.82466318348
n50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38562.616446099855,34617.26004414714,80782.82466318348
n51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40777.29430803091,37104.705285047785,80782.82466318348
n52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43158.360022055254,39674.41822301304,80782.82466318348
n53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45582.18462544435,40791.62892994574,80782.82466318348
n54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45950.25054309967,40791.62892994574,85934.20393170814
n55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44070.51150941363,40791.62892994574,85934.20393170814
n56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44070.51150941363,37245.20079635479,85934.20393170814
n57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43681.24395828906,33799.863649278894,85934.20393170814
n58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44398.76906333249,34917.723236056496,85934.20393170814
n59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47062.9452982128,37848.5587544529,85934.20393170814
n60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49727.12153309311,43826.141289225816,85934.20393170814
n61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52391.29776797342,49803.723823998735,91085.5832002328
n62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55055.47400285373,55781.30635877165,91085.5832002328
n63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57719.65023773404,61758.88889354457,91085.5832002328
n64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60383.826472614346,67736.47142831748,91085.5832002328
n65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63048.002707494656,69245.85980794718,91085.5832002328
n66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64248.11122804741,72753.02699234438,91085.5832002328
n67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61100.45499591094,72104.79411266535,91085.5832002328
n68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59487.760276207,70233.56810138217,91085.5832002328
n69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56340.10404407053,68476.88192737139,96236.96246875745
n70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53192.447811934064,66407.73278915999,96236.96246875745
n71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52757.53702779452,66407.73278915999,96236.96246875745
n72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53541.65117815259,66976.6774308262,96236.96246875745
n73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55104.72074780772,68370.18286765779,96236.96246875745
n74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57168.81295588899,70065.4792883266,96236.96246875745
n75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59484.810794793055,70222.1828657413,100418.29425214534
n76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61913.28310354789,70885.6858835233,100418.29425214534
n77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64336.17816586384,73259.53795424601,100418.29425214534
n78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66546.20832242917,75608.7648595545,100418.29425214534
n79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68067.44854379269,75698.70929444257,100418.29425214534
n80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68284.5426395312,77331.71863251503,100418.29425214534
n81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67237.06946244431,77331.71863251503,100418.29425214534
n82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69091.0049361047,79345.2716778166,100418.29425214534
n83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71755.181170985,83336.33738006624,105569.67352067
n84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74419.3574058653,89313.91991483915,105569.67352067
n85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77083.5336407456,95291.50244961206,105569.67352067
n86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79747.70987562591,101269.08498438497,105569.67352067
n87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82411.88611050621,107246.66751915788,105569.67352067
n88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85076.06234538651,113224.2500539308,105569.67352067
n89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87740.23858026681,116285.63121561952,105569.67352067
n90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87740.23858026681,115868.20105000043,105569.67352067
n91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84592.58234813035,111428.58053814231,110721.05278919465
n92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81444.92611599389,106590.57227269927,110721.05278919465
n93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78297.26988385743,104290.71708600697,110721.05278919465
n94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75149.61365172097,99083.45453460021,110721.05278919465
n95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72001.9574195845,96370.97778050964,110721.05278919465
n96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68854.30118744804,92242.79746190758,110475.82302526342
n97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68854.30118744804,86592.51409758184,110475.82302526342
n98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65706.64495531158,85111.18085328209,114387.77313113179
n99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62619.132968508595,85111.18085328209,114387.77313113179
n100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59471.476736372126,82998.70434552072,114387.77313113179
n101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56323.82050423566,81120.36664640403,114387.77313113179
n102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53176.16427209919,79938.82996238633,114387.77313113179
n103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53176.16427209919,72977.74603262114,114387.77313113179
n104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50975.689388136896,65915.38481478924,117926.68582581538
n105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47828.03315600043,58853.02359695735,117926.68582581538
n106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44680.37692386396,55104.42007833005,117926.68582581538
n107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44680.37692386396,54413.53282204953,119627.20489743011
n108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46946.85728670086,54413.53282204953,119499.55349732588
n109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48700.63739082712,54413.53282204953,116029.58322463189
n110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49760.139870378334,54413.53282204953,111495.29808713667
n111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49760.139870378334,54172.950141290385,106791.51117766018
n112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47773.72978671817,54172.950141290385,102059.95578412242
n113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44626.0735545817,53684.68565037537,96528.46718561475
n114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41478.41732244523,50125.094461772074,91008.01222682127
n115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38330.76109030876,45079.49984395111,86705.86431182465
n116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35183.10485817229,43062.33428497543,83521.78953899232
n117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33384.80942797472,36085.991435806136,82862.63120665851
n118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30237.153195838247,31897.85119598142,82862.63120665851
n119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27089.49696370178,28126.782275912912,82862.63120665851
n120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23941.84073156531,26419.31822402238,82862.63120665851
n121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20794.18449942884,26007.06888406498,82862.63120665851
n122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22299.63974538173,26007.06888406498,82862.63120665851
n123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24372.097823121323,27157.86549105965,82862.63120665851
n124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26584.91660290609,28325.75374213427,82862.63120665851
n125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28847.930600640786,28424.631108214144,82862.63120665851
n126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29946.030349162764,28424.631108214144,82862.63120665851
