Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.0593328234946439e7,4732.443096374386,0.25553060448030906
CT_natural_gas_combined_cycle,2,3.5031768907100125e6,1138.6255246114902,0.3512182268079201
ME_natural_gas_combined_cycle,3,915543.0648565306,343.1260414816667,0.3045937523374727
MA_solar_pv,1,1.8358780848521866e7,12041.890320924793,0.17403839285714345
CT_onshore_wind,2,2.9395125017045565e7,11198.326061905283,0.29965263201911563
CT_solar_pv,2,2.0545686378694553e7,13171.595171702402,0.1780648401246239
ME_onshore_wind,3,3.751353948501789e7,13577.494404283363,0.3154018991729278
MA_battery,1,6.313186995222786e6,2895.8437335655512,0.0
CT_battery,2,6.203883498735269e6,6497.372320405344,0.0
ME_battery,3,7.023633698869093e6,5599.325291874628,0.0
