BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.8952109083468463e7,6.313186995222786e6,-7.458869323278335e6,0.0,0.0,697820.7473486313,0.0,5.4424140501954325e7,-434074.00471584435,-8.249431400000015e7,5.3443988286450155e7,6.203883498735269e6,-7.3297300315870335e6,0.0,0.0,148663.69559056728,0.0,-2.8724961990462296e7,-177767.45872655784,-2.3564075999999933e7,3.8429082549874336e7,7.023633698869093e6,-8.298243973144032e6,0.0,0.0,47231.7818818711,0.0,-2.569917851149215e7,-256306.54598928368,-1.1246219000000006e7
t1,0.0,154.5140657319416,-0.0,0.0,0.0,0.0,0.0,8765.976272103517,-68.63235757518676,-8851.857980260273,7323.711739515172,0.0,-0.0,0.0,0.0,0.0,0.0,-4765.976272103517,-29.324663575186765,-2528.4108038364684,6306.862288543009,0.0,-1060.171216057196,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1207.3833784858127
t2,0.0,0.0,-69.44203719016568,0.0,0.0,0.0,0.0,8699.547242628683,-68.22362517079401,-8561.881580267725,7174.008395735631,0.0,-0.0,0.0,0.0,0.0,0.0,-4699.547242628684,-28.91593117079402,-2445.5452219361523,5207.286928752803,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1167.979234752803
t3,0.0,0.0,-620.2904959331221,0.0,0.0,0.0,0.0,9113.511629534149,-70.77071430532581,-8422.4504192957,7550.0976367023,0.0,-0.0,0.0,0.0,0.0,0.0,-5113.511629534148,-31.463020305325802,-2405.1229868628275,9343.978194432342,0.0,-4156.898518875955,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8427.366725293481,-66.54892063034268,-8360.817804663138,6619.9390186354385,223.62302612188256,-0.0,0.0,0.0,0.0,0.0,-4427.366725293481,-27.241226630342677,-2388.9540928334977,7197.966176204547,0.0,-2018.9694019267258,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1139.6890802778216
t5,0.0,1317.2516642763678,-0.0,0.0,0.0,0.0,0.0,7157.874368250327,-58.73783762108326,-8416.388194905612,5581.416942857406,0.0,-0.0,0.0,0.0,0.0,0.0,-3157.874368250328,-19.430143621083257,-2404.1124309859947,5187.079675556388,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t6,0.0,1161.3765620761176,-0.0,0.0,0.0,0.0,0.0,7545.488585228753,-61.12279630759282,-8645.742350997278,6037.102250516493,0.0,-0.0,0.0,0.0,0.0,0.0,-3545.488585228753,-21.81510230759282,-2469.7985629801474,5217.39055535101,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1178.0828613510105
t7,0.0,1032.1609047935121,-0.0,0.0,0.0,0.0,0.0,8084.187849315193,-64.43736897552667,-9051.911385133179,6695.330013106676,0.0,-0.0,0.0,0.0,0.0,0.0,-4084.1878493151935,-25.12967497552667,-2586.012488815956,5273.9708643009735,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1234.6631703009734
t8,0.0,2413.0396231685036,-0.0,0.0,0.0,0.0,0.0,7142.075512453439,-58.64062854897174,-9496.474507072971,5873.740420422508,0.0,-0.0,0.0,0.0,0.0,0.0,-3142.075512453439,-19.332934548971746,-2712.3319734200963,5334.592623890219,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1295.2849298902192
t9,2619.1111448011425,0.0,-2357.9805880079475,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-10085.520643643194,10977.199833310679,0.0,-2160.813365186282,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2880.0842489743945,5414.411274016059,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1375.1035800160596
t10,4914.295439969408,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,8496.76797075038,-66.97594083743746,-10448.2437363168,8086.427112138779,0.0,-577.8193902627552,0.0,0.0,0.0,0.0,-4496.767970750379,-27.66824683743747,-2984.171504288206,3163.748942308587,2300.17010203869,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1424.611350347277
t11,6759.113037135086,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,6784.889971673187,-56.442895027172426,-10591.71638021555,7439.723285799868,0.0,-1612.0938178611445,0.0,0.0,0.0,0.0,-2784.889971673187,-17.13520102717243,-3025.604295238364,1566.0335948553218,3917.0823400285494,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1443.8082408838713
t12,6408.694028796175,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,7135.445176151642,-58.5998326300792,-10589.695638752188,8418.563964280265,0.0,-2239.232910137012,0.0,0.0,0.0,0.0,-3135.4451761516425,-19.2921386300792,-3024.593739361531,903.4643184886622,4578.641253735388,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1442.7978782240507
t13,6838.589513253189,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,6638.840769155718,-55.54426618709245,-10526.042282656263,8907.335833834006,0.0,-3245.854758912661,0.0,0.0,0.0,0.0,-2638.8407691557177,-16.236572187092445,-3006.4037335785347,648.9347429083836,4825.087928037101,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1434.7149769454845
t14,6318.379851389239,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,7081.957604993729,-58.270727963981614,-10446.222994853435,7174.027937990924,0.0,-1088.935794745008,0.0,0.0,0.0,0.0,-3081.9576049937295,-18.963033963981612,-2984.171504288206,444.7827631283979,5018.125918559059,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1423.6009876874562
t15,5092.515416719096,0.0,-1273.190090357477,0.0,0.0,0.0,0.0,6651.196465589959,-55.620289780263064,-10414.901502171315,5642.585562766931,0.0,-0.0,0.0,0.0,0.0,0.0,-2651.196465589959,-16.312595780263074,-2975.076501396708,806.477316065086,4652.389914983087,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1419.559537048173
