Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,1.3273356361671567e9,3.047948208374121e9,2.551221614457341e9,6.926505458998619e9
t1,241366.7448655616,19786.661887533282,521710.32604879816,782863.732801893
t2,241430.63153977654,19786.661887533282,521710.32604879816,782927.619476108
t3,242001.29879603503,19786.661887533282,525534.672686164,787322.6333697324
t4,242001.29879603503,19543.593380879058,527392.1245359366,788937.0167128507
t5,240569.50350877809,19543.593380879058,527392.1245359366,787505.2214255938
t6,239307.1376804345,19543.593380879058,527392.1245359366,786242.8555972502
t7,238185.22365348504,19543.593380879058,527392.1245359366,785120.9415703007
t8,235562.35449786708,19543.593380879058,527392.1245359366,782498.0724146827
t9,237731.6966388344,21531.541676850436,527392.1245359366,786655.3628516215
t10,240395.8728737147,22063.135515892176,524891.9396424163,787350.9480320232
t11,243060.049108595,23546.26182832443,520634.24144673307,787240.5523836524
t12,245724.2253434753,25606.35610565048,515657.4574752816,786988.0389244074
t13,248388.4015783556,28592.542483850128,510412.79668393696,787393.7407461427
t14,251052.5778132359,29594.363415015538,504958.31198985106,785605.2532181025
t15,252223.91269636477,29594.363415015538,499901.3664300868,781719.6425414671
t16,253124.7906842029,29594.363415015538,496100.41635357426,778819.5704527927
t17,249977.1344520664,28928.277567745332,495484.47993242106,774389.8919522328
t18,246829.47821992997,25746.93959094226,495484.47993242106,768060.8977432933
t19,244330.40745898627,25746.93959094226,495484.47993242106,765561.8269823496
t20,242184.84141738355,20473.53127272885,500512.3971787797,763170.7698688922
t21,239037.1851852471,19825.797196199135,500512.3971787797,759375.3795602259
t22,235889.52895311065,19215.528510351465,500512.3971787797,755617.4546422418
t23,235123.58131325647,19215.528510351465,500512.3971787797,754851.5070023877
t24,234640.42348015564,19215.528510351465,500512.3971787797,754368.3491692868
t25,235466.2915825322,19215.528510351465,500512.3971787797,755194.2172716634
t26,237215.2693668167,21050.193175704684,500512.3971787797,758777.8597213011
t27,239071.14437451307,22189.481849632855,505663.7764473043,766924.4026714503
t28,240921.44213577057,23808.415483087065,505663.7764473043,770393.6340661619
t29,242548.65003947285,25966.390255293103,505663.7764473043,774178.8167420703
t30,243496.36341870477,27092.57629138034,505663.7764473043,776252.7161573893
t31,241444.21606495534,27092.57629138034,505663.7764473043,774200.56880364
t32,238296.55983281886,22380.88479218664,505663.7764473043,766341.2210723098
t33,235148.90360068242,21623.713083157865,510815.15571582894,767587.7723996693
t34,237515.62321786897,24238.241179092336,510815.15571582894,772569.0201127902
t35,239937.71748069473,24238.241179092336,510815.15571582894,774991.114375616
t36,242556.7634847739,24238.241179092336,510815.15571582894,777610.1603796952
t37,245080.8479056242,24889.443944279214,510815.15571582894,780785.4475657323
t38,246858.1595756405,27756.260181463,510815.15571582894,785429.5754729324
t39,248492.5664009164,29102.861158120653,515936.7696846914,793532.1972437284
t40,248932.49042199668,30187.686664701614,515936.7696846914,795056.9467713897
t41,245784.8341898602,28112.01726852494,515936.7696846914,789833.6211430766
t42,243263.90404069924,26971.097297185792,515936.7696846914,786171.7710225764
t43,240617.32957382678,26971.097297185792,515936.7696846914,783525.1965557039
t44,238621.35291351762,27528.81217576017,515936.7696846914,782086.9347739692
t45,237222.81285976787,28660.279351649493,515936.7696846914,781819.8618961088
t46,236702.85605095845,29569.31461864632,521088.1489532161,787360.3196228209
t47,237195.0943043484,30292.80989858284,521088.1489532161,788576.0531561472
t48,238532.28539322884,32267.67787027246,521088.1489532161,791888.1122167173
t49,240406.75122238815,34617.26004414709,521088.1489532161,796112.1602197513
t50,242621.4290843192,37104.70528504774,521088.1489532161,800814.2833225831
t51,245002.49479834354,39674.418223013,521088.1489532161,805765.0619745727
t52,247426.31940173265,40791.6289299457,521088.1489532161,809306.0972848944
t53,247794.38531938798,40791.6289299457,526239.5282217407,814825.5424710744
t54,245914.64628570192,40791.6289299457,526239.5282217407,812945.8034373884
t55,245914.64628570192,37245.20079635475,526239.5282217407,809399.3753037974
t56,245525.37873457736,33799.863649278865,526239.5282217407,805564.770605597
t57,246242.9038396208,34917.72323605646,526239.5282217407,807400.155297418
t58,248907.0800745011,37848.55875445287,526239.5282217407,812995.1670506947
t59,251571.2563093814,43826.14128922579,526239.5282217407,821636.9258203479
t60,254235.4325442617,49803.723823998705,531390.9074902654,835430.0638585258
t61,256899.608779142,55781.30635877163,531390.9074902654,844071.8226281791
t62,259563.7850140223,61758.88889354455,531390.9074902654,852713.5813978323
t63,262227.9612489026,67736.47142831747,531390.9074902654,861355.3401674855
t64,264892.1374837829,69245.85980794718,531390.9074902654,865528.9047819956
t65,266092.24600433564,72753.02699234437,531390.9074902654,870236.1804869454
t66,262944.5897721992,72104.79411266533,531390.9074902654,866440.29137513
t67,261331.89505249527,70233.56810138216,531390.9074902654,862956.3706441429
t68,258184.23882035882,68476.88192737136,536542.2867587901,863203.4075065204
t69,255036.58258822234,66407.73278915996,536542.2867587901,857986.6021361725
t70,254601.6718040828,66407.73278915996,536542.2867587901,857551.6913520329
t71,255385.7859544409,66976.67743082615,536542.2867587901,858904.7501440572
t72,256948.85552409603,68370.18286765774,536542.2867587901,861861.3251505439
t73,259012.94773217727,70065.47928832656,536542.2867587901,865620.7137792939
t74,261328.94557108136,70222.18286574126,540723.6185421781,872274.7469790007
t75,263757.41787983617,70885.68588352326,540723.6185421781,875366.7223055374
t76,266180.3129421521,73259.53795424597,540723.6185421781,880163.4694385761
t77,268390.34309871745,75608.76485955446,540723.6185421781,884722.7265004499
t78,269911.583320081,75698.70929444252,540723.6185421781,886333.9111567016
t79,270128.6774158195,77331.71863251498,540723.6185421781,888184.0145905125
t80,269081.2042387326,77331.71863251498,540723.6185421781,887136.5414134257
t81,270935.139712393,79345.27167781655,540723.6185421781,891004.0299323876
t82,273599.3159472733,83336.33738006618,545874.9978107028,902810.6511380422
t83,276263.49218215357,89313.9199148391,545874.9978107028,911452.4099076954
t84,278927.6684170339,95291.50244961203,545874.9978107028,920094.1686773486
t85,281591.8446519142,101269.08498438494,545874.9978107028,928735.9274470019
t86,284256.0208867945,107246.66751915787,545874.9978107028,937377.6862166552
t87,286920.1971216748,113224.2500539308,545874.9978107028,946019.4449863083
t88,289584.37335655506,116285.63121561952,545874.9978107028,951745.0023828773
t89,289584.37335655506,115868.20105000043,545874.9978107028,951327.5722172583
t90,286436.71712441865,111428.58053814231,551026.3770792275,948891.6747417884
t91,283289.06089228217,106590.57227269928,551026.3770792275,940906.0102442089
t92,280141.40466014575,104290.71708600699,551026.3770792275,935458.4988253802
t93,276993.7484280093,99083.45453460023,551026.3770792275,927103.580041837
t94,273846.0921958728,96370.97778050965,551026.3770792275,921243.4470556099
t95,270698.4359637364,92242.7974619076,550781.1473152962,913722.3807409402
t96,270698.4359637364,86592.51409758185,550781.1473152962,908072.0973766145
t97,267550.7797315999,85111.18085328209,554693.0974211646,907355.0580060466
t98,264463.2677447969,85111.18085328209,554693.0974211646,904267.5460192435
t99,261315.61151266043,82998.70434552072,554693.0974211646,899007.4132793457
t100,258167.95528052398,81120.36664640404,554693.0974211646,893981.4193480926
t101,255020.29904838753,79938.82996238634,554693.0974211646,889652.2264319385
t102,255020.29904838753,72977.74603262116,554693.0974211646,882691.1425021733
t103,252819.82416442523,65915.38481478926,558232.0101158483,876967.2190950627
t104,249672.16793228878,58853.02359695736,558232.0101158483,866757.2016450944
t105,246524.5117001523,55104.42007833006,558232.0101158483,859860.9418943307
t106,246524.5117001523,54413.53282204954,559932.529187463,860870.5737096649
t107,248790.99206298924,54413.53282204954,559804.8777873588,863009.4026723977
t108,250544.7721671155,54413.53282204954,556334.9075146648,861293.2125038299
t109,251604.27464666672,54413.53282204954,551800.6223771696,857818.4298458858
t110,251604.27464666672,54172.95014129041,547096.835467693,852874.0602556502
t111,249617.86456300656,54172.95014129041,542365.2800741553,846156.0947784523
t112,246470.20833087008,53684.685650375395,536833.7914756477,836988.6854568932
t113,243322.55209873363,50125.094461772096,531313.3365168541,824760.9830773599
t114,240174.8958665972,45079.49984395113,527011.1886018576,812265.5843124059
t115,237027.23963446074,43062.334284975455,523827.1138290253,803916.6877484615
t116,235228.94420426316,36085.991435806165,523167.95549669146,794482.8911367608
t117,232081.28797212668,31897.851195981446,523167.95549669146,787147.0946647995
t118,228933.63173999023,28126.782275912934,523167.95549669146,780228.3695125947
t119,225785.9755078538,26419.3182240224,523167.95549669146,775373.2492285676
t120,222638.3192757173,26007.068884065,523167.95549669146,771813.3436564738
t121,224143.77452167022,26007.068884065,523167.95549669146,773318.7989024266
t122,226216.23259940982,27157.86549105967,523167.95549669146,776542.053587161
t123,228429.05137919457,28325.753742134293,523167.95549669146,779922.7606180203
t124,230692.06537692927,28424.631108214166,523167.95549669146,782284.6519818349
t125,231790.16512545123,28424.631108214166,523167.95549669146,783382.7517303568
t126,233070.96923154223,28424.631108214166,523167.95549669146,784663.5558364479
t127,233382.8765167417,28559.744649901648,523167.95549669146,785110.5766633349
t128,232823.38346190995,26178.945070691574,528247.5919965728,787249.9205291744
t129,229675.72722977347,25667.40339301024,528247.5919965728,783590.7226193565
t130,226528.07099763703,22114.446345640175,528247.5919965728,776890.10933985
t131,223380.41476550058,21835.891135689282,528247.5919965728,773463.8978977627
t132,220232.75853336413,20640.158735270783,528247.5919965728,769120.5092652077
t133,217085.10230122766,18762.504261242437,528247.5919965728,764095.1985590429
t134,213937.4460690912,17429.681860200864,528247.5919965728,759614.7199258648
