region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,0.0,0.0,0.0,4.8682642132403314e7,0.0,0.0,3.920471183786269e7,2.1785373464155844e8,0.0,3.8899191504303636e6,0.0,0.0,8.515308744030399e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.515308744030399e10,3.0963100776225483e8,8.484345643254173e10
CT,CT_natural_gas_combined_cycle,2,1,2,0.0,0.0,0.0,1.1042390337682232e7,0.0,0.0,1.95307675189232e7,8.567206638878204e7,0.0,510375.28337295266,0.0,0.0,2.029758482542932e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.029758482542932e10,1.1675559952876042e8,2.0180829225900562e10
ME,ME_natural_gas_combined_cycle,3,1,3,0.0,0.0,0.0,5.589866341777832e6,0.0,0.0,1.3066861999766342e6,1.140565769622857e7,0.0,135645.64249096782,0.0,0.0,6.05900501808281e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05900501808281e9,1.8437855880474005e7,6.040567162202336e9
MA,MA_solar_pv,1,1,4,0.0,0.0,0.0,2.2590586242054912e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2226596874408916e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2226596874408916e10,2.2590586242054912e8,2.200069101198837e10
CT,CT_onshore_wind,2,1,5,0.0,0.0,0.0,4.8382367750461775e8,0.0,0.0,2.8153137746394854e6,0.0,0.0,0.0,0.0,0.0,1.6839060685366014e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6839060685366014e10,4.8663899127925724e8,1.6352421694086758e10
CT,CT_solar_pv,2,1,6,0.0,0.0,0.0,2.4709912542113706e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.497814123134737e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.497814123134737e10,2.4709912542113706e8,2.473104210592623e10
ME,ME_onshore_wind,3,1,7,0.0,0.0,0.0,5.866156457370627e8,0.0,0.0,3.7862628132172325e6,0.0,0.0,0.0,0.0,0.0,2.5577499710360077e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5577499710360077e10,5.9040190855028e8,2.4987097801809795e10
MA,MA_battery,1,0,8,0.0,0.0,0.0,1.4175155075803373e7,1.6216724907967083e7,0.0,890249.134470584,0.0,1.0518066333537162e6,0.0,1.04238052830326e10,0.0,1.9409973028981335e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9409973028981335e10,1.0456139218784195e10,8.95383381019714e9
CT,CT_battery,2,0,9,0.0,0.0,0.0,3.180463750838416e7,3.638528499426992e7,0.0,1.193762364790975e6,0.0,1.4103997693655174e6,0.0,8.817833440320288e9,0.0,2.8687012412117706e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8687012412117706e10,8.888627524957098e9,1.9798384887160606e10
ME,ME_battery,3,0,10,0.0,0.0,0.0,2.7408697303726304e7,3.1356221634497926e7,0.0,987038.873396008,0.0,1.1661612398346034e6,0.0,3.004347013425074e9,0.0,1.9783919080345627e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9783919080345627e10,3.065265132476529e9,1.6718653947869099e10
