Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20594.74517698923,44054.44166070642,111169.86965111416
n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20606.180917497626,44107.54204305826,111169.86965111416
n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20745.89332610029,44543.83298336688,111169.86965111416
n4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20942.30774016491,44065.83250391756,113027.32150088674
n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21087.597395206452,42442.52722671766,115224.37945363527
n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21009.9554191162,41243.13409697965,118988.36699948918
n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20490.825362443447,40632.88644197465,122572.77971759407
n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19488.47452105353,38992.302833395406,124599.04158293776
n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20507.744576473546,42144.56343344111,126437.35272213501
n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23171.92081135385,42676.15727248285,123937.16782861469
n11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25836.097046234157,44159.28358491508,119679.46963293149
n12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28500.273281114463,46219.37786224113,114702.68566147998
n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31164.44951599477,49205.56424044076,109458.0248701353
n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33828.62575087508,50207.385171606154,104003.54017604937
n15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36492.80198575539,48421.79237024644,98946.59461628515
n16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38232.584733056945,47418.37543128842,95145.6445397726
n17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37175.74128262341,44702.61803213213,94529.70811861943
n18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34028.08505048694,41715.38005228919,97484.77490481918
n19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30880.42881835047,42439.19050429545,97484.77490481918
n20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27860.16363193271,38144.2320148376,97484.77490481918
n21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25295.663503827735,36999.0413216135,97484.77490481918
n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23481.253821090537,35131.93793687525,102628.5355421434
n23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22439.681228969064,35390.02913585783,102628.5355421434
n24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22223.662391800717,35119.58241884685,107779.91481066807
n25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22558.578425764215,35616.61346685459,107779.91481066807
n26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23157.484124501418,38615.59043628214,107779.91481066807
n27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23863.287046650505,40919.191414284614,107779.91481066807
n28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24563.51272236071,43702.43735181311,107779.91481066807
n29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25040.648540515675,47024.72442809345,107779.91481066807
