Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.425880539256,43939.85053742571,107853.98642178497
n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.425880539282,80606.40457528997,151083.81278271912
n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.425880539296,117272.95861315423,194313.63914365327
n4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.42588053932,153939.5126510185,237543.4655045883
n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.42588053934,190606.06668888277,280773.29186552245
n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.42588053934,172083.06533315277,262653.89008007443
n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.42588053934,153560.06397742275,244534.4882946268
n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.42588053934,135037.06262169275,226415.08650917874
n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.42588053934,116514.06126596274,208295.6847237307
n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.42588053934,97991.05991023273,190176.28293828265
n11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16235.919511839433,126972.46078255816,201420.24765249182
n12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11575.413143139525,155953.8616548836,212664.212366701
n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6914.906774439618,184935.26252720904,223908.17708091016
n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2254.4004057397105,213916.66339953447,235152.14179511933
n15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63235.37517088944,271152.9522640007,240147.9210427318
n16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124216.34993603917,328389.24112846697,245143.70029034425
n17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185197.3247011889,385625.5299929332,250139.4795379567
