Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.1043580799397942e7,4732.443096374386,0.2663915263182213
CT_natural_gas_combined_cycle,2,5.470803226589132e6,1138.6255246114902,0.5484866646480563
ME_natural_gas_combined_cycle,3,290374.71110591874,343.1260414816667,0.09660531135531163
MA_solar_pv,1,1.8358780848521862e7,12041.890320924793,0.17403839285714343
CT_onshore_wind,2,2.8153137746394854e7,11198.326061905283,0.28699186754307027
CT_solar_pv,2,2.062224074591291e7,13171.595171702402,0.17872831959706995
ME_onshore_wind,3,3.7862628132172324e7,13577.494404283363,0.3183369254008898
MA_battery,1,5.934994229803894e6,2895.8437335655512,0.0
CT_battery,2,7.958415765273168e6,6497.372320405344,0.0
ME_battery,3,6.580259155973387e6,5599.325291874628,0.0
