Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,7.0120442223581085e6,9.40266512910345e6,7.774408265564023e6,2.4189117617025584e7
t1,0.0,124.55556878338575,3604.220901444777,3728.776470228163
t2,12.430152726518944,57.717806904174324,0.0,70.14795963069326
t3,151.86131369854712,474.22928294415567,0.0,626.0905966427028
t4,213.4939283311091,0.0,2018.9694019267254,2232.4633302578345
t5,157.92353808863322,0.0,2388.1064703788297,2546.0300084674627
t6,0.0,0.0,4091.290810710774,4091.290810710774
t7,0.0,0.0,3896.1007805487798,3896.1007805487798
t8,0.0,0.0,2202.458549286631,2202.458549286631
t9,1107.9022341521918,3426.37021744098,1998.1642817361453,6532.436733329317
t10,2895.8437335655512,577.8193902627643,0.0,3473.6631238283153
t11,2895.8437335655512,1612.093817861118,0.0,4507.937551426669
t12,2895.8437335655512,2239.2329101370074,0.0,5135.076643702559
t13,2895.8437335655512,3245.854758912648,0.0,6141.698492478199
t14,2895.8437335655512,1088.935794744991,0.0,3984.7795283105424
t15,2895.8437335655512,0.0,0.0,2895.8437335655512
t16,1891.0682035886487,0.0,0.0,1891.0682035886487
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,3212.029115434504,3212.029115434504
t19,0.0,786.7504913111549,0.0,786.7504913111549
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,5591.044171004598,5591.044171004598
t23,0.0,280.53391193759086,0.0,280.53391193759086
t24,0.0,0.0,5599.325291874628,5599.325291874628
t25,364.03916735162846,540.2511391388543,0.0,904.2903064904829
t26,650.9844551491329,3259.7575754647232,0.0,3910.742030613856
t27,767.1770892924858,2503.9141065244303,0.0,3271.0911958169163
t28,761.1148649023958,3025.267323400539,0.0,3786.382188302935
t29,518.6258892988759,3611.1816046525387,0.0,4129.8074939514145
t30,0.0,2489.672108871246,0.0,2489.672108871246
t31,0.0,0.0,5599.325291874628,5599.325291874628
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,1322.442969173129,4107.435217400843,0.0,5429.878186573972
t35,1630.525088774863,1014.5951569707033,0.0,2645.1202457455665
t36,1912.8167965742052,945.5368048723396,0.0,2858.353601446545
t37,1493.4916688076,1973.385944849123,0.0,3466.877613656723
t38,681.7821570315454,4381.661457889213,0.0,5063.443614920759
t39,526.4508040528594,2729.25356601301,0.0,3255.7043700658696
t40,0.0,2444.7150115818026,5599.325291874628,8044.0403034564315
t41,0.0,0.0,0.0,0.0
t42,0.0,215.91047862267536,5599.325291874628,5815.235770497304
t43,0.0,1046.2446911548993,0.0,1046.2446911548993
t44,0.0,1871.76867679205,0.0,1871.76867679205
t45,0.0,2495.4124782213235,0.0,2495.4124782213235
t46,0.0,2253.63866420774,0.0,2253.63866420774
t47,0.0,2051.9647652291533,0.0,2051.9647652291533
t48,203.39022101429296,3412.1524736564224,0.0,3615.5426946707153
t49,787.3845039261121,3819.450519509732,0.0,4606.835023435844
t50,1157.1801917214839,3969.3016793206207,0.0,5126.481871042104
t51,1338.0365526924459,4058.72308917343,0.0,5396.759641865876
t52,1384.5136063497885,2479.9163163119847,0.0,3864.429922661773
t53,1179.4083478184743,0.0,5599.325291874628,6778.733639693102
t54,497.4081039335646,0.0,0.0,497.4081039335646
t55,0.0,0.0,0.0,0.0
t56,0.0,0.0,5599.325291874628,5599.325291874628
t57,0.0,2480.621620491223,0.0,2480.621620491223
t58,2658.612298566399,3425.8596208486224,0.0,6084.471919415022
t59,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t60,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t61,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t62,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t63,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t64,2895.8437335655512,1640.6395430757623,0.0,4536.483276641314
t65,54.38742935375953,5077.695096164667,4912.330973630349,10044.413499148775
t66,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
t70,0.0,914.1350229855364,0.0,914.1350229855364
t71,0.0,1883.974941022303,0.0,1883.974941022303
t72,448.9103088128618,2780.2366748977,0.0,3229.146983710562
t73,993.5001331891053,3108.2703529816604,0.0,4101.770486170766
t74,1267.3106014747527,1435.8868277054369,0.0,2703.19742918019
t75,1389.5654600081955,1986.7557846264071,0.0,3376.3212446346024
t76,1383.5032356181055,3845.830842170677,5599.325291874628,10828.659369663412
t77,1152.1283380630769,3819.0643580247643,5599.325291874628,10570.51798796247
t78,403.4436258872001,1363.3225423504368,0.0,1766.766168237637
t79,0.0,3040.5670023334096,0.0,3040.5670023334096
t80,0.0,851.9715799565386,0.0,851.9715799565386
t81,765.0689001229298,3454.2014667129083,0.0,4219.270366835838
t82,2895.8437335655512,4338.114893749583,0.0,7233.958627315134
t83,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t84,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t85,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t86,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t87,2895.8437335655512,6497.372320405344,5599.325291874628,14992.541345845522
t88,2531.896073437027,3696.0422874995224,0.0,6227.9383609365495
t89,160.90006195013498,0.0,0.0,160.90006195013498
t90,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0
t96,102.35314784615737,0.0,5599.325291874628,5701.678439720786
t97,668.1607575877142,0.0,0.0,668.1607575877142
t98,957.1267868485768,0.0,0.0,957.1267868485768
t99,1093.5268356255579,0.0,0.0,1093.5268356255579
t100,1099.589060015648,0.0,0.0,1099.589060015648
t101,863.1623088022143,0.0,2789.0343261886655,3652.19663499088
t102,92.0355191455359,0.0,3422.674049531951,3514.709568677487
t103,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0
t106,2125.1574811812093,0.0,0.0,2125.1574811812093
t107,2895.8437335655512,0.0,0.0,2895.8437335655512
t108,2895.8437335655512,0.0,0.0,2895.8437335655512
t109,2895.8437335655512,0.0,0.0,2895.8437335655512
t110,2895.8437335655512,0.0,0.0,2895.8437335655512
t111,2117.2038394914043,0.0,0.0,2117.2038394914043
t112,608.012170594805,0.0,0.0,608.012170594805
t113,0.0,0.0,0.0,0.0
t114,0.0,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0
t118,0.0,0.0,432.1558810411889,432.1558810411889
t119,0.0,0.0,0.0,0.0
t120,91.23906979766616,0.0,0.0,91.23906979766616
t121,671.1918697827573,977.123316023252,0.0,1648.3151858060091
t122,1002.5934697742385,2516.4227294227876,0.0,3519.0161991970263
t123,1155.1594502581238,2535.0006034227627,5599.325291874628,9289.485345555515
t124,1209.7194697689147,1373.0322501675919,0.0,2582.7517199365066
t125,1014.7179185544147,181.08352170330244,0.0,1195.801440257717
t126,347.8732356447282,1057.2357503672918,4630.728259189977,6035.837245201997
t127,0.0,1412.4193975671874,0.0,1412.4193975671874
t128,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0
t132,0.0,0.0,0.0,0.0
