Zone,1,2,3,Total
AnnualSum,4.357970441634209e6,2.0673624849933258e6,194585.95128139516,6.619918877908929e6
t1,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0
t15,3.4282160615850547e-14,0.0,0.0,3.4282160615850547e-14
t16,-1.2518042158404798e-14,0.0,0.0,-1.2518042158404798e-14
t17,37.82631000123739,0.0,0.0,37.82631000123739
t18,74.87344064184722,0.0,0.0,74.87344064184722
t19,71.13174480243471,0.0,0.0,71.13174480243471
t20,33.28965656753937,0.0,0.0,33.28965656753937
t21,33.28965656753937,0.0,0.0,33.28965656753937
t22,33.28965656753937,0.0,0.0,33.28965656753937
t23,9.2755256934673,0.0,0.0,9.2755256934673
t24,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0
t37,-9.679668879769565e-14,0.0,0.0,-9.679668879769565e-14
t38,-6.145162858572916e-14,0.0,0.0,-6.145162858572916e-14
t39,-6.145162858572916e-14,0.0,0.0,-6.145162858572916e-14
t40,3.5345060211966485e-14,0.0,0.0,3.5345060211966485e-14
t41,150.56257951358947,0.0,0.0,150.56257951358947
t42,282.0072706746307,0.0,0.0,282.0072706746307
