BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.9402361647919975e7,5.934994229803894e6,-7.0120442223581085e6,0.0,0.0,86522.85640481995,0.0,5.45205076122518e7,-438028.12402224465,-8.249431400000015e7,5.42461817188969e7,7.958415765273168e6,-9.40266512910345e6,0.0,0.0,5449.93528411748,0.0,-2.9063671866775796e7,-179634.4235748699,-2.3564075999999933e7,3.815300284327822e7,6.580259155973387e6,-7.774408265564023e6,0.0,0.0,2594.712235656841,0.0,-2.5456835745475933e7,-258393.70044736707,-1.1246219000000006e7
t1,0.0,277.5462472660264,-0.0,0.0,0.0,0.0,0.0,8642.182396944781,-67.87066395053589,-8851.857980260273,7323.711739515172,0.0,-124.55556878338575,0.0,0.0,0.0,0.0,-4642.182396944781,-28.562969950535887,-2528.4108038364684,8850.91197393059,0.0,-3604.220901444777,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1207.3833784858127
t2,0.0,0.0,-12.430152726518944,0.0,0.0,0.0,0.0,8642.182396944781,-67.87066395053589,-8561.881580267725,7174.00839573563,0.0,-57.717806904174324,0.0,0.0,0.0,0.0,-4642.182396944781,-28.562969950535887,-2445.5452219361523,5207.286928752803,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1167.979234752803
t3,0.0,0.0,-151.86131369854712,0.0,0.0,0.0,0.0,8642.182396944781,-67.87066395053589,-8422.4504192957,7550.0976367022995,0.0,-474.22928294415567,0.0,0.0,0.0,0.0,-4642.182396944781,-28.562969950535887,-2405.1229868628275,5187.079675556388,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t4,0.0,0.0,-213.4939283311091,0.0,0.0,0.0,0.0,8642.182396944781,-67.87066395053589,-8360.817804663138,6619.9390186354385,439.76044109337727,-0.0,0.0,0.0,0.0,0.0,-4642.182396944781,-28.562969950535887,-2388.9540928334977,7197.966176204547,0.0,-2018.9694019267254,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1139.6890802778216
t5,0.0,0.0,-157.92353808863322,0.0,0.0,0.0,0.0,8642.182396944781,-67.87066395053589,-8416.388194905612,5581.416942857406,1493.440855023906,-0.0,0.0,0.0,0.0,0.0,-4642.182396944781,-28.562969950535887,-2404.1124309859947,7575.186145935218,0.0,-2388.1064703788297,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t6,0.0,71.43061800303167,-0.0,0.0,0.0,0.0,0.0,8642.182396944781,-67.87066395053589,-8645.742350997278,6037.102250516493,1103.4416793589717,-0.0,0.0,0.0,0.0,0.0,-4642.182396944781,-28.562969950535887,-2469.7985629801474,9308.681366061785,0.0,-4091.290810710774,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1178.0828613510105
t7,0.0,477.59965213893247,-0.0,0.0,0.0,0.0,0.0,8642.182396944781,-67.87066395053589,-9051.911385133179,6695.330013106676,561.4278426045971,-0.0,0.0,0.0,0.0,0.0,-4642.182396944781,-28.562969950535887,-2586.012488815956,9170.071644849753,0.0,-3896.1007805487798,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1234.6631703009734
t8,0.0,922.1627740787253,-0.0,0.0,0.0,0.0,0.0,8642.182396944781,-67.87066395053589,-9496.474507072971,5873.740420422507,1509.3369198929067,-0.0,0.0,0.0,0.0,0.0,-4642.182396944781,-28.562969950535887,-2712.3319734200963,7537.05117317685,0.0,-2202.458549286631,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1295.2849298902192
