Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,1.1613849881911259e9,2.7242587311060023e9,2.1786191735604987e9,6.064262892857627e9
t1,20594.74517698929,154054.10377429906,240859.3487339175,415508.19768520584
t2,20606.180917497688,154107.2041566509,240859.3487339175,415572.7338080661
t3,20745.89332610035,154543.49509695952,240859.3487339175,416148.73715697735
t4,20942.30774016497,154065.4946175102,242716.80058369008,417724.6029413653
t5,21087.597395206514,152442.18934031032,244913.8585364386,418443.6452719554
t6,21009.95541911626,151242.7962105723,248677.84608229253,420930.59771198104
t7,20490.82536244351,150632.5485555673,252262.2588003974,423385.63271840825
t8,19488.47452105359,148991.96494698807,254288.5206657411,422768.9601337827
t9,20507.744576473608,152144.22554703377,256126.83180493835,428778.8019284457
t10,23171.920811353913,152675.8193860755,253626.64691141804,429474.3871088475
t11,25836.09704623422,154158.94569850774,249368.94871573482,429363.99146047677
t12,28500.273281114525,156219.0399758338,244392.1647442833,429111.4780012316
t13,31164.44951599483,159205.22635403342,239147.50395293863,429517.1798229669
t14,33828.62575087514,160207.04728519882,233693.0192588527,427728.6922949266
t15,36492.80198575545,158421.4544838391,228636.07369908848,423550.330168683
t16,38232.584733057,157418.03754488108,224835.12362257595,420485.74590051407
t17,37175.741282623465,154702.2801457248,224219.18720142276,416097.208629771
t18,34028.085050486996,151715.04216588187,227174.2539876225,412917.38120399136
t19,30880.428818350527,152438.85261788813,227174.2539876225,410493.5354238612
t20,27860.16363193277,148143.8941284303,227174.2539876225,403178.31174798554
t21,25295.663503827793,146998.70343520617,227174.2539876225,399468.62092665647
t22,23481.253821090595,145131.6000504679,232318.01462494675,400930.86849650525
t23,22439.681228969122,145389.6912494505,232318.01462494675,400147.3871033664
t24,22223.662391800775,145119.2445324395,237469.3938934714,404812.3008177117
t25,22558.578425764274,145616.27558044725,237469.3938934714,405644.24789968296
t26,23157.484124501476,148615.2525498748,237469.3938934714,409242.13056784763
t27,23863.287046650563,150918.85352787728,237469.3938934714,412251.53446799924
t28,24563.512722360767,153702.09946540577,237469.3938934714,415735.0060812379
t29,25040.648540515733,157024.3865416861,237469.3938934714,419534.4289756733
t30,24801.566893167703,159314.88488184765,237469.3938934714,421585.8456684868
t31,23101.84060110642,158958.1001346175,242620.77316199604,424680.71389772
t32,20581.737204082136,153611.08542693977,242620.77316199604,416813.59579301794
t33,19311.521151818833,150953.22703134597,242620.77316199604,412885.52134516084
t34,20528.168683458112,154732.06743135475,242620.77316199604,417881.00927680894
t35,22028.251765130986,155665.4949757678,242620.77316199604,420314.51990289486
t36,23788.043217979255,156535.38883625035,242620.77316199604,422944.20521622564
t37,25162.055553282247,158350.90390551154,242620.77316199604,426133.73262078984
t38,25789.29513775127,162382.03244676962,242620.77316199604,430792.10074651695
