Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.765226387437461,-0.2747611834266055,-0.2717391304347825
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.315392345604826,-8.20272100550031,-0.2717391304347825
