region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,0.0,0.0,0.0,5.400675e7,0.0,0.0,3.79211113810875e7,2.1129844243537927e8,0.0,2.5075968088516076e6,0.0,0.0,3.0118948268224233e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0118948268224233e8,3.0573390062531835e8,-4.5444179430760145e6
CT,CT_natural_gas_combined_cycle,2,1,2,0.0,0.0,0.0,1.21225e7,0.0,0.0,1.991897285976278e7,8.946865274536034e7,0.0,979429.8520709687,0.0,0.0,1.3224474726740815e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3224474726740815e8,1.224895554571941e8,9.755191810214043e6
ME,ME_natural_gas_combined_cycle,3,1,3,0.0,0.0,0.0,8.1455e6,0.0,0.0,384227.29040546785,2.9955725701487265e6,0.0,85530.60511694367,0.0,0.0,3.4653304656711295e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4653304656711295e6,1.1610830465671137e7,-8.145500000000007e6
MA,MA_solar_pv,1,1,4,0.0,0.0,0.0,2.2590586242054912e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2697721832079926e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2697721832079926e8,2.2590586242054912e8,1.0713559002501369e6
CT,CT_onshore_wind,2,1,5,0.0,0.0,0.0,4.8382367750461775e8,0.0,0.0,2.8286679186889995e6,0.0,0.0,0.0,0.0,0.0,2.892517564110631e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.892517564110631e8,4.8665234542330676e8,-1.974005890122437e8
CT,CT_solar_pv,2,1,6,0.0,0.0,0.0,2.4709912542113706e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4123926291998014e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4123926291998014e8,2.4709912542113706e8,-5.859862501156926e6
ME,ME_onshore_wind,3,1,7,0.0,0.0,0.0,5.866156457370627e8,0.0,0.0,3.8370970945778186e6,0.0,0.0,0.0,0.0,0.0,3.706757219241572e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.706757219241572e8,5.904527428316405e8,-2.1977702090748328e8
MA,MA_battery,1,0,8,0.0,0.0,0.0,1.4175155075803373e7,1.6216724907967083e7,0.0,902090.0416377696,0.0,1.0657963629935868e6,0.0,8.198665339164637e7,0.0,1.343919310337603e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.343919310337603e8,1.1434641978004819e8,2.0045511253712118e7
CT,CT_battery,2,0,9,0.0,0.0,0.0,3.180463750838416e7,3.638528499426992e7,0.0,1.1934262382954182e6,0.0,1.4100026444889137e6,0.0,8.483909998347197e7,0.0,1.5699678426122475e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5699678426122475e8,1.5563245136891037e8,1.3643328923143744e6
ME,ME_battery,3,0,10,0.0,0.0,0.0,2.7408697303726304e7,3.1356221634497926e7,0.0,1.0443812465242075e6,0.0,1.2339097903168811e6,0.0,6.920673576719557e7,0.0,1.2905908234171553e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2905908234171553e8,1.3024994574226087e8,-1.1908634005453438e6
