Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20594.745176989287,44054.441660706456,84365.87652253019
n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20606.180917497684,44107.542043058296,84365.87652253019
n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20745.893326100348,44543.83298336692,84365.87652253019
n4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20942.307740164964,44065.8325039176,86223.32837230277
n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21087.597395206507,42442.5272267177,88420.3863250513
n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21009.955419116253,41243.13409697969,88420.3863250513
n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20490.8253624435,40632.88644197469,88420.3863250513
n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19488.47452105358,38992.30283339544,90446.64819039499
n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20507.744576473597,42144.563433441144,92284.95932959224
n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23171.920811353903,42676.15727248289,89784.77443607192
n11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25836.09704623421,44159.283584915145,85527.07624038872
n12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28500.273281114514,46219.37786224119,80550.2922689372
n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31164.44951599482,49205.56424044083,75305.63147759253
n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33828.62575087513,50207.38517160625,69851.1467835066
n15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36492.80198575544,48421.792370246534,64794.20122374238
n16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38232.584733056996,47418.375431288514,60993.25114722984
n17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37175.74128262346,44702.618032132224,60377.314726076664
n18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34028.08505048699,41715.380052289285,60377.314726076664
n19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30880.42881835052,42439.19050429552,64949.97818229492
n20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27860.16363193276,38144.232014837675,69977.89542865354
n21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25295.663503827782,36999.04132161357,69977.89542865354
n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23481.253821090584,35131.93793687532,69977.89542865354
n23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22439.68122896911,35390.029135857905,69977.89542865354
n24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22223.66239180076,35119.58241884692,69977.89542865354
n25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22558.578425764255,35616.613466854666,69977.89542865354
n26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23157.484124501458,38615.59043628218,69977.89542865354
n27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23863.287046650545,40919.19141428466,69977.89542865354
n28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24563.51272236075,43702.437351813154,69977.89542865354
n29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25040.64854051571,47024.72442809352,75129.2746971782
n30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24801.566893167677,49315.222768255066,75129.2746971782
n31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23101.840601106396,48958.43802102491,75129.2746971782
n32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20581.737204082106,43611.42331334718,75129.2746971782
n33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19311.5211518188,40953.564917753385,75129.2746971782
n34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20528.168683458076,44732.40531776216,75129.2746971782
n35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22028.251765130954,45665.83286217518,80280.65396570286
n36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23788.04321797922,46535.72672265773,80280.65396570286
n37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25162.05555328221,48351.241791918925,80280.65396570286
n38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25789.295137751233,52382.37033317703,80280.65396570286
n39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26273.629877479863,54893.283613909,80280.65396570286
n40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25434.608062183263,57142.42142456429,80280.65396570286
n41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22955.132959472983,54657.10032482637,80280.65396570286
n42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19807.476727336514,54855.737965159235,80280.65396570286
n43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16659.820495200045,55818.28308102171,80280.65396570286
n44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13647.664632133086,57540.3102636704,80280.65396570286
n45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11232.945375625532,59836.089743634046,80280.65396570286
n46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9696.809364058277,61909.437314705196,85432.03323422752
n47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8998.657390719067,63797.244898716046,85432.03323422752
n48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9185.776394052216,66936.42517447998,85432.03323422752
n49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9910.17013766424,70450.31965242894,85432.03323422752
n50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10974.775914048005,74102.07719740388,90583.41250275218
n51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12205.769542525055,77836.10243944344,90583.41250275218
n52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13479.52206036686,80117.62545045043,90583.41250275218
n53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14564.577740359857,79260.03146916316,90583.41250275218
n54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15022.193195978736,76809.66200529736,90583.41250275218
n55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14087.93255607169,74209.06254794844,95734.79177127684
n56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12339.88418553869,72139.33067506243,95734.79177127684
n57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11828.840966606907,74421.50256591433,95734.79177127684
n58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14274.764281287993,77573.29341709509,99964.6596069563
n59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16938.9405161683,83550.875951868,105116.03887548095
n60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19603.116751048605,89528.45848664091,105116.03887548095
n61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22267.29298592891,95506.04102141382,105116.03887548095
n62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24931.469220809216,101483.62355618674,105116.03887548095
n63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27595.645455689522,107461.20609095965,105116.03887548095
n64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30259.82169056983,108970.59447058938,105116.03887548095
n65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30309.858125575287,113642.07395906087,105116.03887548095
