Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.425880539315,43939.85053742574,81049.993293201
n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.425880539307,80606.40457529006,121069.1457185114
n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.425880539296,117272.95861315438,161088.2981438218
n4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.42588053929,153939.51265101868,201107.45056913278
n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.425880539282,190606.066688883,241126.60299444318
n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.425880539282,172083.06533315295,228651.46750074587
n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.425880539282,153560.06397742292,216176.33200704848
n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.425880539282,135037.0626216929,203701.19651335117
n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.425880539282,116514.06126596285,191226.06101965386
n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20896.425880539282,97991.05991023281,178750.92552595655
n11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16235.919511839074,120896.73626963983,194720.01801074762
n12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11575.413143138865,143802.41262904686,210689.11049553868
n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6914.906774438657,166708.08898845388,226658.20298032975
n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2254.400405738448,189613.7653478609,242627.2954651208
n15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64898.95983643993,282299.2342665319,251303.7180219871
n16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127543.51926714141,374984.7031852029,259980.14057885337
n17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190188.0786978429,467670.1721038739,268656.5631357196
n18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252832.63812854438,560355.6410225449,277332.98569258593
n19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239682.33104413934,541998.8643070998,265907.7165986945
