Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,7.105309086623913e6,9.400017629926091e6,8.226065268779208e6,2.473139198532921e7
t1,0.0,124.55556878338678,3604.220901444777,3728.776470228164
t2,12.430152726518944,57.717806904174324,0.0,70.14795963069326
t3,151.86131369854712,474.22928294415567,0.0,626.0905966427028
t4,213.4939283311051,0.0,2018.9694019267254,2232.4633302578304
t5,157.92353808863322,0.0,2388.1064703788297,2546.0300084674627
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,2202.458549286631,2202.458549286631
t9,1107.9022341521918,3426.37021744098,1998.1642817361453,6532.436733329317
t10,2895.8437335655512,577.8193902627643,0.0,3473.6631238283153
t11,2895.8437335655512,1612.0938178611495,0.0,4507.937551426701
t12,2895.8437335655512,2239.2329101370074,0.0,5135.076643702559
t13,2895.8437335655512,3245.854758912648,0.0,6141.698492478199
t14,2895.8437335655512,1088.9357947450226,0.0,3984.779528310574
t15,2895.8437335655512,0.0,0.0,2895.8437335655512
t16,1891.0682035886487,0.0,0.0,1891.0682035886487
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,786.7504913111233,4970.286365454631,5757.036856765754
t20,0.0,0.0,5465.1274416941615,5465.1274416941615
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,280.53391193759086,0.0,280.53391193759086
t24,0.0,0.0,0.0,0.0
t25,364.0391673516245,540.2511391388543,0.0,904.2903064904788
t26,650.9844551491329,3259.757575464692,0.0,3910.7420306138247
t27,767.1770892924858,2503.9141065244303,0.0,3271.0911958169163
t28,761.1148649023958,3025.267323400539,0.0,3786.382188302935
t29,518.6258892988719,3611.1816046525705,5599.325291874628,9729.13278582607
t30,0.0,2489.672108871246,0.0,2489.672108871246
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,1322.4429691731252,4107.435217400843,0.0,5429.8781865739675
t35,1630.5250887748668,1014.5951569706717,5599.325291874628,8244.445537620166
t36,1912.8167965742011,945.5368048723396,0.0,2858.353601446541
t37,1493.4916688076,1973.385944849123,0.0,3466.877613656723
t38,681.7821570315454,4381.661457889245,0.0,5063.44361492079
t39,526.4508040528594,2729.25356601301,0.0,3255.7043700658696
t40,0.0,2444.715011581834,0.0,2444.715011581834
t41,0.0,0.0,0.0,0.0
t42,0.0,215.91047862267536,0.0,215.91047862267536
t43,0.0,1046.2446911548677,0.0,1046.2446911548677
t44,0.0,1871.76867679205,0.0,1871.76867679205
t45,0.0,2495.412478221355,0.0,2495.412478221355
t46,0.0,2253.638664207772,5599.325291874628,7852.9639560824
t47,0.0,2051.964765229185,0.0,2051.964765229185
t48,203.39022101429296,3412.1524736564543,0.0,3615.542694670747
t49,787.3845039261121,3819.450519509732,0.0,4606.835023435844
t50,1157.1801917214839,3969.301679320589,5599.325291874628,10725.807162916703
t51,1338.0365526924459,4058.72308917343,0.0,5396.759641865876
t52,1384.5136063497885,2479.9163163119533,0.0,3864.429922661742
t53,1179.4083478184743,0.0,0.0,1179.4083478184743
t54,497.4081039335646,0.0,0.0,497.4081039335646
t55,0.0,0.0,5599.325291874628,5599.325291874628
t56,0.0,0.0,0.0,0.0
t57,0.0,2480.621620491191,0.0,2480.621620491191
t58,2658.6122985663974,3425.859620848654,4597.682430086366,10682.154349501418
t59,2895.8437335655512,6497.372320405344,5599.325291874628,14992.541345845522
t60,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t61,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t62,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t63,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t64,2895.8437335655512,1640.6395430757939,0.0,4536.483276641346
t65,54.38742935375953,5077.695096164667,0.0,5132.082525518426
t66,0.0,0.0,4900.837063401888,4900.837063401888
t67,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
t70,0.0,914.135022985568,0.0,914.135022985568
t71,0.0,1883.974941022303,0.0,1883.974941022303
t72,448.9103088128618,2780.236674897732,0.0,3229.1469837105938
t73,993.5001331891053,3108.2703529816604,5599.325291874628,9701.095778045394
t74,1267.3106014747527,1435.8868277054685,0.0,2703.197429180221
t75,1389.5654600081916,1986.755784626439,0.0,3376.3212446346306
t76,1383.5032356181055,3845.830842170677,0.0,5229.334077788782
t77,1152.1283380630769,3819.0643580247643,0.0,4971.192696087841
t78,403.4436258871961,1363.3225423504052,0.0,1766.7661682376013
t79,0.0,3040.567002333441,0.0,3040.567002333441
t80,0.0,851.9715799565386,0.0,851.9715799565386
t81,765.0689001229258,3454.2014667129397,5599.325291874628,9818.595658710494
t82,2895.8437335655512,4338.114893749583,0.0,7233.958627315134
t83,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t84,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t85,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t86,2895.8437335655512,6497.372320405344,5599.325291874628,14992.541345845522
t87,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t88,2531.896073437027,3696.0422874995224,0.0,6227.9383609365495
t89,160.90006195012708,0.0,0.0,160.90006195012708
t90,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0
t96,102.35314784615737,0.0,0.0,102.35314784615737
t97,668.1607575877142,0.0,0.0,668.1607575877142
t98,957.1267868485768,0.0,0.0,957.1267868485768
t99,1093.5268356255579,0.0,4216.439821978727,5309.9666576042855
t100,1099.589060015648,0.0,0.0,1099.589060015648
t101,863.1623088022103,0.0,0.0,863.1623088022103
t102,92.03551914553985,0.0,0.0,92.03551914553985
t103,0.0,0.0,3846.6442333517225,3846.6442333517225
t104,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0
t106,2125.1574811812093,0.0,0.0,2125.1574811812093
t107,2895.8437335655512,0.0,0.0,2895.8437335655512
t108,2895.8437335655512,0.0,0.0,2895.8437335655512
t109,2895.8437335655512,0.0,0.0,2895.8437335655512
t110,2895.8437335655512,0.0,0.0,2895.8437335655512
t111,2117.2038394914043,0.0,0.0,2117.2038394914043
t112,608.012170594805,0.0,0.0,608.012170594805
t113,0.0,0.0,0.0,0.0
t114,0.0,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0
t118,0.0,0.0,432.1558810411889,432.1558810411889
t119,0.0,0.0,0.0,0.0
t120,91.2390697976622,0.0,0.0,91.2390697976622
t121,671.1918697827533,977.123316023252,0.0,1648.3151858060053
t122,1002.5934697742385,2516.4227294227876,0.0,3519.0161991970263
t123,1155.15945025812,2535.0006034227627,0.0,3690.160053680883
t124,1209.7194697689147,1373.0322501675919,0.0,2582.7517199365066
t125,1014.7179185544147,181.08352170330244,0.0,1195.801440257717
t126,347.8732356447282,1057.2357503672918,0.0,1405.10898601202
t127,0.0,1412.4193975671874,0.0,1412.4193975671874
t128,0.0,0.0,0.0,0.0
t129,0.0,0.0,5599.325291874628,5599.325291874628
t130,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0
t132,0.0,0.0,0.0,0.0
t133,0.0,0.0,0.0,0.0
t134,0.0,0.0,0.0,0.0
t135,0.0,0.0,0.0,0.0
t136,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0
t138,0.0,149.65847805700753,0.0,149.65847805700753
t139,0.0,1472.6546819138805,0.0,1472.6546819138805
t140,0.0,2882.622701278334,0.0,2882.622701278334
t141,0.0,3549.053354512643,0.0,3549.053354512643
t142,0.0,3708.1297986455506,0.0,3708.1297986455506
t143,0.0,3918.3254210268583,0.0,3918.3254210268583
t144,183.18280638066759,4130.5421551618165,0.0,4313.724961542484
t145,781.3222795360239,4301.326098346607,0.0,5082.648377882631
t146,1142.0246307462642,4404.402797783594,5599.325291874628,11145.752720404485
t147,1325.912103912269,4457.962259255747,0.0,5783.874363168016
t148,1394.6173136666007,4470.26048628414,0.0,5864.87779995074
t149,1329.9535868389946,4070.1168252177326,5599.325291874628,10999.395703931355
t150,1026.8423673345899,2055.92562585127,0.0,3082.76799318586
t151,502.45995759197166,0.0,0.0,502.45995759197166
t152,0.0,0.0,5599.325291874628,5599.325291874628
t153,2359.905714674343,1747.0549388125894,0.0,4106.960653486933
t154,2895.8437335655512,0.0,0.0,2895.8437335655512
t155,2895.8437335655512,717.0235467311336,897.458685641981,4510.325965938666
t156,2895.8437335655512,1104.1235213613697,0.0,3999.9672549269208
t157,2895.8437335655512,4716.16397088162,397.1415678863159,8009.149272333487
t158,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t159,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t160,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t161,1389.632492161083,5988.98028299575,0.0,7378.612775156833
t162,0.0,2105.820812613472,0.0,2105.820812613472
t163,0.0,1511.6970255021283,0.0,1511.6970255021283
t164,0.0,0.0,0.0,0.0
t165,0.0,2447.3968426359097,0.0,2447.3968426359097
t166,0.0,3795.5142936947673,5599.325291874628,9394.839585569396
t167,0.0,3972.238748092913,0.0,3972.238748092913
t168,402.4332551555309,4099.877328995606,0.0,4502.310584151137
t169,458.00364539799193,4209.365513554787,5599.325291874628,10266.694450827406
t170,700.4926210015147,4278.08331317944,0.0,4978.575934180954
t171,783.343020999386,4301.326098346592,5599.325291874628,10683.994411220607
t172,776.2704258776189,4300.315542469774,0.0,5076.585968347394
t173,671.1918697827533,4269.998866164773,5599.325291874628,10540.516027822156
t174,428.7028941792335,4200.2705106632875,0.0,4628.973404842521
t175,35.66867955519031,3927.8767649020742,0.0,3963.5454444572647
t176,84.2828851017064,3527.742122848798,0.0,3612.0250079505045
t177,2852.350653086812,6497.372320405344,0.0,9349.722973492157
t178,2895.8437335655512,6497.372320405344,5599.325291874628,14992.541345845522
t179,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t180,2895.8437335655512,6497.372320405344,5599.325291874628,14992.541345845522
t181,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
