Costs,Total,Zone1,Zone2,Zone3
cTotal,2.2130704101008215e9,5.639995294342694e8,9.270343776870764e8,6.63106783272377e8
cFix,1.7750657825080152e9,3.1030449240431964e8,8.112352254284089e8,6.535260646752869e8
cVar,7.173968286877815e7,3.988899778571896e7,2.5351069661236417e7,6.499615421824381e6
cFuel,3.0376266775089425e8,2.1129844243537927e8,8.946865274536034e7,2.9955725701487265e6
cNSE,0.0,0.0,0.0,0.0
cStart,3.57255726603952e6,2.5075968088516076e6,979429.8520709687,85530.60511694367
cUnmetRsv,0.0,-,-,-
cNetworkExp,5.892971970715405e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
