Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
w1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.275957614183426e-12,36666.55403786432,40019.1524253104
w2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-18523.00135573004,-12475.135493697308
w3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4660.506368700208,22905.67635940702,15969.092484791065
w4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62644.55943070148,92685.46891867102,8676.42255686628
w5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13150.307084405038,-18356.776715445063,-11425.269093891431
w6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51855.74009415286,-39283.03329645279,-9368.734934056822
w7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78247.46917364022,-90299.31557795027,-78369.48707193318
w8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39112.345222985445,43361.81668264918,-7348.309587690979
w9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13150.307084405038,18356.7767154451,83878.1198251379
w10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61271.62983310254,-133693.14180014082,-97191.00139320863
w11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
