Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,1.2340795094937913e9,3.2309665597783566e9,2.1048202055051951e9,6.569866274777344e9
t1,20594.745176989272,154054.10377429912,204423.33379846197,379072.1827497503
t2,20606.18091749767,154107.20415665096,204423.33379846197,379136.7188726106
t3,20745.893326100333,154543.49509695958,204423.33379846197,379712.7222215219
t4,20942.30774016495,154065.49461751027,206280.78564823457,381288.5880059098
t5,21087.597395206492,152442.18934031037,208477.8436009831,382007.63033649995
t6,21009.95541911624,151242.79621057236,208477.8436009831,380730.5952306717
t7,20490.825362443484,150632.54855556737,208477.8436009831,379601.21751899394
t8,19488.474521053566,148991.96494698813,210504.1054663268,378984.54493436846
t9,20507.744576473582,152144.22554703383,212342.41660552405,384994.38672903145
t10,23171.920811353888,152675.81938607557,209842.23171200373,385689.9719094332
t11,25836.097046234194,154158.94569850783,205584.53351632052,385579.5762610625
t12,28500.2732811145,156219.03997583388,200607.749544869,385327.0628018174
t13,31164.449515994806,159205.2263540335,195363.08875352432,385732.7646235527
t14,33828.625750875115,160207.04728519893,189908.6040594384,383944.2770955124
t15,36492.801985755425,158421.45448383922,184851.65849967417,379765.91496926884
t16,38232.58473305698,157418.0375448812,181050.70842316165,376701.3307010998
t17,37175.74128262344,154702.28014572492,180434.77200200845,372312.7934303568
t18,34028.085050486974,151715.04216588198,180434.77200200845,366177.8992183774
t19,30880.428818350505,152438.85261788822,185007.4354582267,368326.71689446544
t20,27860.163631932744,148143.89412843037,190035.35270458536,366039.4104649485
t21,25295.663503827767,146998.70343520626,190035.35270458536,362329.7196436194
t22,23481.25382109057,145131.600050468,190035.35270458536,358648.2065761439
t23,22439.681228969097,145389.69124945058,190035.35270458536,357864.72518300504
t24,22223.662391800746,145119.2445324396,190035.35270458536,357378.2596288257
t25,22558.57842576424,145616.27558044734,190035.35270458536,358210.2067107969
t26,23157.484124501443,148615.25254987486,190035.35270458536,361808.08937896165
t27,23863.28704665053,150918.85352787733,190035.35270458536,364817.4932791132
t28,24563.512722360734,153702.09946540583,190035.35270458536,368300.9648923519
t29,25040.648540515696,157024.3865416862,195186.73197311,377251.7670553119
t30,24801.566893167663,159314.88488184774,195186.73197311,379303.1837481254
t31,23101.84060110638,158958.1001346176,195186.73197311,377246.67270883394
t32,20581.737204082092,153611.08542693986,195186.73197311,369379.55460413196
t33,19311.521151818786,150953.22703134606,195186.73197311,365451.48015627486
t34,20528.16868345806,154732.06743135484,195186.73197311,370446.9680879229
t35,22028.25176513094,155665.49497576786,200338.11124163464,378031.8579825334
t36,23788.043217979204,156535.3888362504,200338.11124163464,380661.54329586425
t37,25162.055553282196,158350.9039055116,200338.11124163464,383851.07070042845
t38,25789.295137751218,162382.0324467697,200338.11124163464,388509.43882615556
t39,26273.62987747985,164892.94572750168,200338.11124163464,391504.68684661615
t40,25434.608062183248,167142.08353815696,200338.11124163464,392914.8028419749
t41,22955.13295947297,164656.76243841904,200338.11124163464,387950.0066395267
t42,19807.4767273365,164855.4000787519,200338.11124163464,385000.9880477231
t43,16659.82049520003,165817.94519461438,200338.11124163464,382815.87693144905
t44,13647.664632133072,167539.97237726307,200338.11124163464,381525.7482510308
t45,11232.945375625517,169835.7518572267,200338.11124163464,381406.80847448687
t46,9696.809364058263,171909.09942829786,205489.4905101593,387095.39930251543
t47,8998.657390719052,173796.90701230871,205489.4905101593,388285.05491318705
t48,9185.776394052202,176936.08728807265,205489.4905101593,391611.35419228417
t49,9910.170137664225,180449.9817660216,205489.4905101593,395849.6424138451
t50,10974.77591404799,184101.73931099655,210640.86977868393,405717.38500372844
t51,12205.76954252504,187835.7645530361,210640.86977868393,410682.40387424506
t52,13479.522060366846,190117.2875640431,210640.86977868393,414237.6794030939
t53,14564.577740359842,189259.69358275583,210640.86977868393,414465.1411017996
t54,15022.193195978722,186809.32411889004,210640.86977868393,412472.38709355274
t55,14087.932556071675,184208.7246615411,215792.24904720858,414088.90626482136
t56,12339.884185538676,182138.9927886551,215792.24904720858,410271.12602140236
