Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20594.745176989367,44054.44166070508,80943.91613686015
n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20606.18091749777,44107.54204305691,84433.10743930307
n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20745.89332610044,44543.83298336552,88257.45407666895
n4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20942.307740165063,44065.832503916194,90114.90592644153
n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21087.597395206612,42442.52722671629,92311.96387919005
n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21009.955419116366,41243.13409697827,96075.95142504397
n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20490.82536244362,40632.88644197326,96075.95142504397
n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19488.474521053704,38992.30283339401,98102.21329038766
n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20507.744576473728,42144.56343343969,99940.52442958491
n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23171.920811354034,42676.157272481425,97440.3395360646
n11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25836.09704623434,44159.283584913675,93182.6413403814
n12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28500.273281114645,46219.37786223973,88205.85736892988
n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31164.44951599495,49205.56424043938,82961.1965775852
n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33828.62575087526,50207.38517160479,77506.71188349927
n15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36492.80198575557,48421.79237024507,72449.76632373505
n16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38232.58473305715,47418.375431287044,68648.81624722251
n17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37175.74128262361,44702.61803213075,68032.87982606933
n18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34028.08505048714,41715.3800522878,68032.87982606933
n19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30880.428818350672,42439.19050429404,68032.87982606933
n20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27860.16363193292,38144.23201483619,68032.87982606933
n21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25295.663503827946,36999.04132161208,72724.38053703525
n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23481.25382109075,35131.93793687382,72724.38053703525
n23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22439.681228969283,35390.029135856385,72724.38053703525
n24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22223.66239180094,35119.58241884539,72724.38053703525
n25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22558.578425764445,35616.61346685314,72724.38053703525
n26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23157.48412450165,38615.59043628066,72724.38053703525
n27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23863.28704665074,40919.19141428314,72724.38053703525
n28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24563.512722360952,43702.43735181165,72724.38053703525
n29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25040.648540515922,47024.72442809199,77875.75980555991
n30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24801.566893167896,49315.22276825353,77875.75980555991
n31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23101.84060110662,48958.438021023365,77875.75980555991
n32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20581.73720408234,43611.42331334563,77875.75980555991
n33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19311.52115181904,40953.56491775183,77875.75980555991
n34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20528.168683458323,44732.405317760604,77875.75980555991
n35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22028.251765131205,45665.83286217364,77875.75980555991
n36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23788.043217979477,46535.72672265619,77875.75980555991
n37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25162.055553282476,48351.24179191737,81583.58306132583
n38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25789.295137751502,52382.37033317545,81583.58306132583
n39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26273.629877480136,54893.28361390741,81583.58306132583
