Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,7.014347498045653e6,9.376314859489337e6,7.765674495626692e6,2.415633685316168e7
t1,0.0,124.55556878337939,0.0,124.55556878337939
t2,12.430152726526103,57.71780690415471,3792.5992417857888,3862.7472014164696
t3,151.8613136985523,474.2292829441494,4156.898518875953,4782.989115518655
t4,213.4939283311135,0.0,2018.9694019267254,2232.463330257839
t5,157.92353808863962,0.0,2388.1064703788297,2546.0300084674695
t6,0.0,0.0,4091.290810710774,4091.290810710774
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,2202.458549286631,2202.458549286631
t9,1107.902234152199,3426.370217440958,1998.1642817361453,6532.436733329302
t10,2895.8437335655512,577.8193902627545,0.0,3473.6631238283057
t11,2895.8437335655512,1612.0938178611443,0.0,4507.937551426696
t12,2895.8437335655512,2239.2329101370124,0.0,5135.076643702563
t13,2895.8437335655512,3245.854758912662,0.0,6141.698492478214
t14,2895.8437335655512,1088.935794745009,0.0,3984.77952831056
t15,2895.8437335655512,0.0,0.0,2895.8437335655512
t16,1891.0682035886737,0.0,0.0,1891.0682035886737
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,786.7504913111345,0.0,786.7504913111345
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,5099.457294528169,5099.457294528169
t22,0.0,0.0,0.0,0.0
t23,0.0,280.53391193756784,0.0,280.53391193756784
t24,0.0,0.0,0.0,0.0
t25,364.03916735163443,540.2511391388573,0.0,904.2903064904917
t26,650.9844551491362,3259.7575754646973,0.0,3910.742030613834
t27,767.1770892924908,2503.914106524429,0.0,3271.09119581692
t28,761.1148649024028,3025.2673234005556,0.0,3786.3821883029586
t29,518.6258892988792,3611.1816046525432,5599.325291874628,9729.132785826052
t30,0.0,2489.672108871238,0.0,2489.672108871238
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,1322.4429691731314,4107.435217400843,0.0,5429.878186573974
t35,1630.52508877487,1014.595156970687,0.0,2645.120245745557
t36,1912.8167965742089,945.5368048723369,0.0,2858.353601446546
t37,1493.4916688076066,1973.3859448491105,4030.242669310791,7497.120282967508
t38,681.7821570315502,4381.661457889223,0.0,5063.443614920773
t39,526.4508040528638,2729.2535660129993,0.0,3255.7043700658633
t40,0.0,2444.7150115818117,0.0,2444.7150115818117
t41,0.0,0.0,0.0,0.0
t42,0.0,215.91047862266285,0.0,215.91047862266285
t43,0.0,1046.2446911548734,0.0,1046.2446911548734
t44,0.0,1871.7686767920452,0.0,1871.7686767920452
