Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,2.4126857786704437e6,0.0,1.0500373561475199e7,0.0,0.0,0.0,1.2913059340145642e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,3604.220901444777,0.0,0.0,0.0,3604.220901444777
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0,0.0,3896.1007805487798,0.0,0.0,0.0,3896.1007805487798
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,3212.029115434504,0.0,0.0,0.0,3212.029115434504
t19,0.0,0.0,0.0,0.0,0.0,0.0,4970.28636545463,0.0,0.0,0.0,4970.28636545463
t20,0.0,0.0,0.0,0.0,0.0,0.0,5465.127441694161,0.0,0.0,0.0,5465.127441694161
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0,0.0,0.0,5591.044171004597,0.0,0.0,0.0,5591.044171004597
t23,0.0,0.0,0.0,0.0,0.0,0.0,5213.60870676246,0.0,0.0,0.0,5213.60870676246
t24,0.0,0.0,0.0,0.0,0.0,0.0,5684.223970905411,0.0,0.0,0.0,5684.223970905411
t25,0.0,0.0,0.0,0.0,0.0,0.0,6139.609713506955,0.0,0.0,0.0,6139.609713506955
t26,0.0,0.0,0.0,0.0,0.0,0.0,6082.07809628027,0.0,0.0,0.0,6082.07809628027
t27,0.0,0.0,0.0,0.0,0.0,0.0,6820.541217817016,0.0,0.0,0.0,6820.541217817016
t28,0.0,0.0,0.0,0.0,0.0,0.0,7463.4763305068145,0.0,0.0,0.0,7463.4763305068145
t29,0.0,0.0,0.0,0.0,0.0,0.0,1483.2132321721092,0.0,0.0,0.0,1483.2132321721092
t30,0.0,0.0,0.0,0.0,0.0,0.0,6536.425209736269,0.0,0.0,0.0,6536.425209736269
t31,0.0,0.0,0.0,0.0,0.0,0.0,6144.680040374254,0.0,0.0,0.0,6144.680040374254
t32,0.0,0.0,0.0,0.0,0.0,0.0,7538.705613028491,0.0,0.0,0.0,7538.705613028491
t33,0.0,0.0,0.0,0.0,0.0,0.0,7599.253826891513,0.0,0.0,0.0,7599.253826891513
t34,0.0,0.0,0.0,0.0,0.0,0.0,7159.878895889696,0.0,0.0,0.0,7159.878895889696
t35,0.0,0.0,0.0,0.0,0.0,0.0,6572.840811139555,0.0,0.0,0.0,6572.840811139555
t36,0.0,0.0,0.0,0.0,0.0,0.0,4333.298430883539,0.0,0.0,0.0,4333.298430883539
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0,0.0,0.0,4613.491763757552,0.0,0.0,0.0,4613.491763757552
t39,0.0,0.0,0.0,0.0,0.0,0.0,5566.971705285258,0.0,0.0,0.0,5566.971705285258
t40,0.0,0.0,0.0,0.0,0.0,0.0,5881.330340036859,0.0,0.0,0.0,5881.330340036859
t41,0.0,0.0,0.0,0.0,0.0,0.0,6713.986626939522,0.0,0.0,0.0,6713.986626939522
t42,0.0,0.0,0.0,0.0,0.0,0.0,7137.922899228312,0.0,0.0,0.0,7137.922899228312
t43,0.0,0.0,0.0,0.0,0.0,0.0,6509.363945739545,0.0,0.0,0.0,6509.363945739545
t44,0.0,0.0,0.0,0.0,0.0,0.0,7105.481587232924,0.0,0.0,0.0,7105.481587232924
