BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.9453229369227108e7,5.936943722345827e6,-7.014347498045653e6,0.0,0.0,85255.75181497217,0.0,5.447094626357866e7,-437713.60892076185,-8.249431400000015e7,5.41998829543239e7,7.936112897071789e6,-9.376314859489337e6,0.0,0.0,5449.93528411748,0.0,-2.9021666275461804e7,-179388.65172857483,-2.3564075999999933e7,3.8144036835601486e7,6.572866893098434e6,-7.765674495626692e6,0.0,0.0,2594.712235656841,0.0,-2.5449279988116734e7,-258324.9571921803,-1.1246219000000006e7
t1,0.0,277.54624726602054,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053593,-8851.857980260273,7323.711739515172,0.0,-124.55556878337939,0.0,0.0,0.0,0.0,-4642.182396944788,-28.56296995053593,-2528.4108038364684,5246.691072485813,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1207.3833784858127
t2,0.0,0.0,-12.430152726526103,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8561.881580267725,7174.00839573563,0.0,-57.71780690415471,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2445.5452219361523,8999.886170538592,0.0,-3792.5992417857888,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1167.979234752803
t3,0.0,0.0,-151.8613136985523,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8422.4504192957,7550.0976367022995,0.0,-474.2292829441494,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2405.1229868628275,9343.97819443234,0.0,-4156.898518875953,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t4,0.0,0.0,-213.4939283311135,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8360.817804663138,6619.9390186354385,439.7604410933825,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2388.9540928334977,7197.966176204547,0.0,-2018.9694019267254,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1139.6890802778216
t5,0.0,0.0,-157.92353808863962,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8416.388194905612,5581.416942857406,1493.4408550239116,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2404.1124309859947,7575.186145935218,0.0,-2388.1064703788297,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t6,0.0,71.43061800302591,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8645.742350997278,6037.102250516493,1103.4416793589774,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2469.7985629801474,9308.681366061785,0.0,-4091.290810710774,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1178.0828613510105
t7,0.0,477.59965213892696,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-9051.911385133179,6695.330013106676,561.4278426046028,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2586.012488815956,5273.9708643009735,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1234.6631703009734
t8,0.0,922.1627740787197,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-9496.474507072971,5873.740420422507,1509.3369198929124,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2712.3319734200963,7537.05117317685,0.0,-2202.458549286631,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1295.2849298902192
t9,2619.1111448011425,0.0,-1107.902234152199,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-10085.520643643194,10977.199833310677,0.0,-3426.370217440958,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2880.0842489743945,7412.575555752205,0.0,-1998.1642817361453,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1375.1035800160596
t10,4914.295439969408,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,8496.767970750381,-66.97594083743746,-10448.2437363168,8086.427112138778,0.0,-577.8193902627545,0.0,0.0,0.0,0.0,-4496.76797075038,-27.668246837437472,-2984.171504288206,3163.7489423085867,2300.1701020386904,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1424.611350347277
t11,6759.113037135086,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,6784.8899716731885,-56.44289502717243,-10591.71638021555,7439.723285799869,0.0,-1612.0938178611443,0.0,0.0,0.0,0.0,-2784.889971673188,-17.135201027172435,-3025.604295238364,1566.0335948553216,3917.08234002855,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1443.8082408838713
t12,6408.694028796175,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,7135.445176151643,-58.599832630079206,-10589.695638752188,8418.563964280265,0.0,-2239.2329101370124,0.0,0.0,0.0,0.0,-3135.4451761516434,-19.292138630079204,-3024.593739361531,903.4643184886622,4578.641253735388,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1442.7978782240507
t13,6838.58951325319,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,6638.840769155717,-55.54426618709244,-10526.042282656263,8907.335833834006,0.0,-3245.854758912662,0.0,0.0,0.0,0.0,-2638.840769155717,-16.23657218709244,-3006.4037335785347,648.9347429083836,4825.087928037101,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1434.7149769454845
t14,6318.37985138924,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,7081.957604993729,-58.2707279639816,-10446.222994853435,7174.027937990925,0.0,-1088.935794745009,0.0,0.0,0.0,0.0,-3081.9576049937286,-18.963033963981605,-2984.171504288206,444.7827631283979,5018.125918559058,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1423.6009876874562
t15,5092.515416719095,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,8283.895975819465,-65.66615680169514,-10414.901502171315,5642.585562766931,1642.7453772509384,-0.0,0.0,0.0,0.0,0.0,-4283.895975819466,-26.358462801695143,-2975.076501396708,806.477316065086,4652.389914983087,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1419.559537048173
t16,3749.844645936001,0.0,-1891.0682035886737,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-10433.088175341578,6727.73106383481,923.143583841387,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2980.1292807808736,1965.0242486361021,3496.874070391533,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1422.5906250276355
t17,1373.4791606188835,972.2959743988529,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-10920.086868011987,5290.823995578539,2498.4968072237943,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3118.575435907011,4961.92074711488,566.6615074609253,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1489.2745605758057
t18,176.38795753107178,2895.8437335655512,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11646.543424090874,5249.236371974446,2748.2589414555105,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3326.749946534634,5626.58743257842,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1587.27973857842
t19,180.4294404577983,2895.8437335655512,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11650.584907017601,8785.256360617925,0.0,-786.7504913111345,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3327.760502411467,5627.597795238241,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1588.2901012382406
t20,84.44097813424955,2778.643971504335,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11437.396682632836,3986.5107063955766,3951.361810301226,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3267.12714980148,5599.307640763259,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1559.9999467632592
t21,84.44097813424963,2359.340117856577,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11018.092828985078,6765.051485464315,1053.575437766179,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3147.8815563351714,10641.174263681643,0.0,-5099.457294528169,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1502.4092751534758
t22,84.44097813424963,1669.2569081182178,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-10328.009619246719,5903.833413288839,1717.7351139591963,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2950.823160352713,5446.742879130324,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1407.435185130324
t23,23.527862496168474,958.2467847517498,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-9556.08638024217,7680.79070215915,0.0,-280.53391193756784,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2729.5114233262593,5341.665162508964,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1302.3574685089645
t24,0.0,198.73733019487435,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8773.049063189126,6927.102405914516,248.8109796501137,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2505.1680186693065,5235.577083227784,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1196.2693892277844
t25,0.0,0.0,-364.03916735163443,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8210.272565642617,7556.496696163854,0.0,-540.2511391388573,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2345.5001901296737,5158.789521081407,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1119.4818270814062
