Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,1.3016411401782327e9,2.970898766112213e9,2.542847901845979e9,6.815387808136425e9
t1,144792.18667827753,324868.6160202672,279966.2645937315,749627.0672922762
t2,144803.62241878593,324921.71640261903,283455.4558961744,753180.7947175794
t3,144943.3348273886,325358.0073429276,287279.8025335403,757581.1447038566
t4,145139.74924145325,324880.0068634783,289137.2543833129,759157.0104882445
t5,145285.0388964948,323256.7015862784,291334.3123360614,759876.0528188345
t6,145207.39692040457,322057.30845654034,295098.29988191527,762363.0052588602
t7,144688.2668637318,321447.0608015353,295098.29988191527,761233.6275471824
t8,143685.9160223419,319806.4771929561,297124.561747259,760616.954962557
t9,144705.18607776193,322958.73779300175,298962.87288645626,766626.7967572199
t10,147369.36231264225,323490.33163204347,296462.68799293594,767322.3819376216
t11,150033.53854752256,324973.4579444757,292204.98979725275,767211.986289251
t12,152697.71478240288,327033.5522218018,287228.20582580124,766959.4728300059
t13,155361.8910172832,330019.73860000144,281983.5450344566,767365.1746517413
t14,158026.0672521635,331021.55953116686,276529.06034037063,765576.687123701
t15,160690.24348704383,329235.96672980714,271472.1147806064,761398.3249974574
t16,162430.02623434537,328232.5497908491,267671.1647040939,758333.7407292884
t17,161373.18278391182,325516.7923916928,267055.2282829407,753945.2034585453
t18,158225.52655177534,322529.5544118499,267055.2282829407,747810.3092465659
t19,155077.87031963887,323253.3648638561,267055.2282829407,745386.4634664357
t20,152057.60513322114,318958.40637439827,267055.2282829407,738071.2397905601
t21,149493.10500511617,317813.2156811742,271746.7289939066,739053.0496801969
t22,147678.69532237898,315946.1122964359,271746.7289939066,735371.5366127214
t23,146637.1227302575,316204.2034954185,271746.7289939066,734588.0552195825
t24,146421.10389308917,315933.7567784075,271746.7289939066,734101.5896654032
t25,146756.01992705266,316430.78782641527,271746.7289939066,734933.5367473746
t26,147354.92562578988,319429.7647958428,271746.7289939066,738531.4194155394
t27,148060.72854793898,321733.3657738453,271746.7289939066,741540.8233156909
t28,148760.9542236492,324516.6117113738,271746.7289939066,745024.2949289295
t29,149238.09004180416,327838.8987876541,276898.1082624312,753975.0970918895
t30,148999.00839445612,330129.39712781564,276898.1082624312,756026.513784703
t31,147299.28210239485,329772.61238058546,276898.1082624312,753970.0027454116
t32,144779.17870537058,324425.59767290775,276898.1082624312,746102.8846407095
t33,143508.96265310727,321767.7392773139,276898.1082624312,742174.8101928524
t34,144725.61018474656,325546.5796773227,276898.1082624312,747170.2981245006
t35,146225.69326641943,326480.0072217357,276898.1082624312,749603.8087505864
t36,147985.4847192677,327349.9010822183,276898.1082624312,752233.4940639172
t37,149359.4970545707,329165.41615147947,280605.9315181972,759130.8447242473
t38,149986.73663903974,333196.5446927376,280605.9315181972,763789.2128499745
t39,150471.07137876836,335707.4579734695,280605.9315181972,766784.460870435
t40,149632.04956347178,337956.5957841248,280605.9315181972,768194.5768657938
t41,147152.5744607615,335471.2746843869,280605.9315181972,763229.7806633456
t42,144004.91822862503,335669.9123247198,280605.9315181972,760280.762071542
t43,140857.26199648855,336632.4574405823,280605.9315181972,758095.650955268
t44,137845.10613342162,338354.48462323094,280605.9315181972,756805.5222748497
t45,135430.38687691407,340650.2641031946,280605.9315181972,756686.5824983058
t46,133894.2508653468,342723.6116742657,285757.3107867218,762375.1733263343
t47,133196.0988920076,344611.4192582765,285757.3107867218,763564.828937006
t48,133383.21789534076,347750.59953404043,285757.3107867218,766891.128216103
t49,134107.61163895277,351264.4940119894,285757.3107867218,771129.4164376641
t50,135172.21741533655,354916.25155696436,285757.3107867218,775845.7797590226
t51,136403.21104381362,358650.27679900394,285757.3107867218,780810.7986295393
t52,137676.96356165543,360931.79981001094,285757.3107867218,784366.0741583882
t53,138762.01924164844,360074.2058287237,285757.3107867218,784593.535857094
t54,139219.63469726732,357623.83636485785,285757.3107867218,782600.7818488469
t55,138285.37405736028,355023.2369075089,285757.3107867218,779065.921751591
t56,136537.3256868273,352953.5050346229,290908.69005524646,780399.5207766967
t57,136026.28246789554,355235.67692547484,290908.69005524646,782170.6494486169
t58,138472.20578257664,358387.46777665557,290908.69005524646,787768.3636144786
t59,141136.38201745696,364365.0503114285,290908.69005524646,796410.1223841319
t60,143800.55825233727,370342.6328462014,290908.69005524646,805051.8811537852
t61,146464.7344872176,376320.21538097435,290908.69005524646,813693.6399234384
t62,149128.9107220979,382297.7979157473,290908.69005524646,822335.3986930917
t63,151793.08695697822,388275.3804505202,296060.0693237711,836128.5367312694
t64,154457.26319185854,389784.76883014984,296060.0693237711,840302.1013457796
t65,154507.29962686394,394456.24831862136,296060.0693237711,845023.6172692564
t66,151546.80637831334,393618.53499906836,296060.0693237711,841225.4107011529
t67,148575.330839201,393122.91426197503,296060.0693237711,837758.3144249471
t68,145895.98422903128,390892.11984568584,301211.44859229575,837999.5526670129
t69,143692.1708001855,387867.44122128544,301211.44859229575,832771.0606137667
t70,142275.78760461748,388708.44544243213,301211.44859229575,832195.6816393454
t71,141843.4176433826,390441.7023881726,301211.44859229575,833496.5686238509
t72,142256.41512749044,392999.52012907853,301211.44859229575,836467.3838488647
t73,143170.43525002443,395859.12885382166,301211.44859229575,840241.0126961418
t74,144336.3610033812,397180.14473531063,301211.44859229575,842727.9543309876
t75,145614.76122658874,399007.9600571669,301211.44859229575,845834.1698760515
t76,146887.5842033574,402546.12443196395,301211.44859229575,850645.1572276171
t77,147947.54227437545,406059.66364134673,301211.44859229575,855218.6545080179
t78,148318.71041019168,407313.9203803091,301211.44859229575,856844.0793827965
t79,147216.42072468981,410111.24202245584,306362.8278608204,863690.490607966
t80,145254.21768820263,410895.05587601586,311514.20712934504,867663.4806935636
t81,145958.08107631572,414072.92122539174,311514.20712934504,871545.2094310524
t82,148622.25731119604,418063.9869276414,311514.20712934504,878200.4513681824
t83,151286.43354607635,424041.5694624143,311514.20712934504,886842.2101378357
t84,153950.60978095667,430019.15199718723,311514.20712934504,895483.968907489
t85,156614.786015837,435996.73453196016,311514.20712934504,904125.7276771422
t86,159278.9622507173,441974.3170667331,311514.20712934504,912767.4864467954
t87,161943.13848559762,447951.899601506,311514.20712934504,921409.2452164487
t88,164272.48287315964,451352.2585060055,311514.20712934504,927138.9485085101
t89,164420.51093015374,450798.38416275993,316665.5863978697,931884.4814907834
t90,161272.85469801727,446604.00770610647,316665.5863978697,924542.4488019934
t91,158125.1984658808,442085.73592852865,316665.5863978697,916876.5207922792
t92,155100.55354198703,439810.98298111884,316665.5863978697,911577.1229209756
t93,152533.87013451837,434165.1906627342,316665.5863978697,903364.6471951222
t94,150787.56383201273,430183.6491088685,316665.5863978697,897636.799338751
t95,150064.2272699573,423710.15511264955,316420.35663393844,890194.7390165452
t96,150158.3921659758,417947.24078437436,316420.35663393844,884525.9895842886
t97,150773.10006295648,412544.0226757019,316420.35663393844,879737.4793725968
t98,151653.65670685717,408365.0441410675,316420.35663393844,876439.0574818631
