region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,0.0,0.0,0.0,5.400675e7,0.0,0.0,3.788596976725325e7,2.1116633610079986e8,0.0,2.5211659435030217e6,0.0,0.0,3.010358038684817e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.010358038684817e8,3.055802218115561e8,-4.544417943074405e6
CT,CT_natural_gas_combined_cycle,2,1,2,0.0,0.0,0.0,1.21225e7,0.0,0.0,1.9916489626037072e7,8.943928119181877e7,0.0,982267.207482072,0.0,0.0,1.3214020516934009e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3214020516934009e8,1.2246053802533792e8,9.67966714400217e6
ME,ME_natural_gas_combined_cycle,3,1,3,0.0,0.0,0.0,8.1455e6,0.0,0.0,414989.17700448894,3.2354031756343623e6,0.0,92410.22825508968,0.0,0.0,3.74280258089393e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74280258089393e6,1.188830258089394e7,-8.145500000000009e6
MA,MA_solar_pv,1,1,4,0.0,0.0,0.0,2.2590586242054912e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.265621295043384e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.265621295043384e8,2.2590586242054912e8,656267.083789289
CT,CT_onshore_wind,2,1,5,0.0,0.0,0.0,4.8382367750461775e8,0.0,0.0,2.8281049904141948e6,0.0,0.0,0.0,0.0,0.0,2.8828767062129235e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8828767062129235e8,4.8665178249503195e8,-1.983641118737396e8
CT,CT_solar_pv,2,1,6,0.0,0.0,0.0,2.4709912542113706e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.40777924494092e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.40777924494092e8,2.4709912542113706e8,-6.321200927045077e6
ME,ME_onshore_wind,3,1,7,0.0,0.0,0.0,5.866156457370627e8,0.0,0.0,3.8381893617087374e6,0.0,0.0,0.0,0.0,0.0,3.7067073242383575e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7067073242383575e8,5.904538350987715e8,-2.197831026749357e8
MA,MA_battery,1,0,8,0.0,0.0,0.0,1.4175155075803373e7,1.6216724907967083e7,0.0,901609.6505721441,0.0,1.0652287932090594e6,0.0,8.17506540286311e7,0.0,1.3425056097345227e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3425056097345227e8,1.1410937245618276e8,2.0141188517269507e7
CT,CT_battery,2,0,9,0.0,0.0,0.0,3.180463750838416e7,3.638528499426992e7,0.0,1.1934978271475802e6,0.0,1.4100872248908055e6,0.0,8.467891618334594e7,0.0,1.57015026057283e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57015026057283e8,1.554724237380384e8,1.5426023192446232e6
ME,ME_battery,3,0,10,0.0,0.0,0.0,2.7408697303726304e7,3.1356221634497926e7,0.0,1.0462049244729417e6,0.0,1.2360644192733248e6,0.0,6.927139990936321e7,0.0,1.2925565384939604e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2925565384939604e8,1.3031858819133371e8,-1.062934341937676e6
