Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20594.74517698939,44054.44166070784,79552.3398767773
n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20606.180917497793,44107.54204305962,83041.53117922023
n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20745.893326100464,44543.832983368215,86865.8778165861
n4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20942.307740165088,44065.832503918886,88723.32966635868
n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21087.597395206638,42442.52722671898,88723.32966635868
n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21009.955419116395,41243.13409698096,92487.3172122126
n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20490.82536244365,40632.886441975956,96071.72993031748
n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19488.47452105374,38992.3028333967,98097.99179566118
n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20507.744576473768,42144.563433442374,99936.30293485842
n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23171.920811354074,42676.15727248409,97436.11804133811
n11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25836.09704623438,44159.283584916375,93178.4198456549
n12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28500.273281114685,46219.37786224245,88201.63587420339
n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31164.44951599499,49205.564240442174,82956.97508285871
n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33828.6257508753,50207.38517160765,77502.49038877279
n15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36492.80198575561,48421.79237024794,72445.54482900856
n16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38232.58473305717,47418.37543128991,68644.59475249602
n17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37175.74128262363,44702.618032133614,68028.65833134284
n18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34028.08505048716,41715.38005229067,68028.65833134284
n19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30880.428818350694,42439.1905042969,68028.65833134284
n20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27860.16363193294,38144.23201483904,73056.57557770147
n21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25295.663503827967,36999.04132161493,73056.57557770147
n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23481.253821090773,35131.937936876675,73056.57557770147
n23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22439.681228969308,35390.02913585923,73056.57557770147
n24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22223.662391800968,35119.58241884824,78207.95484622613
n25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22558.578425764474,35616.61346685601,78207.95484622613
n26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23157.484124501683,38615.5904362835,78207.95484622613
n27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23863.287046650777,40919.191414285975,78207.95484622613
n28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24563.512722360992,43702.43735181441,78207.95484622613
n29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25040.648540515962,47024.72442809475,78207.95484622613
n30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24801.56689316794,49315.222768256266,78207.95484622613
n31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23101.840601106665,48958.43802102609,78207.95484622613
n32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20581.737204082387,43611.42331334836,78207.95484622613
n33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19311.52115181909,40953.56491775456,83359.33411475079
n34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20528.168683458374,44732.40531776333,83359.33411475079
n35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22028.25176513126,45665.83286217635,83359.33411475079
n36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23788.04321797953,46535.726722658845,83359.33411475079
n37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25162.05555328253,48351.24179192004,83359.33411475079
n38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25789.295137751556,52382.3703331782,83359.33411475079
n39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26273.62987748019,54893.2836139102,88480.94808361323
n40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25434.6080621836,57142.42142456537,88480.94808361323
n41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22955.13295947333,54657.10032482745,88480.94808361323
n42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19807.47672733686,54855.73796516025,93632.32735213789
n43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16659.82049520039,55818.28308102276,93632.32735213789
n44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13647.664632133436,57540.31026367142,93632.32735213789
n45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11232.945375625884,59836.08974363512,93632.32735213789
n46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9696.809364058636,61909.43731470624,93632.32735213789
n47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8998.657390719432,63797.24489871701,93632.32735213789
n48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9185.77639405259,66936.42517448086,93632.32735213789
n49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9910.17013766462,70450.31965242987,93632.32735213789
n50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10974.775914048392,74102.07719740478,93632.32735213789
n51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12205.76954252545,77836.10243944437,98783.70662066255
n52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13479.52206036726,80117.62545045136,98783.70662066255
