Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.0672104159789648e7,5250.0,0.23205271058468516
CT_natural_gas_combined_cycle,2,5.578848634744278e6,1250.0,0.5094838935839534
ME_natural_gas_combined_cycle,3,92219.81711210865,500.0,0.021054752765321653
MA_solar_pv,1,1.8358780848521862e7,12041.890320924793,0.17403839285714343
CT_onshore_wind,2,2.8281049904141944e7,11198.326061905283,0.2882957985423068
CT_solar_pv,2,2.062224074591291e7,13171.595171702402,0.17872831959706995
ME_onshore_wind,3,3.838189361708737e7,13577.494404283363,0.32270274431228757
MA_battery,1,6.010731003814294e6,2895.8437335655512,0.0
CT_battery,2,7.956652180983868e6,6497.372320405344,0.0
ME_battery,3,6.974699496486278e6,5599.325291874628,0.0
