Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,7.101525288060396e6,9.400581499272037e6,8.240429461822166e6,2.47425362491546e7
t1,0.0,124.55556878337848,0.0,124.55556878337848
t2,12.430152726526854,57.71780690411106,3792.5992417857888,3862.747201416427
t3,151.86131369855502,474.22928294412407,4156.898518875953,4782.989115518632
t4,213.49392833111304,0.0,2018.9694019267254,2232.4633302578386
t5,157.92353808864112,0.0,0.0,157.92353808864112
t6,0.0,0.0,4091.290810710774,4091.290810710774
t7,0.0,0.0,3896.1007805487798,3896.1007805487798
t8,0.0,0.0,2202.458549286631,2202.458549286631
t9,1107.9022341522036,3426.370217440948,1998.1642817361453,6532.436733329297
t10,2895.8437335655512,577.8193902627327,0.0,3473.663123828284
t11,2895.8437335655512,1612.0938178611812,0.0,4507.937551426732
t12,2895.8437335655512,2239.2329101370387,0.0,5135.07664370259
t13,2895.8437335655512,3245.854758912743,0.0,6141.698492478294
t14,2895.8437335655512,1088.935794745086,0.0,3984.779528310637
t15,2895.8437335655512,0.0,0.0,2895.8437335655512
t16,1891.0682035886566,0.0,0.0,1891.0682035886566
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,786.7504913111233,0.0,786.7504913111233
t20,0.0,0.0,5465.1274416941615,5465.1274416941615
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,280.5339119375592,0.0,280.5339119375592
t24,0.0,0.0,5599.325291874628,5599.325291874628
t25,364.03916735163637,540.251139138886,0.0,904.2903064905223
t26,650.9844551491409,3259.75757546466,0.0,3910.742030613801
t27,767.1770892924937,2503.9141065244303,0.0,3271.091195816924
t28,761.1148649024076,3025.267323400476,0.0,3786.3821883028836
t29,518.6258892988798,3611.1816046525387,0.0,4129.807493951418
t30,0.0,2489.6721088712143,0.0,2489.6721088712143
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,5599.325291874628,5599.325291874628
t34,1322.4429691731332,4107.435217400843,0.0,5429.878186573976
t35,1630.5250887748748,1014.5951569706717,0.0,2645.1202457455465
t36,1912.816796574209,945.5368048722764,0.0,2858.3536014464853
t37,1493.491668807608,1973.385944849123,0.0,3466.8776136567312
t38,681.7821570315493,4381.661457889309,0.0,5063.443614920858
t39,526.4508040528633,2729.2535660130416,5566.971705285259,8822.676075351164
t40,0.0,2444.7150115817076,0.0,2444.7150115817076
t41,0.0,0.0,0.0,0.0
t42,0.0,215.9104786226121,5599.325291874628,5815.23577049724
t43,0.0,1046.2446911548993,0.0,1046.2446911548993
t44,0.0,1871.7686767920184,0.0,1871.7686767920184
t45,0.0,2495.4124782214185,0.0,2495.4124782214185
t46,0.0,2253.63866420774,0.0,2253.63866420774
t47,0.0,2051.96476522909,0.0,2051.96476522909
t48,203.39022101430086,3412.1524736563592,0.0,3615.5426946706602
t49,787.38450392612,3819.4505195097954,0.0,4606.835023435915
t50,1157.1801917214918,3969.3016793205575,0.0,5126.4818710420495
t51,1338.0365526924536,4058.723089173461,5599.325291874628,10996.084933740543
t52,1384.5136063497944,2479.9163163119533,0.0,3864.4299226617477
t53,1179.4083478184803,0.0,0.0,1179.4083478184803
t54,497.4081039335725,0.0,0.0,497.4081039335725
t55,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0
t57,0.0,2480.621620491223,0.0,2480.621620491223
t58,2658.6122985664074,3425.8596208486856,0.0,6084.471919415093
t59,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t60,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t61,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t62,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t63,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t64,2895.8437335655512,1640.6395430757623,0.0,4536.483276641314
t65,54.387429353771395,5077.695096164699,0.0,5132.08252551847
t66,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
t70,0.0,914.1350229855364,0.0,914.1350229855364
