BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.9030885008311514e7,6.010731003814294e6,-7.101525288060396e6,0.0,0.0,0.0,0.0,5.49952608556546e7,-441037.5797200273,-8.249431400000015e7,5.4482139284799136e7,7.956652180983868e6,-9.400581499272037e6,0.0,0.0,0.0,0.0,-2.9293175562012583e7,-180958.40449836673,-2.3564075999999933e7,3.847411343419948e7,6.974699496486278e6,-8.240429461822166e6,0.0,0.0,0.0,0.0,-2.5702085293641962e7,-260079.17522165307,-1.1246219000000006e7
t1,0.0,277.5462472660192,-0.0,0.0,0.0,0.0,0.0,8642.182396944789,-67.87066395053593,-8851.857980260273,7323.711739515172,0.0,-124.55556878337848,0.0,0.0,0.0,0.0,-4642.182396944789,-28.562969950535933,-2528.4108038364684,5246.691072485813,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1207.3833784858127
t2,0.0,0.0,-12.430152726526854,0.0,0.0,0.0,0.0,8642.182396944789,-67.87066395053593,-8561.881580267725,7174.00839573563,0.0,-57.71780690411106,0.0,0.0,0.0,0.0,-4642.182396944789,-28.56296995053593,-2445.5452219361523,8999.886170538592,0.0,-3792.5992417857888,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1167.979234752803
t3,0.0,0.0,-151.86131369855502,0.0,0.0,0.0,0.0,8642.182396944789,-67.87066395053593,-8422.4504192957,7550.0976367022995,0.0,-474.22928294412407,0.0,0.0,0.0,0.0,-4642.182396944789,-28.56296995053593,-2405.1229868628275,9343.97819443234,0.0,-4156.898518875953,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t4,0.0,0.0,-213.49392833111304,0.0,0.0,0.0,0.0,8642.182396944789,-67.87066395053593,-8360.817804663138,6619.9390186354385,439.76044109338454,-0.0,0.0,0.0,0.0,0.0,-4642.182396944789,-28.56296995053593,-2388.9540928334977,7197.966176204547,0.0,-2018.9694019267254,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1139.6890802778216
t5,0.0,0.0,-157.92353808864112,0.0,0.0,0.0,0.0,8642.182396944789,-67.87066395053593,-8416.388194905612,5581.416942857406,1493.4408550239132,-0.0,0.0,0.0,0.0,0.0,-4642.182396944789,-28.56296995053593,-2404.1124309859947,5187.079675556388,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t6,0.0,71.43061800302439,-0.0,0.0,0.0,0.0,0.0,8642.182396944789,-67.87066395053593,-8645.742350997278,6037.102250516493,1103.441679358979,-0.0,0.0,0.0,0.0,0.0,-4642.182396944789,-28.56296995053593,-2469.7985629801474,9308.681366061785,0.0,-4091.290810710774,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1178.0828613510105
t7,0.0,477.5996521389252,-0.0,0.0,0.0,0.0,0.0,8642.182396944789,-67.87066395053593,-9051.911385133179,6695.330013106676,561.4278426046044,-0.0,0.0,0.0,0.0,0.0,-4642.182396944789,-28.56296995053593,-2586.012488815956,9170.071644849753,0.0,-3896.1007805487798,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1234.6631703009734
t8,0.0,922.1627740787189,-0.0,0.0,0.0,0.0,0.0,8642.182396944789,-67.87066395053593,-9496.474507072971,5873.740420422507,1509.336919892914,-0.0,0.0,0.0,0.0,0.0,-4642.182396944789,-28.56296995053593,-2712.3319734200963,7537.05117317685,0.0,-2202.458549286631,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1295.2849298902192
