Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,9.844580361326833e8,2.2460634905843954e9,2.1744133104630566e9,5.404934837180136e9
t1,20594.74517698939,523253.5895547976,517774.96355331654,1.0616232982851034e6
t2,20606.180917497793,523306.6899371494,521264.15485575947,1.0651770257104067e6
t3,20745.893326100464,523742.980877458,525088.5014931253,1.0695773756966838e6
t4,20942.307740165088,523264.98039800866,526945.9533428979,1.0711532414810718e6
t5,21087.597395206638,521641.67512080877,526945.9533428979,1.0696752258589133e6
t6,21009.955419116395,520442.2819910707,530709.9408887519,1.072162178298939e6
t7,20490.82536244365,519832.0343360657,534294.3536068568,1.0746172133053662e6
t8,19488.47452105374,518191.45072748646,536320.6154722004,1.0740005407207408e6
t9,20507.744576473768,521343.71132753213,538158.9266113976,1.0800103825154034e6
t10,23171.920811354074,521875.30516657385,535658.7417178773,1.0807059676958052e6
t11,25836.09704623438,523358.43147900613,531401.0435221941,1.0805955720474347e6
t12,28500.273281114685,525418.5257563322,526424.2595507427,1.0803430585881895e6
t13,31164.44951599499,528404.7121345319,521179.598759398,1.080748760409925e6
t14,33828.6257508753,529406.5330656974,515725.114065312,1.0789602728818848e6
t15,36492.80198575561,527620.9402643377,510668.1685055478,1.074781910755641e6
t16,38232.58473305717,526617.5233253797,506867.2184290353,1.0717173264874723e6
t17,37175.74128262363,523901.7659262234,506251.2820078821,1.067328789216729e6
t18,34028.08505048716,520914.5279463805,506251.2820078821,1.0611938950047498e6
t19,30880.428818350694,521638.3383983867,506251.2820078821,1.0587700492246195e6
t20,27860.16363193294,517343.3799089289,511279.1992542407,1.0564827427951025e6
t21,25295.663503827967,516198.1892157048,511279.1992542407,1.0527730519737736e6
t22,23481.253821090777,514331.08583096653,511279.1992542407,1.049091538906298e6
t23,22439.68122896931,514589.1770299491,511279.1992542407,1.0483080575131591e6
t24,22223.66239180097,514318.7303129381,516430.57852276537,1.0529729712275045e6
t25,22558.578425764477,514815.7613609459,516430.57852276537,1.0538049183094758e6
t26,23157.484124501687,517814.73833037337,516430.57852276537,1.0574028009776403e6
t27,23863.28704665078,520118.33930837584,516430.57852276537,1.060412204877792e6
t28,24563.512722360996,522901.5852459043,516430.57852276537,1.0638956764910307e6
t29,25040.648540515966,526223.8723221846,516430.57852276537,1.067695099385466e6
t30,24801.566893167943,528514.3706623461,516430.57852276537,1.0697465160782794e6
t31,23101.84060110667,528157.585915116,516430.57852276537,1.067690005038988e6
t32,20581.73720408239,522810.5712074383,516430.57852276537,1.059822886934286e6
t33,19311.521151819095,520152.7128118445,521581.95779129,1.0610461917549535e6
t34,20528.168683458378,523931.55321185326,521581.95779129,1.0660416796866017e6
t35,22028.251765131263,524864.9807562663,521581.95779129,1.0684751903126875e6
t36,23788.043217979535,525734.8746167488,521581.95779129,1.0711048756260183e6
t37,25162.055553282535,527550.38968601,521581.95779129,1.0742944030305825e6
t38,25789.29513775156,531581.5182272681,521581.95779129,1.0789527711563096e6
t39,26273.629877480194,534092.4315080001,526703.5717601525,1.0870696331456327e6
t40,25434.608062183604,536341.5693186553,526703.5717601525,1.0884797491409914e6
t41,22955.132959473332,533856.2482189174,526703.5717601525,1.0835149529385432e6
t42,19807.476727336863,534054.8858592502,531854.9510286772,1.0857173136152644e6
t43,16659.820495200394,535017.4309751127,531854.9510286772,1.08353220249899e6
t44,13647.66463213344,536739.4581577614,531854.9510286772,1.0822420738185719e6
t45,11232.945375625888,539035.2376377251,531854.9510286772,1.082123134042028e6
t46,9696.80936405864,541108.5852087962,531854.9510286772,1.0826603456015321e6
t47,8998.657390719436,542996.392792807,531854.9510286772,1.0838500012122034e6
t48,9185.776394052593,546135.5730685708,531854.9510286772,1.0871763004913004e6
t49,9910.170137664623,549649.4675465198,531854.9510286772,1.0914145887128618e6
t50,10974.775914048396,553301.2250914947,531854.9510286772,1.0961309520342203e6
t51,12205.769542525453,557035.2503335343,537006.3302972019,1.1062473501732615e6
t52,13479.522060367264,559316.7733445413,537006.3302972019,1.1098026257021106e6
t53,14564.577740360266,558459.179363254,537006.3302972019,1.1100300874008161e6
t54,15022.193195979153,556008.8098993882,537006.3302972019,1.1080373333925693e6
t55,14087.932556072115,553408.2104420393,537006.3302972019,1.1045024732953133e6
t56,12339.884185539126,551338.4785691532,537006.3302972019,1.1006846930518942e6
t57,11828.840966607351,553620.6504600052,537006.3302972019,1.1024558217238144e6
t58,14274.764281288446,556772.441311186,537006.3302972019,1.1080535358896763e6
t59,16938.940516168754,562750.0238459589,537006.3302972019,1.1166952946593296e6
t60,19603.11675104906,568727.6063807318,537006.3302972019,1.1253370534289829e6
t61,22267.292985929365,574705.1889155047,537006.3302972019,1.1339788121986361e6
t62,24931.46922080967,580682.7714502777,537006.3302972019,1.1426205709682892e6
t63,27595.645455689977,586660.3539850506,537006.3302972019,1.1512623297379424e6
t64,30259.821690570283,588169.7423646803,537006.3302972019,1.1554358943524524e6
t65,30309.858125575753,592841.2218531518,537006.3302972019,1.1601574102759294e6
t66,27349.36487702515,592003.5085335987,537006.3302972019,1.1563592037078259e6
t67,24377.88933791279,591507.8877965055,537006.3302972019,1.1528921074316201e6
t68,21698.54272774308,589277.0933802163,537006.3302972019,1.1479819664051612e6
t69,19494.729298897306,586252.4147558159,537006.3302972019,1.142753474351915e6
t70,18078.34610332928,587093.4189769626,537006.3302972019,1.1421780953774936e6
t71,17645.97614209439,588826.6759227031,537006.3302972019,1.1434789823619993e6
t72,18058.97362620223,591384.493663609,542157.7095657266,1.1516011768555378e6
t73,18972.993748736215,594244.1023883522,542157.7095657266,1.1553748057028148e6
t74,20138.91950209299,595565.1182698412,542157.7095657266,1.1578617473376608e6
t75,21417.31972530054,597392.9335916975,542157.7095657266,1.1609679628827246e6
t76,22690.142702069203,600931.0979664945,542157.7095657266,1.1657789502342902e6
t77,23750.10077308724,604444.6371758773,542157.7095657266,1.1703524475146912e6
t78,24121.268908903472,605698.8939148397,542157.7095657266,1.1719778723894698e6
t79,23018.979223401602,608496.2155569865,542157.7095657266,1.1736729043461147e6
t80,21056.776186914412,609280.0294105465,542157.7095657266,1.1724945151631874e6
t81,21760.63957502751,612457.8947599224,542157.7095657266,1.1763762439006765e6
t82,24424.815809907817,616448.9604621704,542157.7095657266,1.1830314858378049e6
t83,27088.992044788123,622426.5429969433,542157.7095657266,1.191673244607458e6
t84,29753.16827966843,628404.1255317163,547309.0888342513,1.2054663826456359e6
t85,32417.344514548735,634381.7080664892,547309.0888342513,1.2141081414152891e6
t86,35081.520749429044,640359.2906012621,552460.468102776,1.227901279453467e6
t87,37745.696984309354,646336.873136035,552460.468102776,1.2365430382231204e6
t88,40075.041371871426,649737.2320405344,552460.468102776,1.2422727415151817e6
t89,40223.06942886555,649183.3576972887,552460.468102776,1.2418668952289303e6
t90,37075.41319672908,644988.9812406353,557611.8473713007,1.239676241808665e6
t91,33927.75696459261,640470.7094630575,557611.8473713007,1.2320103137989508e6
t92,30903.11204069883,638195.9565156477,557611.8473713007,1.2267109159276471e6
t93,28336.428633230178,632550.1641972631,557611.8473713007,1.2184984402017938e6
