Region,Resource,Zone,Cluster,AnnualSum
MA,MA_natural_gas_combined_cycle,1,1,1.4651263314087952e11
CT,CT_natural_gas_combined_cycle,2,1,3.488846942324334e10
ME,ME_natural_gas_combined_cycle,3,1,1.0444964025171446e10
MA,MA_solar_pv,1,1,3.783617079930284e10
CT,CT_onshore_wind,2,1,3.0268976246300617e10
CT,CT_solar_pv,2,1,4.2641560447069405e10
ME,ME_onshore_wind,3,1,4.416833439865226e10
MA,MA_battery,1,0,2.2342328620934395e10
CT,CT_battery,2,0,2.391979967944613e10
ME,ME_battery,3,0,1.0652003611322851e10
