region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,0.0,0.0,0.0,4.8682642132403314e7,0.0,0.0,3.7981869862459324e7,2.116077905448014e8,0.0,1.8917051023357054e6,0.0,0.0,1.4651263314087952e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4651263314087952e11,3.001640076419997e8,1.4621246913323752e11
CT,CT_natural_gas_combined_cycle,2,1,2,0.0,0.0,0.0,1.1042390337682232e7,0.0,0.0,1.9286923807940092e7,8.583281130119619e7,0.0,190232.6400729625,0.0,0.0,3.488846942324334e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.488846942324334e10,1.1635235808689147e8,3.477211706515645e10
ME,ME_natural_gas_combined_cycle,3,1,3,0.0,0.0,0.0,5.589866341777832e6,0.0,0.0,1.0209178805652913e6,8.376284895812805e6,0.0,0.0,0.0,0.0,1.0444964025171446e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0444964025171446e10,1.4987069118155928e7,1.042997695605329e10
MA,MA_solar_pv,1,1,4,0.0,0.0,0.0,2.2590586242054912e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.783617079930284e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.783617079930284e10,2.2590586242054912e8,3.761026493688229e10
CT,CT_onshore_wind,2,1,5,0.0,0.0,0.0,4.8382367750461775e8,0.0,0.0,2.772147409920279e6,0.0,0.0,0.0,0.0,0.0,3.0268976246300617e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0268976246300617e10,4.86595824914538e8,2.9782380421386078e10
CT,CT_solar_pv,2,1,6,0.0,0.0,0.0,2.4709912542113706e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2641560447069405e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2641560447069405e10,2.4709912542113706e8,4.239446132164827e10
ME,ME_onshore_wind,3,1,7,0.0,0.0,0.0,5.866156457370627e8,0.0,0.0,3.741358136278882e6,0.0,0.0,0.0,0.0,0.0,4.416833439865226e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.416833439865226e10,5.903570038733416e8,4.3577977394778915e10
MA,MA_battery,1,0,8,0.0,0.0,0.0,1.4175155075803373e7,1.6216724907967083e7,0.0,873004.8485468792,0.0,1.0314329496064296e6,0.0,1.9196929443003296e10,0.0,2.2342328620934395e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2342328620934395e10,1.922922576078522e10,3.1131028601491737e9
CT,CT_battery,2,0,9,0.0,0.0,0.0,3.180463750838416e7,3.638528499426992e7,0.0,1.1530728283387548e6,0.0,1.3623261204380367e6,0.0,1.6997829713180502e10,0.0,2.391979967944613e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.391979967944613e10,1.7068535034631933e10,6.851264644814196e9
ME,ME_battery,3,0,10,0.0,0.0,0.0,2.7408697303726304e7,3.1356221634497926e7,0.0,964167.2907729093,0.0,1.1391390486447415e6,0.0,5.030842222349308e9,0.0,1.0652003611322851e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0652003611322851e10,5.09171044762695e9,5.560293163695901e9
