Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.0699118271115303e7,4732.443096374386,0.25808245516317996
CT_natural_gas_combined_cycle,2,5.402499666089662e6,1138.6255246114902,0.5416387502687086
ME_natural_gas_combined_cycle,3,226870.6401256203,343.1260414816667,0.07547802197802227
MA_solar_pv,1,1.8358780848521862e7,12041.890320924793,0.17403839285714343
CT_onshore_wind,2,2.7721474099202786e7,11198.326061905283,0.2825915070086937
CT_solar_pv,2,2.062224074591291e7,13171.595171702402,0.17872831959706995
ME_onshore_wind,3,3.741358136278882e7,13577.494404283363,0.3145614830985822
MA_battery,1,5.820032323645862e6,2895.8437335655512,0.0
CT_battery,2,7.6871521889250325e6,6497.372320405344,0.0
ME_battery,3,6.427781938486062e6,5599.325291874628,0.0
