Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,6.876219664042864e6,9.082174136253579e6,7.5942603242982775e6,2.355265412459472e7
t1,0.0,124.5555687833803,3604.220901444777,3728.7764702281575
t2,12.430152726491265,57.71780690415471,0.0,70.14795963064597
t3,151.8613136985906,474.2292829441494,0.0,626.09059664274
t4,213.4939283310972,0.0,0.0,213.4939283310972
t5,157.92353808862137,0.0,0.0,157.92353808862137
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,1107.9022341522352,3426.370217440958,0.0,4534.272451593193
t10,2895.8437335655512,0.0,0.0,2895.8437335655512
t11,2895.8437335655512,0.0,0.0,2895.8437335655512
t12,2895.8437335655512,496.9802268660398,0.0,3392.823960431591
t13,2895.8437335655512,1230.1867333601485,0.0,4126.0304669257
t14,2895.8437335655512,0.0,0.0,2895.8437335655512
t15,2895.8437335655512,0.0,0.0,2895.8437335655512
t16,1891.0682035886566,0.0,0.0,1891.0682035886566
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,786.7504913111343,0.0,786.7504913111343
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,5591.044171004598,5591.044171004598
t23,0.0,280.5339119375676,0.0,280.5339119375676
t24,0.0,0.0,0.0,0.0
t25,364.03916735162846,0.0,0.0,364.03916735162846
t26,650.9844551491171,3259.757575464697,0.0,3910.7420306138138
t27,767.17708929247,0.0,0.0,767.17708929247
t28,761.114864902376,3025.267323400555,0.0,3786.3821883029314
t29,518.625889298868,3611.1816046525437,0.0,4129.807493951412
t30,0.0,2489.6721088712375,0.0,2489.6721088712375
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,1322.4429691731727,4107.435217400844,0.0,5429.878186574017
t35,1630.5250887748907,1014.5951569706867,0.0,2645.1202457455774
t36,1912.8167965742327,945.5368048723367,0.0,2858.3536014465694
t37,1493.491668807616,1973.3859448491103,0.0,3466.877613656726
t38,681.7821570315256,4381.661457889224,0.0,5063.4436149207495
t39,526.4508040528871,2729.253566012999,0.0,3255.704370065886
t40,0.0,2444.7150115818113,0.0,2444.7150115818113
t41,0.0,0.0,0.0,0.0
t42,0.0,215.9104786226626,0.0,215.9104786226626
t43,0.0,1046.2446911548732,0.0,1046.2446911548732
t44,0.0,1871.768676792045,0.0,1871.768676792045
t45,0.0,2495.412478221334,0.0,2495.412478221334
t46,0.0,2253.6386642077523,0.0,2253.6386642077523
t47,0.0,2051.9647652291524,5599.325291874628,7651.290057103781
t48,203.39022101429492,3412.152473656436,0.0,3615.542694670731
t49,787.3845039261062,3819.4505195097227,0.0,4606.835023435829
t50,1157.1801917214623,3969.301679320599,0.0,5126.481871042061
t51,1338.036552692432,0.0,0.0,1338.036552692432
t52,1384.51360634983,2479.91631631196,0.0,3864.4299226617904
t53,1179.4083478184841,0.0,0.0,1179.4083478184841
t54,497.4081039335705,0.0,0.0,497.4081039335705
t55,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0
t57,0.0,2480.6216204912,5235.71949460119,7716.341115092389
t58,2658.612298566415,3425.8596208486406,0.0,6084.471919415056
t59,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t60,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t61,2895.8437335655512,6497.372320405344,5599.325291874628,14992.541345845522
t62,2895.8437335655512,984.6019214880334,0.0,3880.4456550535847
t63,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t64,2895.8437335655512,1086.5713677181693,0.0,3982.4151012837206
t65,54.387429353727896,5077.695096164674,0.0,5132.082525518403
t66,0.0,0.0,0.0,0.0
t67,0.0,0.0,5599.325291874628,5599.325291874628
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
