Costs,Total,Zone1,Zone2,Zone3
cTotal,6.200890222254882e10,5.5218340746081154e10,4.405316924099616e9,2.326314832659958e9
cFix,1.7661059313198786e9,3.049803845367229e8,8.101551157660911e8,6.509704310170647e8
cVar,7.1326360183511e7,3.988630766061269e7,2.4574470166637268e7,6.865582356261823e6
cFuel,3.0581688674181956e8,2.116077905448014e8,8.583281130119619e7,8.376284895812805e6
cNSE,5.980464138685314e10,5.465997455823668e10,3.4845642942256184e9,1.6601025343908186e9
cStart,2.0819377424086682e6,1.8917051023357054e6,190232.6400729625,0.0
cUnmetRsv,0.0,-,-,-
cNetworkExp,5.8929719707154125e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
