Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,1.0699118271115303e7,5.402499666089662e6,226870.6401256203,1.8358780848521862e7,2.7721474099202786e7,2.062224074591291e7,3.741358136278882e7,5.820032323645862e6,7.6871521889250325e6,6.427781938486062e6,1.4037953208481392e8
t1,-0.0,-0.0,-0.0,-0.0,7323.711739515172,-0.0,8850.91197393059,277.54624726602077,0.0,0.0,16452.169960711784
t2,-0.0,-0.0,-0.0,-0.0,7174.00839573563,-0.0,5207.286928752803,0.0,0.0,0.0,12381.295324488434
t3,-0.0,-0.0,-0.0,-0.0,7550.0976367022995,-0.0,5187.079675556388,0.0,0.0,0.0,12737.177312258687
t4,-0.0,-0.0,-0.0,-0.0,6619.9390186354385,-0.0,5178.996774277822,0.0,439.7604410933827,0.0,12238.696234006642
t5,-0.0,-0.0,-0.0,-0.0,5581.416942857406,-0.0,5187.079675556388,0.0,1493.4408550239114,0.0,12261.937473437705
t6,-0.0,-0.0,-0.0,-0.0,6037.102250516493,-0.0,5217.39055535101,71.43061800302591,1103.4416793589771,0.0,12429.365103229506
t7,-0.0,-0.0,-0.0,-0.0,6695.330013106676,-0.0,5273.9708643009735,477.59965213892696,561.4278426046026,0.0,13008.328372151178
t8,-0.0,-0.0,-0.0,-0.0,5873.740420422507,-0.0,5334.592623890219,922.1627740787197,1509.3369198929122,0.0,13639.832738284358
t9,-0.0,-0.0,-0.0,2619.1111448011425,8003.053643540274,2974.1461897704025,5414.41127401606,0.0,0.0,0.0,19010.722252127878
t10,-0.0,0.0,-0.0,4914.295439969408,1822.5345291537042,5832.382342029824,3163.7489423085867,0.0,0.0,2152.7818417321278,17885.74309519365
t11,-0.0,-0.0,-0.0,6759.113037135086,145.29387971107874,7294.42940608879,1566.0335948553216,0.0,256.62637633381837,2034.5792995436627,18056.07559366776
t12,-0.0,-0.0,-0.0,6408.694028796175,161.5977569359393,8030.721576186955,903.4643184886622,0.0,0.0,3051.4518027042413,18555.92948311197
t13,-0.0,-0.0,-0.0,6838.58951325319,926.666319299521,7980.669514534485,648.9347429083836,0.0,0.0,2794.5532345617994,19189.413324557376
t14,-0.0,0.0,-0.0,6318.37985138924,405.14517925306046,6768.882758737865,444.7827631283979,0.0,480.8889331926039,3436.722863917159,17854.802349618327
t15,-0.0,-0.0,-0.0,5092.515416719095,68.36648610247366,5574.219076664457,806.477316065086,0.0,2003.2363055250999,4289.240166480649,17834.05476755686
t16,-0.0,-0.0,-0.0,3749.8446459359807,1946.4420165068384,4781.289047327971,1965.0242486361021,0.0,923.1435838413868,3496.874070391533,16862.617612639813
t17,60.91311563808087,-0.0,-0.0,1312.5660449808024,2912.0339075690854,2378.790088009454,4961.92074711488,972.2959743988531,2498.4968072237943,566.6615074609253,15663.678192395873
t18,176.38795753107178,-0.0,-0.0,-0.0,5249.236371974446,-0.0,5626.58743257842,2895.8437335655512,2748.2589414555105,0.0,16696.314437105
t19,180.4294404577983,-0.0,-0.0,-0.0,8785.256360617925,-0.0,5627.597795238241,2895.8437335655512,0.0,0.0,17489.127329879513
