BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.9057899119637247e7,5.820032323645862e6,-6.876219664042864e6,0.0,0.0,346814.403729358,847766.663141927,5.3729230752033755e7,-431209.59814519796,-8.249431400000015e7,5.3746214511205435e7,7.6871521889250325e6,-9.082174136253579e6,0.0,0.0,98587.4541858949,0.0,-2.8708689873511896e7,-177014.1445507258,-2.3564075999999933e7,3.764045200291442e7,6.427781938486062e6,-7.5942603242982775e6,0.0,0.0,46981.71501401699,0.0,-2.50205408785218e7,-254195.45359446597,-1.1246219000000006e7
t1,0.0,277.54624726602077,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8851.857980260273,7323.711739515172,0.0,-124.5555687833803,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2528.4108038364684,8850.91197393059,0.0,-3604.220901444777,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1207.3833784858127
t2,0.0,0.0,-12.430152726491265,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8561.881580267725,7174.00839573563,0.0,-57.71780690415471,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2445.5452219361523,5207.286928752803,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1167.979234752803
t3,0.0,0.0,-151.8613136985906,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8422.4504192957,7550.0976367022995,0.0,-474.2292829441494,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2405.1229868628275,5187.079675556388,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t4,0.0,0.0,-213.4939283310972,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8360.817804663138,6619.9390186354385,439.7604410933827,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2388.9540928334977,5178.996774277822,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1139.6890802778216
t5,0.0,0.0,-157.92353808862137,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8416.388194905612,5581.416942857406,1493.4408550239114,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2404.1124309859947,5187.079675556388,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t6,0.0,71.43061800302591,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8645.742350997278,6037.102250516493,1103.4416793589771,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2469.7985629801474,5217.39055535101,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1178.0828613510105
t7,0.0,477.59965213892696,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-9051.911385133179,6695.330013106676,561.4278426046026,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2586.012488815956,5273.9708643009735,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1234.6631703009734
t8,0.0,922.1627740787197,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-9496.474507072971,5873.740420422507,1509.3369198929122,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2712.3319734200963,5334.592623890219,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1295.2849298902192
t9,2619.1111448011425,0.0,-1107.9022341522352,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-10085.520643643194,10977.199833310677,0.0,-3426.370217440958,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2880.0842489743945,5414.41127401606,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1375.1035800160596
t10,4914.295439969408,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,8496.228415250851,-66.4363853379092,-10448.2437363168,7654.916871183528,0.0,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2984.171504288206,3163.7489423085867,2152.7818417321278,-0.0,0.0,0.0,0.0,0.0,-3854.046018306064,-37.873415387373285,-1424.611350347277
t11,6759.113037135086,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,6777.998548528225,-49.55147188221078,-10591.71638021555,7439.723285799869,256.62637633381837,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3025.604295238364,1566.0335948553216,2034.5792995436627,-0.0,0.0,0.0,0.0,0.0,-2135.816151583438,-20.98850193167485,-1443.8082408838713
t12,6408.694028796175,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,7129.85447669287,-53.00913317130623,-10589.695638752188,8192.319333122894,0.0,-496.9802268660398,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3024.593739361531,903.4643184886622,3051.4518027042413,-0.0,0.0,0.0,0.0,0.0,-2487.6720797480825,-24.446163220770305,-1442.7978782240507
t13,6838.58951325319,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,6631.407435194323,-48.11093222569868,-10526.042282656263,8907.335833834006,0.0,-1230.1867333601485,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3006.4037335785347,648.9347429083836,2794.5532345617994,-0.0,0.0,0.0,0.0,0.0,-1989.2250382495356,-19.54796227516276,-1434.7149769454845
