Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,1.2157033506679354e9,2.369218527135919e9,1.5712677526692216e9,5.156189630473076e9
t1,269956.04910467926,71649.34059220093,25796.79097796836,367402.18067484855
t2,269967.48484518763,71702.44097455275,25796.79097796836,367466.71679770877
t3,270107.19725379033,72138.73191486138,25796.79097796836,368042.72014662006
t4,270303.61166785494,71660.73143541205,25796.79097796836,367761.1340812354
t5,270448.9013228965,70037.42615821214,25796.79097796836,366283.11845907697
t6,270371.2593468062,68838.03302847412,25796.79097796836,365006.0833532487
t7,269852.1292901335,68227.78537346912,25796.79097796836,363876.70564157097
t8,268849.7784487436,66587.20176488986,25796.79097796836,361233.7711916018
t9,269869.0485041636,69739.46236493555,25796.79097796836,365405.30184706755
t10,272533.2247390439,69739.46236493555,23456.81071521605,365729.4978191955
t11,275197.4009739242,69460.52065152922,21245.31147658163,365903.233102035
t12,277861.5772088045,69917.74246024598,17928.51603885963,365707.83570791007
t13,280525.7534436848,71049.51425493731,14890.9581752055,366466.2258738276
t14,283189.92967856507,70526.80889277144,11155.389844860762,364872.12841619726
t15,285854.10591344535,68349.37812589633,6493.172272599187,360696.65631194087
t16,287593.8886607469,67345.9611869383,2692.222196086651,357632.07204377186
t17,286537.0452103134,64630.203787782,2076.285774933471,353243.53477302886
t18,283389.3889781769,61642.96580793905,2076.285774933471,347108.64056104945
t19,280241.73274604045,62366.77625994529,2076.285774933471,344684.7947809192
t20,277221.4675596227,58071.81777048744,2076.285774933471,337369.57110504364
t21,274656.9674315177,56926.62707726333,2076.285774933471,333659.8802837145
t22,272842.5577487805,55059.52369252507,7220.046412257701,335122.1278535633
t23,271800.98515665904,55317.614891507634,7220.046412257701,334338.6464604244
t24,271584.9663194907,55047.16817449664,7220.046412257701,333852.180906245
t25,271919.8823534542,55047.16817449664,7220.046412257701,334187.0969402085
t26,272518.7880521914,58046.145143924165,7220.046412257701,337784.97960837325
t27,273224.59097434045,58046.145143924165,7220.046412257701,338490.7825305223
t28,273924.81665005063,60829.391081452675,7220.046412257701,341974.254143761
t29,274401.9524682056,64151.67815773302,7220.046412257701,345773.6770381963
t30,274162.8708208576,66442.17649789456,7220.046412257701,347825.09373100987
t31,272463.1445287963,66085.39175066439,7220.046412257701,345768.5826917184
t32,269943.04113177204,60738.377042986656,7220.046412257701,337901.4645870164
t33,268672.82507950877,58080.518647392855,7220.046412257701,333973.39013915934
t34,269889.4726111481,61859.35904740163,7220.046412257701,338968.87807080743
t35,271389.555692821,62792.78659181466,7220.046412257701,341402.38869689335
t36,273149.3471456693,63662.680452297216,7220.046412257701,344032.0740102242
t37,274523.3594809723,65478.195521558395,7220.046412257701,347221.6014147884
t38,275150.5990654413,69509.32406281648,7220.046412257701,351879.96954051545
t39,275634.93380516995,72020.23734354843,7220.046412257701,354875.2175609761
t40,275059.4516949892,74269.3751542037,7220.046412257701,356548.8732614507
t41,272579.976592279,71784.05405446579,7220.046412257701,351584.0770590025
t42,269432.3203601425,71982.69169479863,7220.046412257701,348635.05846719886
t43,266284.664128006,72945.23681066111,7220.046412257701,346449.94735092483
t44,263272.50826493907,74667.2639933098,7220.046412257701,345159.8186705066
t45,260857.78900843151,76963.04347327343,7220.046412257701,345040.87889396265
t46,259058.11329174842,79036.39104434456,7220.046412257701,345314.5507483507
t47,258359.96131840922,80924.19862835539,12371.425680782359,351655.58562754694
t48,258547.08032174237,84063.37890411931,12371.425680782359,354981.88490664406
t49,259271.47406535438,87577.27338206825,12371.425680782359,359220.173128205
t50,260336.07984173813,91229.0309270432,12371.425680782359,363936.5364495637
t51,261567.07347021517,91229.0309270432,12371.425680782359,365167.5300780407
t52,262840.825988057,93510.5539380502,12371.425680782359,368722.8056068896
t53,263925.88166805,92652.95995676292,12371.425680782359,368950.2673055953
t54,264383.4971236689,90202.59049289711,12371.425680782359,366957.51329734834
t55,263449.23648376187,87601.99103554818,12371.425680782359,363422.65320009243
t56,261701.18811322888,85532.25916266216,12371.425680782359,359604.8729566734
t57,261190.14489429712,87814.43105351407,17188.287615815454,366192.86356362666
t58,263636.0682089782,90966.22190469482,17188.287615815454,371790.5777294885
t59,266300.2444438585,96943.80443946773,17188.287615815454,380432.3364991417
t60,268964.4206787388,102921.38697424064,17188.287615815454,389074.0952687949
t61,271628.5969136191,108898.96950901355,22339.666884340113,402867.2333069728
t62,274292.7731484994,109804.80327678254,22339.666884340113,406437.24330962205
t63,276956.94938337966,115782.38581155545,22339.666884340113,415079.0020792752
t64,279621.12561825995,116782.03146985616,22339.666884340113,418742.8239724562
t65,279671.1620532654,121453.51095832766,22339.666884340113,423464.33989593317
t66,276710.66880471475,120615.79763877465,22339.666884340113,419666.13332782954
t67,273739.1932656024,120120.17690168133,27491.046152864772,421350.4163201485
t68,271059.8466554327,117889.38248539214,27491.046152864772,416440.2752936896
t69,268856.03322658694,114864.7038609917,27491.046152864772,411211.7832404434
t70,267439.6500310189,115705.70808213842,27491.046152864772,410636.4042660221
t71,267007.28006978397,117438.96502787893,27491.046152864772,411937.29125052766
t72,267420.27755389176,119996.78276878483,27491.046152864772,414908.10647554137
t73,268334.2976764257,122856.39149352795,27491.046152864772,418681.73532281845
t74,269500.2234297825,124177.40737501695,27491.046152864772,421168.6769576642
t75,270778.62365299003,124177.40737501695,27491.046152864772,422447.07718087174
t76,272051.4466297587,127715.57174981397,27491.046152864772,427258.0645324374
t77,273111.40470077674,131229.11095919675,27491.046152864772,431831.56181283825
t78,273482.57283659297,132483.36769815913,27491.046152864772,433456.98668761685
t79,272380.2831510911,135280.6893403059,27491.046152864772,435152.0186442617
t80,270418.08011460386,135280.6893403059,27491.046152864772,433189.8156077745
t81,271121.94350271695,138458.55468968177,27491.046152864772,437071.54434526345
t82,273786.11973759724,142355.55804769555,27491.046152864772,443632.72393815755
t83,276450.2959724775,148333.14058246848,27491.046152864772,452274.48270781076
t84,279114.4722073578,154310.7231172414,27491.046152864772,460916.241477464
t85,281778.6484422381,160288.30565201433,27491.046152864772,469558.0002471172
t86,284442.8246771184,166265.88818678726,27491.046152864772,478199.7590167704
t87,287107.0009119987,172243.47072156018,27491.046152864772,486841.5177864236
t88,289436.3452995609,175643.82962605974,27491.046152864772,492571.2210784854
t89,289584.37335655506,175089.95528281413,27491.046152864772,492165.374792234
t90,286436.7171244186,170895.5788261607,27491.046152864772,484823.34210344404
t91,283289.0608922821,166377.30704858285,27491.046152864772,477157.41409372975
t92,280264.4159683884,164102.55410117307,27491.046152864772,471858.0162224262
t93,277697.7325609197,158456.76178278847,27491.046152864772,463645.5404965729
t94,275951.42625841405,154475.22022892273,27491.046152864772,457917.69264020154
t95,275228.08969635866,148001.72623270378,27245.81638893355,450475.632317996
t96,275322.2545923771,142238.81190442858,32397.195657458207,449958.2621542639
t97,275936.9624893578,136835.5937957561,32397.195657458207,445169.7519425721
t98,276817.5191332585,132656.6152611217,32397.195657458207,441871.3300518384
t99,277823.563822034,126154.17457331473,32397.195657458207,436374.93405280693
t100,278835.1857572484,119879.20173003357,32397.195657458207,431111.58314474014
t101,279629.2950813464,114561.1975024867,32397.195657458207,426587.6882412913
t102,279713.96775896027,107498.8362846548,32397.195657458207,419609.9997010733
t103,277599.46744165476,100436.4750668229,32397.195657458207,410433.1381659359
t104,274451.8112095183,93374.113848991,32397.195657458207,400223.1207159675
t105,273943.8978785822,87066.23291035312,32397.195657458207,393407.3264463935
t106,275899.0427612689,84149.94080766554,33098.00592567995,393146.98949461436
t107,278563.2189961492,83660.68941750714,33098.00592567995,395321.9143393363
t108,281227.3952310295,81047.46962984928,31277.555303940575,393552.42016481934
t109,283891.5714659098,77993.87955789414,27999.855297402388,389885.30632120627
t110,286555.74770079006,74051.63871249708,23928.879971001676,384536.2663842888
t111,288503.57523312216,69823.98031647353,19197.324577463907,377524.8801270596
t112,289062.9464300694,65593.1702204801,13665.835978956235,368321.9526295057
t113,287462.8811532701,60589.93606296669,8145.381020162764,356198.19823639956
t114,284315.2249211336,55886.31448007379,3843.2331051661426,344044.7725063735
t115,281167.5686889971,54177.767135431895,659.1583323338069,336004.4941567628
t116,278099.1501496016,48577.029560452465,-0.0,326676.1797100541
t117,275482.5959950852,43898.103668052216,-0.0,319380.69966313743
t118,273656.766761015,38835.733401145706,397.5834105578938,312890.0835727186
t119,272861.122797901,34784.067498991404,397.5834105578938,308042.77370745025
t120,272945.0627421149,31084.78671330556,397.5834105578938,304427.43286597834
t121,273562.55926231504,31983.740164046932,397.5834105578938,305943.88283691986
t122,274484.94525450736,34298.849075115904,397.5834105578938,309181.37774018117
t123,275547.6919487448,36631.04963026483,397.5834105578938,312576.3249895675
t124,276660.6338609322,37894.23930041901,397.5834105578938,314952.4565719091
t125,277594.1743460022,37894.23930041901,397.5834105578938,315885.9970569791
t126,277914.2177227954,38866.89619075691,397.5834105578938,317178.6973241102
t127,276923.9474010234,38866.89619075691,397.5834105578938,316188.4270023382
t128,275005.67352678324,37861.7018857367,397.5834105578938,313264.95882307785
t129,272800.7618688813,36395.74254921949,397.5834105578938,309594.0878286587
t130,270447.3200760285,32038.737081448486,397.5834105578938,302883.6405680349
t131,269043.4986638678,29994.75484941249,397.5834105578938,299435.8369238382
t132,268216.84410613694,26449.28207945752,397.5834105578938,295063.70959615236
t133,267101.0394810824,22514.617565877736,397.5834105578938,290013.240457518
t134,266387.2743184913,18717.767601120748,5548.962679082551,290654.00459869456
t135,265608.4640643518,13760.537725615492,5548.962679082551,284917.9644690498
t136,264511.94978742814,7062.361217831895,5548.962679082551,277123.27368434257
t137,261726.4676078914,-0.0,5548.962679082551,267275.43028697395
t138,258686.90186729617,-0.0,5548.962679082551,264235.8645463787
t139,255829.64215002605,1354.8423073607648,8670.024950745785,265854.5094081326
t140,253382.02187070934,4006.855192536824,8670.024950745785,266058.90201399196
t141,251376.9879010313,7271.984278688452,8670.024950745785,267318.9971304655
t142,249970.48876696886,7271.984278688452,8670.024950745785,265912.4979964031
