Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401652720935101,-0.2717391304347826,-0.2717391304347826
