region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,0.0,0.0,0.0,4.8682642132403314e7,0.0,0.0,3.3409458957193546e7,1.8889483893223482e8,0.0,2.5545196617108057e6,0.0,0.0,3.806808072171752e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.806808072171752e8,2.735414596835425e8,1.071393475336327e8
CT,CT_natural_gas_combined_cycle,2,1,2,0.0,0.0,0.0,1.1042390337682232e7,0.0,0.0,2.0557321535199005e7,8.982395299462971e7,0.0,224254.40393726432,0.0,0.0,1.5932617949083742e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5932617949083742e8,1.2164791927144821e8,3.7678260219389215e7
ME,ME_natural_gas_combined_cycle,3,1,3,0.0,0.0,0.0,5.589866341777832e6,0.0,0.0,1.0675998255676888e6,8.916868502644025e6,0.0,33132.25056546974,0.0,0.0,1.3931068941438897e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3931068941438897e7,1.5607466920555014e7,-1.6763979791161176e6
MA,MA_solar_pv,1,1,4,0.0,0.0,0.0,2.2590586242054912e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4787911846531668e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4787911846531668e8,2.2590586242054912e8,2.197325604476756e7
CT,CT_onshore_wind,2,1,5,0.0,0.0,0.0,4.8382367750461775e8,0.0,0.0,2.8241351814660057e6,0.0,0.0,0.0,0.0,0.0,3.1711024239686495e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1711024239686495e8,4.8664781268608373e8,-1.6953757028921878e8
CT,CT_solar_pv,2,1,6,0.0,0.0,0.0,2.4709912542113706e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6506651693516418e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6506651693516418e8,2.4709912542113706e8,1.796739151402712e7
ME,ME_onshore_wind,3,1,7,0.0,0.0,0.0,5.866156457370627e8,0.0,0.0,3.814547694453846e6,0.0,0.0,0.0,0.0,0.0,3.998424829641408e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.998424829641408e8,5.904301934315165e8,-1.9058771046737576e8
MA,MA_battery,1,0,8,0.0,0.0,0.0,1.4175155075803373e7,1.6216724907967083e7,0.0,894393.4036427197,0.0,1.0567029816194617e6,0.0,9.119505154164718e7,0.0,1.7697907789465344e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7697907789465344e8,1.2353802791067982e8,5.344104998397362e7
CT,CT_battery,2,0,9,0.0,0.0,0.0,3.180463750838416e7,3.638528499426992e7,0.0,1.2617110772609492e6,0.0,1.4906794391079587e6,0.0,1.0313644340801801e8,0.0,2.4973979234269324e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4973979234269324e8,1.74078756427041e8,7.566103591565225e7
ME,ME_battery,3,0,10,0.0,0.0,0.0,2.7408697303726304e7,3.1356221634497926e7,0.0,1.0435130484923479e6,0.0,1.2328840364985284e6,0.0,7.354195499798849e7,0.0,1.5120999686633274e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5120999686633274e8,1.345832710212036e8,1.6626725845129132e7
