Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,9.41111519920945e6,4732.443096374386,0.22763711011433
CT_natural_gas_combined_cycle,2,5.758353371204203e6,1138.6255246114902,0.5789016295213579
ME_natural_gas_combined_cycle,3,237244.40568170862,343.1260414816667,0.07914612835186634
MA_solar_pv,1,1.830848281879988e7,12041.890320924793,0.174038392857143
CT_onshore_wind,2,2.8241351814660054e7,11198.326061905283,0.2886820276011699
CT_solar_pv,2,2.0431864105251573e7,13171.595171702402,0.1775648471291433
ME_onshore_wind,3,3.814547694453846e7,13577.494404283363,0.321596113424805
MA_battery,1,5.962622690951465e6,2895.8437335655512,0.0
CT_battery,2,8.411407181739662e6,6497.372320405344,0.0
ME_battery,3,6.956753656615653e6,5599.325291874628,0.0
