Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,7.044686544129744e6,9.937862927386392e6,8.21922690999019e6,2.5201776381506324e7
t1,0.0,249.87755158762923,3616.6042799305897,3866.4818315182188
t2,76.80980986118337,182.1742078080878,3804.5784765385915,4063.5624942078625
t3,214.8098098611745,598.2634487747576,0.0,813.0732586359321
t4,0.0,0.0,2030.658482204547,2030.658482204547
t5,0.0,0.0,2399.8784519352175,2399.8784519352175
t6,0.0,0.0,4103.373672061784,4103.373672061784
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,2215.74347917685,2215.74347917685
t9,1187.9209546623156,3555.3656453831345,2012.2678617522051,6755.554461797656
t10,2895.8437335655512,792.6807797238404,0.0,3688.5245132893915
t11,2895.8437335655512,1828.8788764811372,0.0,4724.722610046689
t12,2895.8437335655512,2455.9864145955444,0.0,5351.830148161096
t13,2895.8437335655512,3461.756811622342,0.0,6357.600545187894
t14,2895.8437335655512,1303.7761859214638,0.0,4199.619919487015
t15,1484.9875246181593,0.0,0.0,1484.9875246181593
t16,1191.251445464292,0.0,0.0,1191.251445464292
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,920.4221726903814,4986.576466692872,5906.998639383253
t20,0.0,0.0,5481.12738845742,5481.12738845742
t21,0.0,0.0,5114.866569681644,5114.866569681644
t22,0.0,0.0,5599.325291874628,5599.325291874628
t23,0.0,407.9565142316082,5226.9661752714255,5634.922689503033
t24,0.0,0.0,0.0,0.0
t25,424.80980986117135,663.6625082363124,5599.325291874628,6687.797609972113
t26,708.80980986117,3382.3033626618358,5599.325291874628,9690.438464397634
t27,823.8098098611732,2626.122105662908,0.0,3449.931915524081
t28,817.8098098611688,3147.4964342927015,5599.325291874628,9564.631536028499
t29,577.8098098611736,3734.1285151693382,0.0,4311.938325030512
t30,0.0,2614.8146417693265,5599.325291874628,8214.139933643955
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,5599.325291874628,5599.325291874628
t33,0.0,0.0,0.0,0.0
t34,1413.3613286803427,4239.607964269789,5599.325291874628,11252.29458482476
t35,1722.3353312066731,1147.0318007604596,0.0,2869.367131967133
t36,2004.4611072991122,1077.910113401112,0.0,3082.3712207002245
t37,1584.026311242609,2105.4425770728913,4045.776296382116,7735.245184697616
t38,771.5389945904462,4513.4964166995105,0.0,5285.035411289957
t39,614.9838952733658,2860.7296250109553,5582.235903201245,9057.949423485567
t40,0.0,2576.2016264566028,0.0,2576.2016264566028
t41,0.0,0.0,0.0,0.0
t42,0.0,351.04942688171633,5599.325291874628,5950.374718756345
t43,0.0,1181.0880748626005,0.0,1181.0880748626005
t44,0.0,2005.4720258017921,5599.325291874628,7604.797317676421
t45,0.0,2627.469110445113,0.0,2627.469110445113
t46,0.0,2383.288556513581,0.0,2383.288556513581
t47,0.0,2178.585120883876,5599.325291874628,7777.910412758504
