Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,Total
Zone,1,2,3,0
AnnualSum,46260.10441330624,24709.678301886204,965.9128368737354,71935.69555206617
t1,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t2,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t3,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t4,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t5,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t6,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t7,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t8,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t9,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t10,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t11,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t12,0.6341838840095911,-0.0,0.0,0.6341838840095911
t13,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t14,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t15,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t16,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t17,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t18,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t19,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t20,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t21,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t22,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t23,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t24,0.6341838840095911,-0.0,0.0,0.6341838840095911
t25,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t26,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t27,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t28,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t29,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t30,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t31,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t32,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t33,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t34,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t35,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t36,0.6341838840095911,-0.0,0.0,0.6341838840095911
t37,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t38,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t39,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t40,0.6341838840095911,-0.0,-0.0,0.6341838840095911
t41,2.586183884009591,-0.0,-0.0,2.586183884009591
t42,2.586183884009591,-0.0,-0.0,2.586183884009591
t43,2.586183884009591,-0.0,-0.0,2.586183884009591
t44,1.952,-0.0,-0.0,1.952
t45,1.952,-0.0,-0.0,1.952
t46,1.952,-0.0,-0.0,1.952
t47,-0.0,-0.0,-0.0,0.0
t48,-0.0,-0.0,0.0,0.0
t49,-0.0,-0.0,-0.0,0.0
t50,-0.0,-0.0,-0.0,0.0
t51,-0.0,-0.0,-0.0,0.0
t52,-0.0,-0.0,-0.0,0.0
t53,-0.0,-0.0,-0.0,0.0
t54,0.0,-0.0,-0.0,0.0
t55,-0.0,-0.0,-0.0,0.0
t56,-0.0,-0.0,-0.0,0.0
t57,-0.0,-0.0,-0.0,0.0
t58,-0.0,-0.0,-0.0,0.0
t59,-0.0,-0.0,-0.0,0.0
t60,-0.0,-0.0,-0.0,0.0
t61,-0.0,-0.0,-0.0,0.0
t62,-0.0,-0.0,-0.0,0.0
t63,-0.0,-0.0,-0.0,0.0
t64,-0.0,-0.0,-0.0,0.0
t65,-0.0,-0.0,-0.0,0.0
t66,-0.0,-0.0,-0.0,0.0
t67,-0.0,-0.0,-0.0,0.0
t68,-0.0,-0.0,-0.0,0.0
t69,-0.0,-0.0,0.0,0.0
t70,-0.0,-0.0,-0.0,0.0
t71,-0.0,-0.0,-0.0,0.0
t72,-0.0,-0.0,0.0,0.0
t73,-0.0,-0.0,-0.0,0.0
t74,-0.0,-0.0,-0.0,0.0
t75,-0.0,-0.0,0.0,0.0
t76,-0.0,-0.0,-0.0,0.0
t77,-0.0,-0.0,-0.0,0.0
t78,-0.0,-0.0,0.0,0.0
t79,-0.0,-0.0,-0.0,0.0
t80,-0.0,-0.0,-0.0,0.0
t81,-0.0,-0.0,0.0,0.0
t82,-0.0,-0.0,-0.0,0.0
t83,-0.0,-0.0,-0.0,0.0
t84,-0.0,-0.0,0.0,0.0
t85,-0.0,-0.0,-0.0,0.0
t86,-0.0,-0.0,-0.0,0.0
t87,-0.0,-0.0,0.0,0.0
t88,-0.0,-0.0,-0.0,0.0
t89,0.18322843475539496,-0.0,-0.0,0.18322843475539496
t90,1.0701838840095912,-0.0,0.0,1.0701838840095912
t91,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t92,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t93,1.0701838840095912,-0.0,0.0,1.0701838840095912
t94,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t95,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t96,1.0701838840095912,-0.0,0.0,1.0701838840095912
t97,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t98,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t99,1.0701838840095912,-0.0,0.0,1.0701838840095912
t100,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t101,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t102,1.0701838840095912,-0.0,0.0,1.0701838840095912
t103,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t104,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t105,1.0701838840095912,-0.0,0.0,1.0701838840095912
t106,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t107,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t108,1.0701838840095912,-0.0,0.0,1.0701838840095912
t109,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t110,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t111,1.0701838840095912,-0.0,0.0,1.0701838840095912
t112,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t113,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t114,1.150183884009591,-0.0,0.0,1.150183884009591
t115,1.150183884009591,-0.0,-0.0,1.150183884009591
t116,0.40097843475539696,-0.0,-0.0,0.40097843475539696
t117,0.07999999999999985,-0.0,0.0,0.07999999999999985
t118,0.07999999999999985,-0.0,-0.0,0.07999999999999985
t119,0.07999999999999985,-0.0,-0.0,0.07999999999999985
t120,-0.0,-0.0,-0.0,0.0
t121,-0.0,-0.0,-0.0,0.0
t122,-0.0,-0.0,-0.0,0.0
t123,-0.0,-0.0,0.0,0.0
t124,-0.0,-0.0,-0.0,0.0
t125,-0.0,-0.0,-0.0,0.0
t126,-0.0,-0.0,0.0,0.0
t127,-0.0,-0.0,-0.0,0.0
t128,-0.0,-0.0,-0.0,0.0
t129,-0.0,-0.0,0.0,0.0
t130,-0.0,-0.0,-0.0,0.0
t131,-0.0,-0.0,-0.0,0.0
t132,-0.0,-0.0,0.0,0.0
t133,-0.0,-0.0,-0.0,0.0
t134,-0.0,-0.0,-0.0,0.0
t135,-0.0,-0.0,0.0,0.0
t136,-0.0,-0.0,-0.0,0.0
t137,-0.0,-0.0,-0.0,0.0
t138,-0.0,-0.0,0.0,0.0
t139,-0.0,-0.0,-0.0,0.0
t140,-0.0,-0.0,-0.0,0.0
t141,-0.0,-0.0,0.0,0.0
t142,-0.0,-0.0,-0.0,0.0
t143,-0.0,-0.0,-0.0,0.0
t144,-0.0,-0.0,0.0,0.0
t145,-0.0,-0.0,-0.0,0.0
t146,-0.0,-0.0,-0.0,0.0
t147,-0.0,-0.0,0.0,0.0
t148,-0.0,-0.0,-0.0,0.0
t149,-0.0,-0.0,-0.0,0.0
t150,-0.0,-0.0,0.0,0.0
t151,-0.0,-0.0,-0.0,0.0
t152,-0.0,-0.0,-0.0,0.0
t153,-0.0,-0.0,0.0,0.0
t154,-0.0,-0.0,-0.0,0.0
t155,-0.0,-0.0,0.0,0.0
t156,-0.0,-0.0,-0.0,0.0
t157,-0.0,-0.0,0.0,0.0
t158,-0.0,-0.0,-0.0,0.0
t159,-0.0,-0.0,-0.0,0.0
t160,-0.0,-0.0,-0.0,0.0
t161,-0.0,-0.0,-0.0,0.0
t162,-0.0,-0.0,-0.0,0.0
t163,-0.0,-0.0,-0.0,0.0
t164,-0.0,-0.0,-0.0,0.0
t165,-0.0,-0.0,-0.0,0.0
t166,-0.0,-0.0,-0.0,0.0
t167,-0.0,-0.0,-0.0,0.0
t168,-0.0,-0.0,-0.0,0.0
t169,-0.0,-0.0,-0.0,0.0
t170,-0.0,-0.0,-0.0,0.0
t171,-0.0,-0.0,-0.0,0.0
t172,-0.0,-0.0,-0.0,0.0
t173,-0.0,-0.0,-0.0,0.0
t174,-0.0,-0.0,-0.0,0.0
t175,-0.0,-0.0,-0.0,0.0
t176,-0.0,-0.0,-0.0,0.0
t177,-0.0,-0.0,-0.0,0.0
t178,-0.0,-0.0,-0.0,0.0
t179,-0.0,-0.0,-0.0,0.0
t180,-0.0,-0.0,-0.0,0.0
t181,-0.0,-0.0,-0.0,0.0
t182,-0.0,-0.0,-0.0,0.0
t183,-0.0,-0.0,-0.0,0.0
t184,-0.0,-0.0,-0.0,0.0
t185,0.6341838840095902,-0.0,-0.0,0.6341838840095902
t186,0.6341838840095902,-0.0,-0.0,0.6341838840095902
t187,0.6341838840095902,-0.0,-0.0,0.6341838840095902
t188,0.6341838840095902,-0.0,-0.0,0.6341838840095902
t189,0.6341838840095902,-0.0,-0.0,0.6341838840095902
