Costs,Total,Zone1,Zone2,Zone3
cTotal,2.182950590875784e9,5.317902984731235e8,9.263371703976924e8,6.670789763752867e8
cFix,1.7661059313198786e9,3.049803845367229e8,8.101551157660911e8,6.509704310170647e8
cVar,6.865294718049571e7,3.536055534245497e7,2.6133847233034395e7,7.158544605012407e6
cFuel,2.8763566042949754e8,1.8889483893223482e8,8.982395299462971e7,8.916868502644025e6
cNSE,1.7337242752546445e-8,1.7337242752546445e-8,0.0,0.0
cStart,2.811906316213539e6,2.5545196617108057e6,224254.40393726432,33132.25056546974
cUnmetRsv,0.0,-,-,-
cNetworkExp,5.774414562947834e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
