Zone,1,2,3,Total
AnnualSum,3.712965079306812e6,2.1756778270215834e6,158899.3471837701,6.0475422535121655e6
t1,29.25210493057652,0.0,0.0,29.25210493057652
t2,29.25210493057652,0.0,0.0,29.25210493057652
t3,29.25210493057652,0.0,0.0,29.25210493057652
t4,29.25210493057652,0.0,0.0,29.25210493057652
t5,29.25210493057652,0.0,0.0,29.25210493057652
t6,29.25210493057652,0.0,0.0,29.25210493057652
t7,29.25210493057652,0.0,0.0,29.25210493057652
t8,29.25210493057652,0.0,0.0,29.25210493057652
t9,29.25210493057652,0.0,0.0,29.25210493057652
t10,29.25210493057652,0.0,0.0,29.25210493057652
t11,29.25210493057652,0.0,0.0,29.25210493057652
t12,29.25210493057652,0.0,0.0,29.25210493057652
t13,29.25210493057652,0.0,0.0,29.25210493057652
t14,29.25210493057652,0.0,0.0,29.25210493057652
t15,29.25210493057652,0.0,0.0,29.25210493057652
t16,29.25210493057652,0.0,0.0,29.25210493057652
t17,29.25210493057652,0.0,0.0,29.25210493057652
t18,60.927554514907314,0.0,0.0,60.927554514907314
t19,62.504497714907096,0.0,0.0,62.504497714907096
t20,29.25210493057652,0.0,0.0,29.25210493057652
t21,29.25210493057652,0.0,0.0,29.25210493057652
t22,29.25210493057652,0.0,0.0,29.25210493057652
t23,29.25210493057652,0.0,0.0,29.25210493057652
t24,29.25210493057652,0.0,0.0,29.25210493057652
t25,29.25210493057652,0.0,0.0,29.25210493057652
t26,29.25210493057652,0.0,0.0,29.25210493057652
t27,29.25210493057652,0.0,0.0,29.25210493057652
t28,29.25210493057652,0.0,0.0,29.25210493057652
t29,29.25210493057652,0.0,0.0,29.25210493057652
t30,29.25210493057652,0.0,0.0,29.25210493057652
t31,29.25210493057652,0.0,0.0,29.25210493057652
t32,29.25210493057652,0.0,0.0,29.25210493057652
t33,29.25210493057652,0.0,0.0,29.25210493057652
t34,29.25210493057652,0.0,0.0,29.25210493057652
t35,29.25210493057652,0.0,0.0,29.25210493057652
t36,29.25210493057652,0.0,0.0,29.25210493057652
t37,29.25210493057652,0.0,0.0,29.25210493057652
t38,29.25210493057652,0.0,0.0,29.25210493057652
t39,29.25210493057652,0.0,0.0,29.25210493057652
t40,29.25210493057652,0.0,0.0,29.25210493057652
t41,171.0758138777765,0.0,0.0,171.0758138777765
t42,254.8915681149071,0.0,0.0,254.8915681149071
t43,215.46798811490734,0.0,0.0,215.46798811490734
t44,90.0371489472,0.0,0.0,90.0371489472
