Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,9.41111519920945e6,5.758353371204203e6,237244.40568170862,1.830848281879988e7,2.8241351814660054e7,2.0431864105251573e7,3.814547694453846e7,5.962622690951465e6,8.411407181739662e6,6.956753656615653e6,1.418646721886521e8
t1,74.19951442912216,-0.0,-0.0,-0.0,7323.711739515172,-0.0,8850.91197393059,210.1901901388264,0.0,0.0,16459.01341801371
t2,74.19951442912216,-0.0,-0.0,-0.0,7174.00839573563,-0.0,8999.886170538592,0.0,0.0,0.0,16248.094080703344
t3,74.19951442912216,-0.0,-0.0,-0.0,7550.0976367022995,-0.0,5175.307694,0.0,0.0,0.0,12799.604845131422
t4,74.19951442912216,-0.0,-0.0,-0.0,6619.9390186354385,-0.0,7197.966176204547,0.0,36.670276138608145,0.0,13928.774985407716
t5,74.19951442912216,-0.0,-0.0,-0.0,5581.416942857406,-0.0,7575.186145935218,0.0,1145.8733631583084,0.0,14376.675966380055
t6,74.19951442912216,-0.0,-0.0,-0.0,6037.102250516493,-0.0,9308.681366061785,6.190190138826407,978.731937411049,0.0,16404.905258557275
t7,74.19951442912216,-0.0,0.0,-0.0,6695.330013106676,-0.0,5261.307694,408.1901901388264,435.50417482086567,0.0,12874.531586495492
t8,74.19951442912216,-0.0,-0.0,-0.0,5873.740420422507,-0.0,7537.05117317685,848.1901901388264,1382.0937675050352,0.0,15715.275065672342
t9,74.19951442912216,-0.0,-0.0,2619.1111448011425,8003.053643540274,2974.1461897704025,7412.575555752205,0.0,0.0,0.0,21083.086048293146
t10,74.19951442912216,-0.0,-0.0,4914.295439969408,2254.0447701089543,5832.382342029824,3163.7489423085867,0.0,0.0,2285.5587516914134,18524.22976053731
t11,74.19951442912216,-0.0,-0.0,6759.113037135086,145.29387971107874,7294.42940608879,1566.0335948553216,0.0,0.0,3902.2740991446785,19741.343531364077
t12,74.19951442912216,-0.0,-0.0,6408.694028796175,387.8423880933112,8030.721576186955,903.4643184886622,0.0,0.0,4563.843375511337,20368.76520150556
t13,74.19951442912216,-0.0,-0.0,6838.58951325319,926.666319299521,7980.669514534485,648.9347429083836,0.0,0.0,4810.372951091616,21279.432555516316
t14,74.19951442912216,-0.0,-0.0,6318.37985138924,405.14517925306046,6768.882758737865,444.7827631283979,0.0,0.0,5003.524930871602,19014.914997809286
t15,74.19951442912216,-0.0,-0.0,5092.515416719095,68.36648610247366,5574.219076664457,806.477316065086,0.0,0.0,4637.8303779349135,16253.608187915148
t16,74.19951442912216,-0.0,-0.0,3749.8446459359807,1946.4420165068384,4781.289047327971,1965.0242486361021,0.0,0.0,3482.283445363898,15999.08291819991
t17,74.19951442912216,-0.0,-0.0,1312.5660449808024,2912.0339075690854,2378.790088009454,4961.92074711488,944.6241451580245,2367.0101923490024,551.3869468851199,15502.53158649549
t18,154.54597100239835,-0.0,-0.0,-0.0,5249.236371974446,-0.0,5610.307694,2895.8437335655512,2614.5978159530955,0.0,16524.531586495494
t19,158.54597100239778,-0.0,0.0,-0.0,8785.256360617925,-0.0,10597.88416069287,2895.8437335655512,0.0,0.0,22437.530225878745
t20,74.19951442912216,-0.0,-0.0,-0.0,3986.5107063955766,-0.0,11064.43508245742,2769.1901901388264,3818.323481531965,0.0,21712.658974952912
t21,74.19951442912216,-0.0,-0.0,-0.0,6765.051485464315,-0.0,10641.174263681643,2354.1901901388264,921.7827024632267,0.0,20756.398156177136
t22,74.19951442912216,-0.0,-0.0,-0.0,5903.833413288839,-0.0,11031.632985874629,1671.1901901388264,1588.0007746387025,0.0,20268.85687837012
t23,74.19951442912216,-0.0,-0.0,-0.0,7680.79070215915,-0.0,10555.273869271425,907.1901901388264,0.0,0.0,19217.454275998523
t24,74.19951442912216,-0.0,-0.0,-0.0,6927.102405914516,-0.0,5223.307694,132.1901901388264,123.73178201302625,0.0,12480.53158649549
t25,74.19951442912216,-0.0,-0.0,-0.0,7556.496696163854,-0.0,10746.632985874629,0.0,0.0,0.0,18377.329196467603
t26,74.19951442912216,-0.0,-0.0,-0.0,10193.137550589377,-0.0,10707.632985874629,0.0,0.0,0.0,20974.970050893127
t27,74.19951442912216,-0.0,-0.0,-0.0,9404.956293590449,-0.0,5093.307694,0.0,0.0,0.0,14572.463502019571
t28,74.19951442912216,-0.0,-0.0,-0.0,9928.330622220243,-0.0,10693.632985874629,0.0,0.0,0.0,20696.16312252399
t29,74.19951442912216,-0.0,-0.0,-0.0,10582.962703096882,-0.0,5126.307694,0.0,0.0,0.0,15783.469911526005
t30,74.19951442912216,-0.0,-0.0,-0.0,9671.648829696866,-0.0,10824.632985874629,153.1901901388264,0.0,0.0,20723.67152013944
t31,74.19951442912216,-0.0,-0.0,-0.0,7237.7459865704595,-0.0,5407.307694,1483.1901901388264,199.08820135708237,0.0,14401.531586495492
t32,74.19951442912216,-0.0,-0.0,-0.0,2862.993380600987,-0.0,11107.632985874629,2230.1901901388264,4787.840807326555,0.0,21062.85687837012
t33,74.19951442912216,-0.0,-0.0,1312.5660449808024,3639.2769536787914,1745.2363602505684,5531.307694,1078.6241451580245,2313.320873998182,0.0,15694.53158649549
t34,74.19951442912216,-0.0,-0.0,3895.5515188191707,7953.008581931119,4009.433570266211,11142.632985874629,0.0,0.0,0.0,27074.826171320252
t35,74.19951442912216,-0.0,-0.0,4290.525521345504,4914.409927799536,3980.4560608884663,5555.307694,0.0,0.0,0.0,18814.898718462628
