BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.894822895393411e7,5.960906332872301e6,-7.042658710860366e6,0.0,0.0,0.0,0.0,5.399001954604953e7,-432619.12199681887,-8.1423877e7,5.257739618173623e7,7.043089251985378e6,-8.321230212648123e6,0.0,0.0,0.0,0.0,-2.78729501078065e7,-172255.11326583257,-2.325405e7,3.874764557168027e7,6.997315124684739e6,-8.267149249391263e6,0.0,0.0,0.0,0.0,-2.6117069438242953e7,-260364.00873095595,-1.1100378e7
t1,0.0,37.568301169382146,-0.0,0.0,0.0,0.0,0.0,8792.225566172896,-68.79386734227818,-8761.0,7323.711739515172,0.0,-0.0,0.0,0.0,0.0,0.0,-4792.225566172894,-29.486173342278175,-2502.0,8850.91197393059,0.0,-3616.6042799305897,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1195.0
t2,0.0,0.0,-182.5564064313241,0.0,0.0,0.0,0.0,8724.936248083477,-68.37984165215342,-8474.0,7174.008395735631,0.0,-0.0,0.0,0.0,0.0,0.0,-4724.936248083478,-29.07214765215342,-2420.0,8999.886170538592,0.0,-3804.578476538592,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1156.0
t3,0.0,0.0,-532.1562664344481,0.0,0.0,0.0,0.0,8937.846125208394,-69.68985877394805,-8336.0,7550.0976367023,0.0,-201.8693467199546,0.0,0.0,0.0,0.0,-4937.846125208396,-30.38216477394806,-2380.0,5175.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1136.0
t4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8341.017621632971,-66.01762163297151,-8275.0,6619.9390186354385,111.78853063050465,-0.0,0.0,0.0,0.0,0.0,-4341.017621632972,-26.70992763297151,-2364.0,7197.966176204547,0.0,-2030.6584822045472,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1128.0
t5,0.0,190.9248490126183,-0.0,0.0,0.0,0.0,0.0,8204.251260345813,-65.17610935843005,-8330.0,5581.416942857406,1027.7027328468357,-0.0,0.0,0.0,0.0,0.0,-4204.251260345812,-25.868415358430063,-2379.0,7575.1861459352185,0.0,-2399.8784519352184,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1136.0
t6,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8624.763486816157,-67.76348681615562,-8557.0,6037.102250516493,1060.1170291158187,-0.0,0.0,0.0,0.0,0.0,-4624.763486816156,-28.45579281615563,-2444.0,9308.681366061785,0.0,-4103.373672061785,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1166.0
t7,0.0,912.5674093367717,-0.0,0.0,0.0,0.0,0.0,8111.035148884952,-64.60255822172448,-8959.0,6695.330013106676,0.0,-0.0,0.0,0.0,0.0,0.0,-4111.035148884952,-25.294864221724474,-2559.0,5261.307693999999,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1222.0
t8,0.0,530.8437335655505,-0.0,0.0,0.0,0.0,0.0,8937.846125208394,-69.68985877394805,-9399.0,5873.740420422508,1778.4878695598368,-0.0,0.0,0.0,0.0,0.0,-4937.846125208396,-30.38216477394806,-2684.0,7537.05117317685,0.0,-2215.743479176851,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1282.0
