Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,1.2691408607178073e9,3.229882026763145e9,2.356609399171681e9,6.855632286652634e9
t1,29679.499713732235,16977.80372642467,47585.742840095765,94243.04628025266
t2,29847.451607649054,16977.80372642467,51085.955038511274,97911.21037258499
t3,30337.03537276875,17163.52352540703,51085.955038511274,98586.51393668706
t4,30337.03537276875,17042.014252982568,52954.160842139456,100333.21046789078
t5,30129.508362972425,15924.946065105572,55162.04901791986,101216.50344599786
t6,30129.508362972425,14772.644946501423,58937.15279621671,103839.30610569056
t7,29137.587265867238,14772.644946501423,58937.15279621671,102847.38500858538
t8,28560.583207643816,12839.505957849426,60975.63679705941,102375.72596255265
t9,29945.429225980562,15745.759777711492,60975.63679705941,106666.82580075145
t10,32609.60546086087,16405.917300924884,58491.33380609048,107506.85656787624
t11,35273.78169574118,18019.37707315499,54249.73152441148,107542.89029330765
t12,37937.95793062149,20209.77578045034,49289.032203203504,107436.76591427534
t13,40602.1341655018,23325.483253010356,44060.36595201697,107987.98337052911
t14,43266.310400382106,24455.848549925555,38621.75189672175,106343.91084702942
t15,44564.23536975601,24455.848549925555,33580.631920705535,102600.7158403871
t16,45591.92314630837,24455.848549925555,29795.54121922304,99843.31291545696
t17,44910.09957175973,21452.14822992142,29196.207581304432,95558.45538298559
t18,42020.05203527543,18179.330927738923,29196.207581304432,89395.5905443188
t19,39125.65667270418,18661.436752723657,33783.85793066188,91570.95135608972
t20,36460.609136219886,14080.221987955429,38826.495128042705,89367.32625221802
t21,33312.95290408342,13592.677806297344,38826.495128042705,85732.12583842347
t22,31841.383628468688,11435.72685336962,43977.87439656736,87254.98487840567
t23,31200.24913546265,11446.364272572284,43977.87439656736,86624.4878046023
t24,31200.24913546265,11084.75882848278,43977.87439656736,86262.8823605128
t25,31883.032900582348,11330.64576216977,49129.253665092016,92342.93232784414
t26,32827.09666570204,14077.68228192824,49129.253665092016,96034.0326127223
t27,33876.960430821724,16129.032045247697,54280.632933616675,104286.6254096861
t28,34921.30419594142,18660.046190906567,54280.632933616675,107861.98332046467
t29,35744.84796106111,21730.76185097194,59432.012202141326,116907.62201417438
t30,35895.8717261808,23771.7087475093,59432.012202141326,119099.59267583143
t31,34628.650276653025,23124.445374235514,59432.012202141326,117185.10785302987
t32,31480.994044516556,18571.11561207315,64583.391470665985,114635.50112725569
t33,30653.518296054874,15625.773246798168,64583.391470665985,110862.68301351902
t34,32245.769458488205,19161.530000035957,69734.77073919064,121142.07019771481
t35,34122.27670324576,19852.11668284516,73077.69329409653,127052.08668018747
t36,36258.33966200836,20479.111413283765,73077.69329409653,129815.14436938865
t37,38007.60260839898,22051.436010300407,76799.80748676808,136858.84610546747
t38,39009.37722346961,25839.170139773538,76799.80748676808,141648.35485001124
t39,39867.12114716852,28106.358820893198,76799.80748676808,144773.28745482978
