region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,0.0,0.0,0.0,5.400675e7,0.0,0.0,3.2896880784003496e7,1.8474581075726807e8,0.0,2.433827353809395e6,0.0,0.0,2.5309562333901924e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5309562333901924e8,2.74083268895081e8,-2.0987645556061745e7
CT,CT_natural_gas_combined_cycle,2,1,2,0.0,0.0,0.0,1.21225e7,0.0,0.0,2.187972204904079e7,9.60707963301455e7,0.0,234794.96787281334,0.0,0.0,1.3834800085973433e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3834800085973433e8,1.303078133470591e8,8.040187512675226e6
ME,ME_natural_gas_combined_cycle,3,1,3,0.0,0.0,0.0,8.1455e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1455e6,-8.1455e6
MA,MA_solar_pv,1,1,4,0.0,0.0,0.0,2.2590586242054912e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2752686697678894e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2752686697678894e8,2.2590586242054912e8,1.6210045562398136e6
CT,CT_onshore_wind,2,1,5,0.0,0.0,0.0,4.8382367750461775e8,0.0,0.0,2.823293229965523e6,0.0,0.0,0.0,0.0,0.0,2.953529073516131e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.953529073516131e8,4.8664697073458326e8,-1.9129406338297015e8
CT,CT_solar_pv,2,1,6,0.0,0.0,0.0,2.4709912542113706e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.409351215275059e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.409351215275059e8,2.4709912542113706e8,-6.16400389363116e6
ME,ME_onshore_wind,3,1,7,0.0,0.0,0.0,5.866156457370627e8,0.0,0.0,3.8146360436780998e6,0.0,0.0,0.0,0.0,0.0,3.766738326388567e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.766738326388567e8,5.904302817807407e8,-2.1375644914188403e8
MA,MA_battery,1,0,8,0.0,0.0,0.0,1.4175155075803373e7,1.6216724907967083e7,0.0,884302.6460165438,0.0,1.0447810089987407e6,0.0,7.951858456676382e7,0.0,1.2803413433162944e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2803413433162944e8,1.1183954820554957e8,1.6194586126079872e7
CT,CT_battery,2,0,9,0.0,0.0,0.0,3.180463750838416e7,3.638528499426992e7,0.0,1.257428682298379e6,0.0,1.4856198987457494e6,0.0,9.35083921486242e7,0.0,1.5823064206191748e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5823064206191748e8,1.644413632323224e8,-6.210721170404911e6
ME,ME_battery,3,0,10,0.0,0.0,0.0,2.7408697303726304e7,3.1356221634497926e7,0.0,1.0425912197823182e6,0.0,1.2317949194025542e6,0.0,7.136995015170266e7,0.0,1.32593843523746e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32593843523746e8,1.3240925522911176e8,184588.2946342379
