Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,6.965206726658272e6,9.904132658304997e6,8.211966129350361e6,2.5081305514313627e7
t1,0.0,249.87755158763048,0.0,249.87755158763048
t2,76.80980986117545,182.1742078080888,0.0,258.98401766926423
t3,214.8098098611745,598.2634487747582,4168.67050043234,4981.743759068273
t4,0.0,0.0,2030.658482204547,2030.658482204547
t5,0.0,0.0,2399.8784519352175,2399.8784519352175
t6,0.0,0.0,4103.373672061784,4103.373672061784
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,2215.74347917685,2215.74347917685
t9,1187.9209546623156,3555.3656453831354,2012.2678617522051,6755.554461797656
t10,2895.8437335655512,792.6807797238398,0.0,3688.524513289391
t11,2895.8437335655512,1828.8788764811384,0.0,4724.72261004669
t12,2895.8437335655512,2455.986414595543,0.0,5351.830148161094
t13,2895.8437335655512,3461.756811622342,0.0,6357.600545187894
t14,2895.8437335655512,1303.7761859214625,0.0,4199.619919487013
t15,1484.9875246181593,0.0,0.0,1484.9875246181593
t16,1191.251445464292,0.0,0.0,1191.251445464292
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,3228.308854012924,3228.308854012924
t19,0.0,920.4221726903834,0.0,920.4221726903834
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,5114.866569681644,5114.866569681644
t22,0.0,0.0,0.0,0.0
t23,0.0,407.9565142316087,0.0,407.9565142316087
t24,0.0,0.0,0.0,0.0
t25,424.80980986117135,663.6625082363125,0.0,1088.4723180974838
t26,708.80980986117,3382.303362661836,0.0,4091.113172523006
t27,823.8098098611653,2626.1221056629074,0.0,3449.931915524073
t28,817.8098098611688,3147.4964342927015,5599.325291874628,9564.631536028499
t29,577.8098098611736,3734.128515169341,0.0,4311.9383250305145
t30,0.0,2614.814641769324,5599.325291874628,8214.139933643954
t31,0.0,0.0,5599.325291874628,5599.325291874628
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,1413.3613286803427,4239.60796426979,5599.325291874628,11252.294584824762
t35,1722.3353312066731,1147.03180076046,5599.325291874628,8468.692423841761
t36,2004.4611072991122,1077.9101134011125,0.0,3082.3712207002245
t37,1584.026311242609,2105.442577072892,0.0,3689.4688883155013
t38,771.5389945904462,4513.4964166995105,4628.92176423067,9913.957175520627
t39,614.9838952733658,2860.7296250109584,5582.235903201245,9057.949423485568
t40,0.0,2576.2016264566037,0.0,2576.2016264566037
t41,0.0,0.0,0.0,0.0
