Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,Total
Zone,1,2,3,0
AnnualSum,45506.852404702564,27086.767357118817,0.0,72593.61976182138
t1,0.634183884009592,-0.0,-0.0,0.634183884009592
t2,0.634183884009592,-0.0,-0.0,0.634183884009592
t3,0.634183884009592,-0.0,-0.0,0.634183884009592
t4,0.634183884009592,-0.0,-0.0,0.634183884009592
t5,0.634183884009592,-0.0,-0.0,0.634183884009592
t6,0.634183884009592,-0.0,-0.0,0.634183884009592
t7,0.634183884009592,-0.0,-0.0,0.634183884009592
t8,0.634183884009592,-0.0,-0.0,0.634183884009592
t9,0.634183884009592,-0.0,-0.0,0.634183884009592
t10,0.634183884009592,-0.0,-0.0,0.634183884009592
t11,0.634183884009592,-0.0,-0.0,0.634183884009592
t12,0.634183884009592,-0.0,-0.0,0.634183884009592
t13,0.634183884009592,-0.0,-0.0,0.634183884009592
t14,0.634183884009592,-0.0,-0.0,0.634183884009592
t15,0.634183884009592,-0.0,-0.0,0.634183884009592
t16,0.634183884009592,-0.0,-0.0,0.634183884009592
t17,0.634183884009592,-0.0,-0.0,0.634183884009592
t18,0.634183884009592,-0.0,-0.0,0.634183884009592
t19,0.634183884009592,-0.0,-0.0,0.634183884009592
t20,0.634183884009592,-0.0,-0.0,0.634183884009592
t21,0.634183884009592,-0.0,-0.0,0.634183884009592
t22,0.634183884009592,-0.0,-0.0,0.634183884009592
t23,0.634183884009592,-0.0,-0.0,0.634183884009592
t24,0.634183884009592,-0.0,-0.0,0.634183884009592
t25,0.634183884009592,-0.0,-0.0,0.634183884009592
t26,0.634183884009592,-0.0,-0.0,0.634183884009592
t27,0.634183884009592,-0.0,-0.0,0.634183884009592
t28,0.634183884009592,-0.0,-0.0,0.634183884009592
t29,0.634183884009592,-0.0,-0.0,0.634183884009592
t30,0.634183884009592,-0.0,-0.0,0.634183884009592
t31,0.634183884009592,-0.0,-0.0,0.634183884009592
t32,0.634183884009592,-0.0,-0.0,0.634183884009592
t33,0.634183884009592,-0.0,-0.0,0.634183884009592
t34,0.634183884009592,-0.0,-0.0,0.634183884009592
t35,0.634183884009592,-0.0,-0.0,0.634183884009592
t36,0.634183884009592,-0.0,-0.0,0.634183884009592
t37,0.634183884009592,-0.0,-0.0,0.634183884009592
t38,0.634183884009592,-0.0,-0.0,0.634183884009592
t39,0.634183884009592,-0.0,-0.0,0.634183884009592
t40,0.634183884009592,-0.0,-0.0,0.634183884009592
t41,2.5861838840095928,-0.0,-0.0,2.5861838840095928
t42,2.5861838840095928,-0.0,-0.0,2.5861838840095928
t43,2.5861838840095928,-0.0,-0.0,2.5861838840095928
t44,1.9520000000000008,-0.0,-0.0,1.9520000000000008
t45,1.9520000000000008,-0.0,-0.0,1.9520000000000008
t46,1.9520000000000008,-0.0,-0.0,1.9520000000000008
t47,-0.0,-0.0,-0.0,0.0
t48,-0.0,-0.0,-0.0,0.0
t49,-0.0,-0.0,-0.0,0.0
t50,-0.0,-0.0,-0.0,0.0
t51,-0.0,-0.0,-0.0,0.0
t52,-0.0,-0.0,-0.0,0.0
t53,-0.0,-0.0,-0.0,0.0
t54,-0.0,-0.0,-0.0,0.0
t55,-0.0,-0.0,-0.0,0.0
t56,-0.0,-0.0,-0.0,0.0
t57,-0.0,-0.0,-0.0,0.0
t58,-0.0,-0.0,-0.0,0.0
t59,-0.0,-0.0,-0.0,0.0
t60,-0.0,-0.0,-0.0,0.0
t61,-0.0,-0.0,-0.0,0.0
t62,-0.0,-0.0,-0.0,0.0
t63,-0.0,-0.0,-0.0,0.0
t64,-0.0,-0.0,-0.0,0.0
t65,-0.0,-0.0,-0.0,0.0
t66,-0.0,-0.0,-0.0,0.0
t67,-0.0,-0.0,-0.0,0.0
t68,-0.0,-0.0,-0.0,0.0
t69,-0.0,-0.0,-0.0,0.0
t70,-0.0,-0.0,-0.0,0.0
t71,-0.0,-0.0,-0.0,0.0
t72,-0.0,-0.0,-0.0,0.0
t73,-0.0,-0.0,-0.0,0.0
t74,-0.0,-0.0,-0.0,0.0
t75,-0.0,-0.0,-0.0,0.0
t76,-0.0,-0.0,-0.0,0.0
t77,-0.0,-0.0,-0.0,0.0
t78,-0.0,-0.0,-0.0,0.0
t79,-0.0,-0.0,-0.0,0.0
t80,-0.0,-0.0,-0.0,0.0
t81,-0.0,-0.0,-0.0,0.0
t82,-0.0,-0.0,-0.0,0.0
t83,-0.0,-0.0,-0.0,0.0
t84,-0.0,-0.0,-0.0,0.0
t85,-0.0,-0.0,-0.0,0.0
t86,-0.0,-0.0,-0.0,0.0
t87,-0.0,-0.0,-0.0,0.0
t88,-0.0,-0.0,-0.0,0.0
t89,0.1832284347553955,-0.0,-0.0,0.1832284347553955
t90,1.070183884009592,-0.0,0.0,1.070183884009592
t91,1.070183884009592,-0.0,-0.0,1.070183884009592
t92,1.070183884009592,-0.0,-0.0,1.070183884009592
t93,1.070183884009592,-0.0,-0.0,1.070183884009592
t94,1.070183884009592,-0.0,-0.0,1.070183884009592
t95,1.070183884009592,-0.0,-0.0,1.070183884009592
t96,1.070183884009592,-0.0,-0.0,1.070183884009592
t97,1.070183884009592,-0.0,-0.0,1.070183884009592
t98,1.070183884009592,-0.0,-0.0,1.070183884009592
t99,1.070183884009592,-0.0,-0.0,1.070183884009592
t100,1.070183884009592,-0.0,-0.0,1.070183884009592
t101,1.070183884009592,-0.0,-0.0,1.070183884009592
t102,1.070183884009592,-0.0,-0.0,1.070183884009592
t103,1.070183884009592,-0.0,-0.0,1.070183884009592
t104,1.070183884009592,-0.0,-0.0,1.070183884009592
t105,1.070183884009592,-0.0,-0.0,1.070183884009592
t106,1.070183884009592,-0.0,-0.0,1.070183884009592
t107,1.070183884009592,-0.0,-0.0,1.070183884009592
t108,1.070183884009592,-0.0,0.0,1.070183884009592
t109,1.070183884009592,-0.0,-0.0,1.070183884009592
t110,1.070183884009592,-0.0,-0.0,1.070183884009592
t111,1.070183884009592,-0.0,-0.0,1.070183884009592
t112,1.070183884009592,-0.0,-0.0,1.070183884009592
t113,1.070183884009592,-0.0,-0.0,1.070183884009592
t114,1.150183884009592,-0.0,-0.0,1.150183884009592
t115,1.150183884009592,-0.0,-0.0,1.150183884009592
t116,0.4009784347553941,-0.0,-0.0,0.4009784347553941
t117,0.07999999999999985,-0.0,-0.0,0.07999999999999985
t118,0.07999999999999985,-0.0,-0.0,0.07999999999999985
t119,0.07999999999999985,-0.0,-0.0,0.07999999999999985
t120,-0.0,-0.0,-0.0,0.0
t121,-0.0,-0.0,-0.0,0.0
t122,-0.0,-0.0,-0.0,0.0
t123,-0.0,-0.0,-0.0,0.0
t124,-0.0,-0.0,-0.0,0.0
t125,-0.0,-0.0,-0.0,0.0
t126,-0.0,-0.0,-0.0,0.0
t127,-0.0,-0.0,-0.0,0.0
t128,-0.0,-0.0,-0.0,0.0
t129,-0.0,-0.0,-0.0,0.0
t130,-0.0,-0.0,-0.0,0.0
t131,-0.0,-0.0,-0.0,0.0
