Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,9.266726981409436e6,6.128773683204704e6,0.0,1.830848281879988e7,2.823293229965523e7,2.043340524616933e7,3.8146360436781e7,5.8953509734436255e6,8.382857881989194e6,6.950608131882122e6,1.417454984533345e8
t1,74.19951442912226,-0.0,-0.0,-0.0,7323.711739515172,-0.0,5234.307694,210.19019013882652,0.0,0.0,12842.40913808312
t2,74.19951442912226,-0.0,-0.0,-0.0,7174.00839573563,-0.0,5195.307694,0.0,0.0,0.0,12443.515604164753
t3,74.19951442912226,-0.0,-0.0,-0.0,7550.0976367022995,-0.0,9343.97819443234,0.0,0.0,0.0,16968.27534556376
t4,74.19951442912226,-0.0,-0.0,-0.0,6619.9390186354385,-0.0,7197.966176204547,0.0,36.67027613860773,0.0,13928.774985407716
t5,74.19951442912226,-0.0,-0.0,-0.0,5581.416942857406,-0.0,7575.186145935218,0.0,1145.8733631583086,0.0,14376.675966380055
t6,74.19951442912226,-0.0,-0.0,-0.0,6037.102250516493,-0.0,9308.681366061785,6.19019013882653,978.731937411048,0.0,16404.905258557275
t7,74.19951442912226,-0.0,-0.0,-0.0,6695.330013106676,-0.0,5261.307694,408.1901901388268,435.50417482086505,0.0,12874.53158649549
t8,74.19951442912226,-0.0,-0.0,-0.0,5873.740420422507,-0.0,7537.05117317685,848.1901901388268,1382.093767505034,0.0,15715.27506567234
t9,74.19951442912226,-0.0,-0.0,2619.1111448011425,8003.053643540274,2974.1461897704025,7412.575555752205,0.0,0.0,0.0,21083.086048293146
t10,74.19951442912226,-0.0,0.0,4914.295439969408,2254.0447701089543,5832.382342029824,3163.7489423085867,0.0,0.0,2285.5587516914134,18524.22976053731
t11,74.19951442912226,-0.0,-0.0,6759.113037135086,145.29387971107874,7294.42940608879,1566.0335948553216,0.0,0.0,3902.2740991446785,19741.343531364077
