BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.7575209800209016e7,5.8953509734436255e6,-6.965206726658272e6,0.0,0.0,0.0,0.0,5.536146692251527e7,-442943.9695107756,-8.1423877e7,5.479511122902943e7,8.382857881989194e6,-9.904132658304997e6,0.0,0.0,0.0,0.0,-2.983606791121112e7,-183718.54150209372,-2.325405e7,3.8146360436781e7,6.950608131882122e6,-8.211966129350361e6,0.0,0.0,0.0,0.0,-2.5525399011304315e7,-259225.4280086508,-1.1100378e7
t1,74.19951442912226,210.19019013882652,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-8761.0,7323.711739515172,0.0,-249.87755158763048,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2502.0,5234.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1195.0
t2,74.19951442912226,0.0,-76.80980986117545,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-8474.0,7174.00839573563,0.0,-182.1742078080888,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2420.0,5195.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1156.0
t3,74.19951442912226,0.0,-214.8098098611745,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-8336.0,7550.0976367022995,0.0,-598.2634487747582,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2380.0,9343.97819443234,0.0,-4168.67050043234,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1136.0
t4,74.19951442912226,0.0,-0.0,0.0,0.0,0.0,0.0,8266.35873717246,-65.55825160158507,-8275.0,6619.9390186354385,36.67027613860773,-0.0,0.0,0.0,0.0,0.0,-4266.358737172462,-26.250557601585076,-2364.0,7197.966176204547,0.0,-2030.658482204547,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1128.0
t5,74.19951442912226,0.0,-0.0,0.0,0.0,0.0,0.0,8321.699242793296,-65.89875722241885,-8330.0,5581.416942857406,1145.8733631583086,-0.0,0.0,0.0,0.0,0.0,-4321.6992427932955,-26.59106322241886,-2379.0,7575.186145935218,0.0,-2399.8784519352175,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1136.0
t6,74.19951442912226,6.19019013882653,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-8557.0,6037.102250516493,978.731937411048,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2444.0,9308.681366061785,0.0,-4103.373672061784,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1166.0
t7,74.19951442912226,408.1901901388268,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-8959.0,6695.330013106676,435.50417482086505,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2559.0,5261.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1222.0
t8,74.19951442912226,848.1901901388268,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-9399.0,5873.740420422507,1382.093767505034,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2684.0,7537.05117317685,0.0,-2215.74347917685,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1282.0
t9,2693.3106592302647,0.0,-1187.9209546623156,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-9982.0,10977.199833310677,0.0,-3555.3656453831354,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2850.0,7412.575555752205,0.0,-2012.2678617522051,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1361.0
t10,4988.49495439853,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,8314.201402790979,-65.85262362395858,-10341.0,8086.427112138778,0.0,-792.6807797238398,0.0,0.0,0.0,0.0,-4314.20140279098,-26.544929623958573,-2953.0,3163.7489423085867,2285.5587516914134,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1410.0
t11,6833.312551564209,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,6600.841642660036,-55.31046065869333,-10483.0,7439.723285799869,0.0,-1828.8788764811384,0.0,0.0,0.0,0.0,-2600.8416426600365,-16.00276665869333,-2994.0,1566.0335948553216,3902.2740991446785,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1429.0
t12,6482.893543225297,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,6951.417717012488,-57.4675266722339,-10481.0,8418.563964280265,0.0,-2455.986414595543,0.0,0.0,0.0,0.0,-2951.417717012488,-18.159832672233904,-2993.0,903.4643184886622,4563.843375511337,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1428.0
t13,6912.789027682312,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,6455.470711047452,-54.41600516421202,-10418.0,8907.335833834006,0.0,-3461.756811622342,0.0,0.0,0.0,0.0,-2455.470711047452,-15.10831116421202,-2975.0,648.9347429083836,4810.372951091616,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1420.0
t14,6392.579365818362,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,6899.411906908326,-57.14753916113652,-10339.0,7174.027937990925,0.0,-1303.7761859214625,0.0,0.0,0.0,0.0,-2899.4119069083263,-17.83984516113652,-2953.0,444.7827631283979,5003.524930871602,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1409.0
t15,5166.714931148217,0.0,-1484.9875246181593,0.0,0.0,0.0,0.0,6682.082925118435,-55.810331648495335,-10308.0,5642.585562766931,0.0,-0.0,0.0,0.0,0.0,0.0,-2682.0829251184355,-16.502637648495337,-2944.0,806.477316065086,4637.8303779349135,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1405.0
t16,3824.044160365103,0.0,-1191.251445464292,0.0,0.0,0.0,0.0,7755.6230214669995,-62.4157363678102,-10326.0,6727.73106383481,0.0,-0.0,0.0,0.0,0.0,0.0,-3755.6230214669995,-23.1080423678102,-2949.0,1965.0242486361021,3482.283445363898,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1408.0
t17,1386.7655594099247,944.6241451580248,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-10808.0,5290.823995578539,2367.0101923490015,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3086.0,4961.92074711488,551.3869468851199,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1474.0
t18,154.54597100239926,2895.8437335655512,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-11527.0,5249.236371974446,2614.5978159530946,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3292.0,8838.616548012924,0.0,-3228.308854012924,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1571.0
t19,158.545971002398,2895.8437335655512,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-11531.0,8785.256360617925,0.0,-920.4221726903834,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3293.0,5611.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1572.0
t20,74.19951442912226,2769.190190138827,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-11320.0,3986.5107063955766,3818.3234815319643,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3233.0,5583.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1544.0
t21,74.19951442912226,2354.190190138827,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-10905.0,6765.051485464315,921.7827024632256,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3115.0,10641.174263681643,0.0,-5114.866569681644,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1487.0
t22,74.19951442912226,1671.190190138827,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-10222.0,5903.833413288839,1588.0007746387014,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2920.0,5432.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1393.0
t23,74.19951442912226,907.1901901388268,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-9458.0,7680.79070215915,0.0,-407.9565142316087,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2701.0,5328.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1289.0
t24,74.19951442912226,132.19019013882652,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-8683.0,6927.102405914516,123.73178201302562,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2479.0,5223.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1184.0
t25,74.19951442912226,0.0,-424.80980986117135,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-8126.0,7556.496696163854,0.0,-663.6625082363125,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2321.0,5147.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1108.0
t26,74.19951442912226,0.0,-708.80980986117,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-7842.0,10193.137550589377,0.0,-3382.303362661836,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2239.0,5108.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1069.0
t27,74.19951442912226,0.0,-823.8098098611653,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-7727.0,9404.956293590449,0.0,-2626.1221056629074,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2207.0,5093.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1054.0
t28,74.19951442912226,0.0,-817.8098098611688,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-7733.0,9928.330622220243,0.0,-3147.4964342927015,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2209.0,10693.632985874629,0.0,-5599.325291874628,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1055.0
t29,74.19951442912226,0.0,-577.8098098611736,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-7973.0,10582.962703096882,0.0,-3734.128515169341,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2277.0,5126.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1087.0
t30,74.19951442912226,153.19019013882652,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-8704.0,9671.648829696866,0.0,-2614.814641769324,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2485.0,10824.632985874629,0.0,-5599.325291874628,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1186.0
t31,74.19951442912226,1483.190190138827,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-10034.0,7237.7459865704595,199.08820135708174,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-2865.0,11006.632985874629,0.0,-5599.325291874628,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1368.0
t32,74.19951442912226,2230.190190138827,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-10781.0,2862.993380600987,4787.840807326554,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3079.0,5508.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1469.0
t33,1386.7655594099247,1078.624145158025,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-10942.0,5384.513313929359,2313.320873998181,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3126.0,5531.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1492.0
t34,3969.751033248293,0.0,-1413.3613286803427,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-11033.0,11962.44215219733,0.0,-4239.60796426979,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3151.0,11142.632985874629,0.0,-5599.325291874628,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1504.0
t35,4364.725035774626,0.0,-1722.3353312066731,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-11119.0,8894.865988688001,0.0,-1147.03180076046,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3176.0,11154.632985874629,0.0,-5599.325291874628,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1516.0
t36,4630.850811867064,0.0,-2004.4611072991122,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-11103.0,8819.744301328654,0.0,-1077.9101134011125,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3170.0,5553.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1514.0
t37,4103.416015810558,0.0,-1584.026311242609,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-10996.0,9817.276765000433,0.0,-2105.442577072892,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3140.0,5538.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1499.0
t38,3215.928699158401,0.0,-771.5389945904462,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-10921.0,12204.330604627052,0.0,-4513.4964166995105,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3119.0,10157.22945823067,0.0,-4628.92176423067,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1489.0
t39,2941.3735998413154,0.0,-614.9838952733658,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-10803.0,10517.5638129385,0.0,-2860.7296250109584,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3085.0,11094.543597201244,0.0,-5582.235903201245,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1473.0
t40,1648.0745793739927,683.3151251939565,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-10808.0,10234.035814384144,0.0,-2576.2016264566037,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3086.0,5513.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1474.0
t41,622.8977969657219,2201.4919076022275,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-11301.0,5645.313769676917,2153.5204182506236,-0.0,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3227.0,5579.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1540.0
t42,646.5459710023982,2895.8437335655512,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-12019.0,8354.883614809256,0.0,-351.0494268817147,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3432.0,5678.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1639.0
t43,546.5459710023993,2895.8437335655512,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-11919.0,9156.92226279014,0.0,-1181.0880748625987,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3404.0,5664.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1625.0
t44,228.3840000000001,2836.005704567949,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-11541.0,9873.306213729335,0.0,-2005.4720258017933,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3296.0,5613.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1574.0
t45,228.3840000000001,2292.005704567949,-0.0,0.0,0.0,0.0,0.0,8543.876088679795,-67.26579324774555,-10997.0,10339.303298372657,0.0,-2627.469110445116,0.0,0.0,0.0,0.0,-4543.876088679795,-27.958099247745555,-3140.0,5538.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1499.0
