Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,1.1421355403241222e9,2.8078198643506646e9,2.537508346021547e9,6.487463750696333e9
t1,35948.112840589085,5664.932476357036,77229.49866526933,118842.54398221546
t2,36018.77786566137,5832.532747540477,77229.49866526933,119080.80927847118
t3,36216.40289073365,6382.935120413255,81064.67552566709,123664.01353681399
t4,36216.40289073365,6343.076124610421,82932.88132929527,125492.36034463934
t5,36216.40289073365,5097.561599438346,85140.76950507567,126454.73399524766
t6,36209.67442319144,4033.7225370350334,88915.87328337252,129159.27024359899
t7,35765.98943391011,3560.3484339688757,88915.87328337252,128242.21115125151
t8,34844.04357506356,2058.0725997242735,90954.35728421522,127856.47345900306
t9,35936.93085335289,5329.008993476758,92805.64371702725,134071.5835638569
t10,38601.1070882332,6058.275310822691,90321.34072605833,134980.72312511422
t11,41265.28332311351,7740.843877185338,86079.73844437934,135085.86564467818
t12,43929.45955799382,10000.351378613237,81119.03912317137,135048.85005977843
t13,46593.63579287413,13185.167645305792,75890.37287198483,135669.17631016474
t14,49257.81202775444,14384.641736353537,70451.75881668962,134094.21258079758
t15,50624.00055040314,14384.641736353537,65410.638840673404,130419.28112743009
t16,51719.95188023029,14384.641736353537,61625.548139190905,127730.14175577473
t17,50693.186505058526,11811.804570756796,61026.2145012723,123531.20557708762
t18,47545.53027292206,8969.850422981694,63996.25864696419,120511.63934286794
t19,44397.87404078559,9816.638821856846,63996.25864696419,118210.77150960662
t20,41387.884703678166,5666.2872114960155,63996.25864696419,111050.43056213838
t21,38828.98232309248,4664.349491427292,68701.9358910713,112195.26770559108
t22,37012.47124685463,2938.261692906965,68701.9358910713,108652.6688308329
t23,36026.39495322547,3313.581686000045,68701.9358910713,108041.91253029682
t24,35882.70996394414,3179.0906185945823,68701.9358910713,107763.73647361003
t25,36273.534989016414,3789.6601261719898,68701.9358910713,108765.1310062597
t26,36925.64001408869,6901.379219820879,68701.9358910713,112528.95512498087
t27,37683.54503916096,9317.411557030755,68701.9358910713,115702.89248726302
t28,38435.93006423324,12213.10827658004,73853.31515959596,124502.35350040924
t29,38967.51508930552,15648.506510535834,73853.31515959596,128469.33675943731
t30,38801.004013067664,18054.135980963612,79004.69442812062,135859.8344221519
t31,37188.84076291676,17837.735762097218,84156.07369664528,139182.65022165928
t32,34764.720991026734,12633.560971524877,84156.07369664528,131554.3556591969
t33,33592.30344194193,10119.08176065729,84156.07369664528,127867.45889924449
t34,34892.59586432784,14019.521087785495,89307.45296516994,138219.56991728328
t35,36477.14436903798,15074.790344485118,94458.8322336946,146010.7669472177
t36,38321.248587753165,16066.467648814141,94458.8322336946,148846.5484702619
t37,39778.552794096366,18003.474819721203,94458.8322336946,152240.85984751215
t38,40488.368669119576,22155.891523084752,98717.44025678682,161361.70044899115
t39,41054.15385277107,24787.762778094835,103853.09728773197,169695.0139185979
t40,40311.42002103851,27157.86827443491,103853.09728773197,171322.38558320538
t41,37918.49403451435,24817.085211119014,103853.09728773197,166588.67653336533
t42,34770.83780237788,25140.050683850193,103853.09728773197,163763.98577396004
t43,31623.18157024141,26226.651712723786,103853.09728773197,161702.93057069718
t44,28540.5666739719,28071.685976461435,103853.09728773197,160465.3499381653
t45,26049.256125528478,30488.957558070942,103853.09728773197,160391.31097133138
t46,24427.51079447636,32681.583030063437,103853.09728773197,160962.19111227177
t47,23647.739376467718,34685.8813412766,109004.47655625663,167338.09727400096
t48,23824.020848265205,37939.03708991107,114155.85582478129,175918.91376295756
t49,24532.062320062694,41565.3046586273,114155.85582478129,180253.2228034713
t50,25576.82379186018,45328.42530807414,114155.85582478129,185061.10492471562
t51,26786.265263657664,49173.30866143789,114155.85582478129,190115.42974987684
t52,28038.02673545515,51565.563535482164,114155.85582478129,193759.4460957186
t53,28495.97236525652,51565.563535482164,119307.23509330595,199368.77099404464
t54,28495.97236525652,49779.972585511125,124458.61436183061,202734.55931259826
t55,27560.766164639183,47317.47437447185,124458.61436183061,199336.85490094166
t56,25820.12518141315,45388.276189078766,124458.61436183061,195667.01573232253
t57,25317.334789871053,47789.60944397179,124458.61436183061,197565.55859567347
t58,27769.842572582602,51060.44512231343,124458.61436183061,203288.90205672663
t59,30434.018807462908,57038.02765708635,129609.99363035527,217082.04009490454
t60,33098.19504234321,63015.61019185927,129609.99363035527,225723.79886455776
t61,35762.37127722352,68993.19272663219,134761.37289887993,239516.93690273564
t62,38426.54751210383,74970.7752614051,139912.75216740457,253310.0749409135
t63,41090.72374698414,80948.35779617801,139912.75216740457,261951.83371056672
t64,43754.89998186445,82579.47260311813,144184.02792378064,270518.4005087632
t65,43813.14286733534,87370.46306627148,148716.73859266378,279900.3445262706
t66,40872.501884109304,86676.90914842799,148716.73859266378,276266.14962520107
t67,37920.99133566588,86325.47076060255,148716.73859266378,272963.2006889322
t68,35258.61122200506,84237.98668636457,148716.73859266378,268213.3365010334
t69,33066.883282257295,81355.20712917788,148716.73859266378,263138.82900409895
t70,31654.503168596482,82314.32388244357,148716.73859266378,262685.5656437038
t71,31216.03609841393,84163.20724019133,148716.73859266378,264095.98193126905
t72,31615.877570211414,86834.3303669064,148716.73859266378,267166.94652978156
t73,32511.599042008904,89805.74892082899,148716.73859266378,271034.0865555017
t74,33656.64051380639,91237.81714177591,148716.73859266378,273611.1962482461
t75,34913.00198560388,93176.3546152628,148716.73859266378,276806.09519353043
t76,36163.843457401366,96825.26056450378,153868.11786118842,286857.2218830936
t77,37204.004929198854,100450.17258976515,153868.11786118842,291522.2953801524
t78,37562.44640099634,101817.85125141694,159019.49712971307,298399.7947821263
t79,36460.93585255292,104732.48909033439,159019.49712971307,300212.92207260034
t80,34508.338347587756,105635.79449576286,159019.49712971307,299163.6299730637
t81,35220.95202733565,108933.32620232757,159019.49712971307,303173.7753593763
t82,37885.128262215956,113053.642227857,159019.49712971307,309958.267619786
t83,40549.304497096266,119031.2247626299,159019.49712971307,318600.02638943924
t84,43213.480731976575,125008.80729740282,164170.8763982377,332393.1644276171
t85,45877.656966856885,130986.38983217573,164170.8763982377,341034.9231972703
t86,48541.833201737194,136963.97236694864,164170.8763982377,349676.6819669235
t87,51206.0094366175,142941.55490172157,169322.25566676236,363469.82000510144
t88,53542.04324401465,146460.98776760206,169322.25566676236,369325.28667837905
t89,53542.04324401465,146231.19757922416,169322.25566676236,369095.49649000115
t90,50394.38701187818,142182.2655875469,169322.25566676236,361898.9082661874
t91,47246.73077974171,137809.6562767494,169322.25566676236,354378.64272325346
t92,44232.40666002559,135679.69378890327,169322.25566676236,349234.35611569125
t93,41671.343409874695,130177.32655036154,174473.634935287,346322.30489552324
t94,39922.23668146293,126336.75468759707,174473.634935287,340732.626304347
t95,39225.30386609464,120001.05214565028,174242.59750980596,333468.95352155087
t96,39225.30386609464,114611.71222010559,174242.59750980596,328079.6135960062
t97,39225.30386609464,110196.47671875708,174242.59750980596,323664.3780946577
t98,39225.30386609464,107319.25870074701,178048.68051433263,324593.2430811743
