Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.30134081803906,-33.29739130434782,-0.269623631562969
