Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,7.042658710860366e6,8.321230212648123e6,8.267149249391263e6,2.3631038172899753e7
t1,0.0,0.0,3616.6042799305897,3616.6042799305897
t2,182.5564064313241,0.0,3804.578476538592,3987.134882969916
t3,532.1562664344481,201.8693467199546,0.0,734.0256131544027
t4,0.0,0.0,2030.6584822045472,2030.6584822045472
t5,0.0,0.0,2399.8784519352184,2399.8784519352184
t6,0.0,0.0,4103.373672061785,4103.373672061785
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,2215.743479176851,2215.743479176851
t9,1505.2674112355917,3158.9715433283322,0.0,4664.2389545639235
t10,2895.8437335655512,717.5625252319483,0.0,3613.4062587974995
t11,2895.8437335655512,1753.7606219892439,0.0,4649.604355554795
t12,2895.8437335655512,2380.8681601036465,0.0,5276.711893669198
t13,2895.8437335655512,3386.6385571304468,0.0,6282.482290695998
t14,2895.8437335655512,1228.6579314295664,0.0,4124.501664995118
t15,1410.7880101890355,0.0,0.0,1410.7880101890355
t16,1117.0519310351704,0.0,0.0,1117.0519310351704
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,524.028070635578,4986.576466692872,5510.60453732845
t20,0.0,0.0,5481.12738845742,5481.12738845742
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,5599.325291874628,5599.325291874628
t23,0.0,11.562412176807404,0.0,11.562412176807404
t24,0.0,0.0,0.0,0.0
t25,742.1562664344492,267.2684061815104,5599.325291874628,6608.749964490588
t26,1026.156266434448,2985.909260607033,0.0,4012.065527041481
t27,1141.1562664344474,2229.728003608106,5599.325291874628,8970.209561917181
t28,1135.156266434448,2751.1023322379006,0.0,3886.258598672349
t29,895.1562664344488,3337.7344131145373,5599.325291874628,9832.215971423615
t30,164.156266434448,2218.4205397145215,0.0,2382.5768061489694
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,5599.325291874628,5599.325291874628
t33,0.0,0.0,0.0,0.0
t34,1730.7077852536197,3843.2138622149864,5599.325291874628,11173.246939343235
t35,2039.6817877799522,750.637698705657,3633.6114727237855,6423.930959209394
t36,2321.8075638723903,681.5160113463082,0.0,3003.3235752186984
t37,1901.3727678158841,1709.0484750180894,4045.776296382117,7656.19753921609
t38,1088.885451163728,4117.102314644706,0.0,5205.987765808434
t39,932.3303518466411,2464.335522956155,0.0,3396.6658748027958
t40,0.0,2179.8075244018014,0.0,2179.8075244018014
t41,0.0,0.0,5599.325291874628,5599.325291874628
t42,0.0,0.0,0.0,0.0
t43,0.0,784.693972807799,0.0,784.693972807799
t44,0.0,1609.0779237469878,5599.325291874628,7208.403215621616
