Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,1.0639746135134755e7,3.5138858386672987e6,916248.233132614,1.8308482818799876e7,2.8497768886870362e7,2.056574145619819e7,3.783139733854745e7,5.960906332872301e6,7.043089251985378e6,6.997315124684739e6,1.4027458141689298e8
t1,-0.0,-0.0,-0.0,-0.0,7323.711739515172,-0.0,8850.91197393059,37.568301169382146,0.0,0.0,16212.192014615144
t2,-0.0,-0.0,-0.0,-0.0,7174.008395735631,-0.0,8999.886170538592,0.0,0.0,0.0,16173.894566274223
t3,-0.0,-0.0,-0.0,-0.0,7550.0976367023,-0.0,5175.307694,0.0,0.0,0.0,12725.4053307023
t4,-0.0,-0.0,-0.0,-0.0,6619.9390186354385,-0.0,7197.966176204547,0.0,111.78853063050465,0.0,13929.693725470492
t5,-0.0,-0.0,-0.0,-0.0,5581.416942857406,-0.0,7575.1861459352185,190.9248490126183,1027.7027328468357,0.0,14375.230670652078
t6,-0.0,-0.0,-0.0,-0.0,6037.102250516493,-0.0,9308.681366061785,0.0,1060.1170291158187,0.0,16405.900645694095
t7,-0.0,-0.0,-0.0,-0.0,6695.330013106676,-0.0,5261.307693999999,912.5674093367717,0.0,0.0,12869.205116443447
t8,-0.0,-0.0,-0.0,-0.0,5873.740420422508,-0.0,7537.05117317685,530.8437335655505,1778.4878695598368,0.0,15720.123196724746
t9,-0.0,-0.0,-0.0,2619.1111448011425,8003.053643540275,2974.146189770402,5400.307693999999,0.0,0.0,0.0,18996.61867211182
t10,-0.0,-0.0,-0.0,4914.295439969408,2254.0447701089543,5832.382342029824,3163.748942308587,0.0,0.0,2285.5587516914125,18450.030246108185
t11,-0.0,-0.0,-0.0,6759.113037135086,145.29387971107874,7294.42940608879,1566.0335948553218,0.0,0.0,3902.2740991446785,19667.144016934955
t12,-0.0,-0.0,-0.0,6408.694028796175,387.8423880933112,8030.721576186954,903.4643184886622,0.0,0.0,4563.843375511337,20294.56568707644
t13,-0.0,-0.0,-0.0,6838.589513253189,926.6663192995211,7980.669514534485,648.9347429083836,0.0,0.0,4810.372951091616,21205.233041087195
t14,-0.0,-0.0,-0.0,6318.379851389239,405.14517925306046,6768.882758737865,444.7827631283979,0.0,0.0,5003.524930871602,18940.715483380165
t15,-0.0,-0.0,-0.0,5092.515416719096,68.36648610247366,5574.219076664456,806.477316065086,0.0,0.0,4637.8303779349135,16179.408673486025
t16,-0.0,-0.0,-0.0,3749.8446459359807,1946.4420165068386,4781.289047327972,1965.0242486361021,0.0,0.0,3482.283445363897,15924.883403770791
t17,-0.0,-0.0,-0.0,1312.5660449808026,2912.033907569086,2378.790088009454,4961.92074711488,627.277688584749,2763.404294403804,551.3869468851195,15507.379717547896
t18,-0.0,-0.0,-0.0,-0.0,5249.236371974446,-0.0,5610.307693999999,2658.843733565551,3010.9919180078973,0.0,16529.379717547894
t19,-0.0,-0.0,-0.0,-0.0,8785.256360617925,-0.0,10597.88416069287,2662.8437335655517,0.0,0.0,22045.984254876344
t20,-0.0,-0.0,-0.0,-0.0,3986.5107063955766,-0.0,11064.43508245742,2451.8437335655517,4214.717583586767,0.0,21717.507106005316
t21,-0.0,-0.0,-0.0,-0.0,6765.051485464315,-0.0,5526.307694,2895.8437335655512,448.54064712543897,0.0,15635.743560155304
t22,-0.0,-0.0,-0.0,-0.0,5903.833413288839,-0.0,11031.632985874629,1353.8437335655508,1984.3948766935046,0.0,20273.70500942252
t23,-0.0,-0.0,-0.0,-0.0,7680.79070215915,-0.0,5328.307693999999,589.8437335655515,0.0,0.0,13598.942129724699
t24,-0.0,-0.0,-0.0,-0.0,6927.102405914516,-0.0,5223.307694,0.0,332.6770085623432,0.0,12483.087108476859
t25,-0.0,-0.0,-0.0,-0.0,7556.496696163854,-0.0,10746.632985874629,0.0,0.0,0.0,18303.12968203848
t26,-0.0,-0.0,-0.0,-0.0,10193.13755058938,-0.0,5108.307693999999,0.0,0.0,0.0,15301.445244589378
t27,-0.0,-0.0,-0.0,-0.0,9404.95629359045,-0.0,10692.63298587463,0.0,0.0,0.0,20097.58927946508
t28,-0.0,-0.0,-0.0,-0.0,9928.330622220243,-0.0,5094.307693999999,0.0,0.0,0.0,15022.638316220242
t29,-0.0,-0.0,-0.0,-0.0,10582.962703096884,-0.0,10725.632985874627,0.0,0.0,0.0,21308.59568897151
t30,-0.0,-0.0,-0.0,-0.0,9671.648829696867,-0.0,5225.307693999999,0.0,0.0,0.0,14896.956523696866
t31,-0.0,-0.0,-0.0,-0.0,7237.7459865704595,-0.0,5407.307694,1165.8437335655522,595.4823034118846,0.0,14406.379717547898
t32,-0.0,-0.0,-0.0,-0.0,2862.993380600987,-0.0,11107.632985874629,2895.8437335655512,4189.063381189372,0.0,21055.533481230537
t33,-0.0,-0.0,-0.0,1312.5660449808026,3639.276953678792,1745.2363602505682,5531.307694,761.277688584749,2709.714976052984,0.0,15699.379717547896
t34,-0.0,-0.0,-0.0,3895.5515188191707,7953.00858193112,4009.4335702662106,11142.632985874629,0.0,0.0,0.0,27000.62665689113
t35,-0.0,-0.0,-0.0,4290.525521345503,4914.409927799536,3980.4560608884663,9188.919166723785,0.0,0.0,0.0,22374.31067675729
t36,-0.0,-0.0,-0.0,4556.651297437941,3497.1026924437124,5322.641608884941,5553.307694,0.0,0.0,0.0,18929.703292766593
t37,-0.0,-0.0,-0.0,4029.216501381436,6374.221787117425,3443.054977883008,9584.083990382118,0.0,0.0,0.0,23430.577256763987
t38,-0.0,-0.0,-0.0,3141.7291847292786,8578.190453857382,3626.140150769671,5528.307693999999,0.0,0.0,0.0,20874.36748335633
t39,-0.0,-0.0,-0.0,2867.174085412193,7970.177306731255,2547.3865062072446,5512.307693999999,0.0,0.0,0.0,18897.045592350692
t40,91.79999999999966,-0.0,-0.0,1573.8750649448705,7381.068300193405,2852.9675141907396,5513.307694,274.1686686206806,0.0,0.0,17687.187241949694
t41,91.79999999999966,-0.0,-0.0,320.3142825365995,5405.590737551935,239.72303212498372,11178.632985874629,2020.729451028953,2549.914520305426,0.0,21806.705009422523
t42,254.99999999999906,-0.0,-0.0,-0.0,8354.883614809258,-0.0,5678.307694,2895.8437335655512,45.34467517308727,0.0,17229.379717547894
t43,155.00000000000114,-0.0,-0.0,-0.0,9156.922262790142,-0.0,5664.307694,2895.8437335655512,0.0,0.0,17872.073690355694
t44,119.33999999999958,-0.0,-0.0,-0.0,9873.306213729335,-0.0,11212.632985874629,2553.503733565552,0.0,0.0,23758.782933169514
t45,119.33999999999958,-0.0,-0.0,-0.0,10339.303298372657,-0.0,5538.307694,2009.5037335655516,0.0,0.0,18006.45472593821
t46,27.539999999999903,-0.0,-0.0,-0.0,9867.122744441123,-0.0,5429.307693999999,1301.3037335655504,0.0,0.0,16625.274172006673
t47,27.539999999999903,-0.0,-0.0,-0.0,9375.419308811419,-0.0,5292.307694,298.3037335655521,0.0,0.0,14993.57073637697
t48,-0.0,-0.0,-0.0,-0.0,10473.873045138924,-0.0,10768.632985874629,0.0,0.0,0.0,21242.506031013552
t49,-0.0,-0.0,-0.0,-0.0,10714.429371314744,-0.0,5089.307693999999,0.0,0.0,0.0,15803.737065314743
t50,-0.0,-0.0,-0.0,-0.0,10759.182719934975,-0.0,5039.307694,0.0,0.0,0.0,15798.490413934975
t51,-0.0,-0.0,-0.0,-0.0,10796.055224192489,-0.0,10614.632985874629,0.0,0.0,0.0,21410.688210067117
t52,-0.0,-0.0,-0.0,-0.0,9204.111224932187,-0.0,5009.307693999999,0.0,0.0,0.0,14213.418918932186
t53,-0.0,-0.0,-0.0,-0.0,5993.82068669225,-0.0,5037.307694,0.0,0.0,0.0,11031.128380692251
t54,-0.0,-0.0,-0.0,-0.0,4723.504526948796,-0.0,5129.307693999999,0.0,1642.743673973353,0.0,11495.555894922149
t55,-0.0,-0.0,-0.0,-0.0,4972.335833771409,-0.0,10911.632985874627,468.8437335655511,2661.892456210935,0.0,19014.70500942252
t56,-0.0,-0.0,-0.0,-0.0,5674.971857365901,-0.0,5413.307694,2895.8437335655512,464.38034255368785,0.0,14448.503627485139
t57,-0.0,-0.0,-0.0,1213.8225443492192,8023.258704865489,2058.7203253370853,5423.307694,71.02118921633237,0.0,0.0,16790.130457768126
t58,-0.0,-0.0,-0.0,4300.159033602244,5372.378988480709,5642.711371557309,5417.307694,0.0,0.0,0.0,20732.557087640263
t59,-0.0,-0.0,-0.0,6532.7254991017,6747.37007969521,7609.230530692477,8589.314117715257,0.0,0.0,0.0,29478.640227204647
t60,-0.0,-0.0,-0.0,7618.904006049117,5781.746589263955,8562.854021123732,1833.417215818132,0.0,0.0,0.0,23796.921832254935
t61,-0.0,-0.0,-0.0,7903.092617622941,5576.198692514657,8735.401917873032,1409.2853002607094,0.0,0.0,0.0,23623.978528271342
t62,-0.0,-0.0,-0.0,7781.469525381601,5629.844059118812,8510.167640436923,1597.5135481685872,0.0,0.0,0.0,23518.994773105922
t63,-0.0,-0.0,-0.0,6794.034519065769,6861.115602442452,7398.485007945238,7929.069774767183,0.0,0.0,0.0,28982.70490422064
t64,-0.0,-0.0,-0.0,4761.363432893662,3667.191648159562,4915.639318079336,5374.307694,0.0,0.0,0.0,18718.502093132563
t65,-0.0,-0.0,-0.0,1867.6971887754353,10386.694491085054,2328.7380263569844,5441.307694,0.0,0.0,0.0,20024.437400217474
t66,-0.0,-0.0,-0.0,-0.0,7127.764583511538,-0.0,5564.307694,2313.8437335655517,1034.4637064708065,0.0,16040.379717547896
t67,-0.0,-0.0,-0.0,-0.0,7444.510871128134,-0.0,5565.307693999999,2323.8437335655517,719.7174188542101,0.0,16053.379717547896
t68,-0.0,-0.0,-0.0,-0.0,5771.348839628606,-0.0,11127.632985874629,2895.8437335655512,1468.5033154352416,0.0,21263.328874504026
t69,-0.0,-0.0,-0.0,-0.0,4916.676995315791,-0.0,5469.307693999999,1624.8437335655517,3048.551294666554,0.0,15059.379717547898
t70,-0.0,-0.0,-0.0,-0.0,8406.352397998944,-0.0,5371.307693999999,907.8437335655511,0.0,0.0,14685.503825564494
t71,-0.0,-0.0,-0.0,-0.0,9117.490011566417,-0.0,5250.307694,11.843733565552128,0.0,0.0,14379.641439131969
t72,-0.0,-0.0,-0.0,-0.0,9772.228890878712,-0.0,5135.307694,0.0,0.0,0.0,14907.536584878711
t73,-0.0,-0.0,-0.0,-0.0,9944.636963930352,-0.0,10661.632985874627,0.0,0.0,0.0,20606.269949804977
t74,-0.0,-0.0,-0.0,-0.0,8193.430080261154,-0.0,5025.307693999999,0.0,0.0,0.0,13218.737774261153
t75,-0.0,-0.0,-0.0,-0.0,8709.940137369802,-0.0,5008.307694,0.0,0.0,0.0,13718.247831369801
t76,-0.0,-0.0,-0.0,-0.0,10571.036306667738,-0.0,5009.307693999999,0.0,0.0,0.0,15580.344000667737
t77,-0.0,-0.0,-0.0,-0.0,10609.955954515977,-0.0,10639.632985874629,0.0,0.0,0.0,21249.588940390604
