region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,4.5198612471839535e8,0.0,0.0,7.109451475501733e7,0.0,0.0,3.752913397509199e7,2.375339315216122e8,0.0,1.9955106204771683e7,0.0,0.0,2.3126025667392855e9,0.0,0.0,0.0,0.0,0.0,1.4945037555644097e9,0.0,2.3126025667392855e9,2.3126025667392983e9,-1.2874603271484375e-5
CT,CT_natural_gas_combined_cycle,2,1,2,1.119295636497192e8,0.0,0.0,1.659775089105469e7,0.0,0.0,1.275640827215773e7,6.188357236528711e7,0.0,6.561805988424753e6,0.0,0.0,7.198737577659667e8,0.0,0.0,0.0,0.0,0.0,5.101446565993269e8,0.0,7.198737577659667e8,7.198737577659705e8,-3.814697265625e-6
ME,ME_natural_gas_combined_cycle,3,1,3,2.8111220605935376e7,0.0,0.0,7.002444876013657e6,0.0,0.0,4.28560697773297e6,2.3488410762893323e7,0.0,1.5641790588302913e6,0.0,0.0,1.8403738035444576e8,0.0,0.0,0.0,0.0,0.0,1.1958551807303913e8,0.0,1.8403738035444576e8,1.8403738035444474e8,1.0132789611816406e-6
MA,MA_solar_pv,1,1,4,1.6333597775961936e9,0.0,0.0,3.5922426058270335e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9925840381788998e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9925840381788998e9,1.992584038178897e9,2.86102294921875e-6
CT,CT_onshore_wind,2,1,5,9.72e8,0.0,0.0,4.3205e8,0.0,0.0,2.101724227104083e6,0.0,0.0,0.0,0.0,0.0,1.3541442884601536e9,0.0,0.0,0.0,0.0,0.0,0.0,5.200743576694714e7,1.3541442884601536e9,1.4061517242271042e9,-5.200743576695061e7
CT,CT_solar_pv,2,1,6,1.8352393590735908e9,0.0,0.0,4.0362356830270296e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2388629273763013e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2388629273763013e9,2.2388629273762937e9,7.62939453125e-6
ME,ME_onshore_wind,3,1,7,1.133715123368045e9,0.0,0.0,5.039317068427612e8,0.0,0.0,2.576135752687784e6,0.0,0.0,0.0,0.0,0.0,1.6402229659634972e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6402229659634972e9,1.640222965963494e9,3.0994415283203125e-6
MA,MA_battery,1,0,8,5.8925985018739015e7,6.2256217873045616e7,0.0,1.4728487370645806e7,1.5562670381603485e8,0.0,1.0702984079692606e6,0.0,1.264530255162164e6,0.0,2.6347987250152352e8,0.0,5.342560200611347e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.342560200611347e8,5.573520952431202e8,-2.3096075181985497e7
CT,CT_battery,2,0,9,1.4206259347014895e8,1.0208878917479238e8,0.0,3.550839435439027e7,2.5519927645205992e8,0.0,2.958825834958497e6,0.0,3.4957772152156094e6,0.0,1.0966082042759953e9,0.0,1.5706447752270043e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5706447752270043e9,1.6379218607775607e9,-6.727708555055642e7
ME,ME_battery,3,0,10,6.881206974135903e7,7.487081894898914e7,0.0,1.7199503747138094e7,1.871604020147696e8,0.0,1.275405155488758e6,0.0,1.5068586430632856e6,0.0,1.416901809828457e8,0.0,4.7808723551027095e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7808723551027095e8,4.9251523923365355e8,-1.4428003723382592e7
