Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,21955.259176378306,6.280737683285444e6,263965.89024750557,1.577832090063764e7,0.0,0.0,0.0,2.234497973334697e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,5870.366065124063,0.0,0.0,0.0,5870.366065124063
t2,0.0,0.0,0.0,0.0,0.0,0.0,2477.6787698437747,0.0,0.0,0.0,2477.6787698437747
t3,0.0,0.0,0.0,0.0,0.0,0.0,8026.937082977859,0.0,0.0,0.0,8026.937082977859
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,2516.5022312326723,0.0,7996.61537046274,0.0,0.0,0.0,10513.117601695412
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,4653.793431233053,0.0,0.0,0.0,4653.793431233053
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,2012.8408100000001,0.0,2717.816028442858,0.0,0.0,0.0,4730.656838442858
t11,0.0,0.0,0.0,0.0,129.74607000000003,0.0,1345.2999219565256,0.0,0.0,0.0,1475.0459919565255
t12,0.0,0.0,0.0,0.0,346.33960999999994,0.0,776.1203087508419,0.0,0.0,0.0,1122.4599187508418
t13,0.0,0.0,0.0,0.0,827.50432,0.0,557.4668780143123,0.0,0.0,0.0,1384.9711980143124
t14,0.0,0.0,0.0,0.0,361.79084,0.0,382.0902811344362,0.0,0.0,0.0,743.8811211344362
t15,0.0,0.0,0.0,0.0,61.05063,0.0,692.8037009718824,0.0,0.0,0.0,753.8543309718824
t16,0.0,0.0,0.0,0.0,726.4237575830239,0.0,0.0,0.0,0.0,0.0,726.4237575830239
t17,0.0,0.0,0.0,0.0,0.0,0.0,2300.2095277717317,0.0,0.0,0.0,2300.2095277717317
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,7419.2747737837435,0.0,0.0,0.0,7419.2747737837435
t21,0.0,0.0,0.0,0.0,0.0,0.0,85.88717022042758,0.0,0.0,0.0,85.88717022042758
t22,0.0,0.0,0.0,0.0,0.0,0.0,521.5711609860634,0.0,0.0,0.0,521.5711609860634
t23,0.0,0.0,0.0,0.0,0.0,0.0,212.14631093762824,0.0,0.0,0.0,212.14631093762824
t24,0.0,0.0,0.0,0.0,0.0,0.0,4068.8805813257654,0.0,0.0,0.0,4068.8805813257654
t25,0.0,0.0,0.0,0.0,0.0,0.0,1033.4032101166529,0.0,0.0,0.0,1033.4032101166529
t26,0.0,0.0,0.0,0.0,0.0,0.0,8016.911168334815,0.0,0.0,0.0,8016.911168334815
t27,0.0,0.0,0.0,0.0,0.0,0.0,1626.0470971581408,0.0,0.0,0.0,1626.0470971581408
t28,0.0,0.0,0.0,0.0,0.0,0.0,2178.21758615951,0.0,0.0,0.0,2178.21758615951
t29,0.0,0.0,0.0,0.0,0.0,0.0,8873.792502622715,0.0,0.0,0.0,8873.792502622715
t30,0.0,0.0,0.0,0.0,0.0,0.0,1363.179158128105,0.0,0.0,0.0,1363.179158128105
t31,0.0,0.0,0.0,0.0,0.0,0.0,8028.108305716682,0.0,0.0,0.0,8028.108305716682
t32,0.0,0.0,0.0,0.0,0.0,0.0,2183.884915862736,0.0,0.0,0.0,2183.884915862736
t33,0.0,0.0,0.0,0.0,0.0,0.0,2232.6233485728953,0.0,0.0,0.0,2232.6233485728953
t34,0.0,0.0,0.0,0.0,0.0,0.0,10077.097918350777,0.0,0.0,0.0,10077.097918350777
t35,0.0,0.0,0.0,0.0,0.0,0.0,10432.17187259005,0.0,0.0,0.0,10432.17187259005
t36,0.0,0.0,0.0,0.0,0.0,0.0,8506.558858349348,0.0,0.0,0.0,8506.558858349348
t37,0.0,0.0,0.0,0.0,0.0,0.0,616.8140238478142,0.0,0.0,0.0,616.8140238478142
t38,0.0,0.0,0.0,0.0,0.0,0.0,6784.686433233945,0.0,0.0,0.0,6784.686433233945
t39,0.0,0.0,0.0,0.0,0.0,0.0,4528.806509100578,0.0,0.0,0.0,4528.806509100578
t40,0.0,0.0,0.0,0.0,0.0,0.0,7786.782343742372,0.0,0.0,0.0,7786.782343742372
t41,0.0,0.0,0.0,0.0,0.0,0.0,2724.602833444621,0.0,0.0,0.0,2724.602833444621
t42,0.0,0.0,0.0,0.0,0.0,0.0,8842.759305029691,0.0,0.0,0.0,8842.759305029691
t43,0.0,0.0,0.0,0.0,0.0,0.0,1380.4561372966582,0.0,0.0,0.0,1380.4561372966582
t44,0.0,0.0,0.0,0.0,0.0,0.0,8824.147363603095,0.0,0.0,0.0,8824.147363603095
t45,0.0,0.0,0.0,0.0,8075.633509478034,0.0,1530.5270801579738,0.0,0.0,0.0,9606.160589636009
t46,0.0,0.0,0.0,0.0,0.0,0.0,9401.29205554183,0.0,0.0,0.0,9401.29205554183
t47,0.0,0.0,0.0,0.0,0.0,0.0,2820.04696573088,0.0,0.0,0.0,2820.04696573088
t48,0.0,0.0,0.0,0.0,0.0,0.0,9777.741246428997,0.0,0.0,0.0,9777.741246428997
t49,0.0,0.0,0.0,0.0,0.0,0.0,1580.9648114667177,0.0,0.0,0.0,1580.9648114667177
t50,0.0,0.0,0.0,0.0,0.0,0.0,7624.9715034403835,0.0,0.0,0.0,7624.9715034403835
t51,0.0,0.0,0.0,0.0,0.0,0.0,5285.300361976898,0.0,0.0,0.0,5285.300361976898
t52,0.0,0.0,0.0,0.0,0.0,0.0,8249.57186190688,0.0,0.0,0.0,8249.57186190688
t53,0.0,0.0,0.0,0.0,0.0,0.0,751.7103109092691,0.0,0.0,0.0,751.7103109092691
t54,0.0,0.0,0.0,0.0,0.0,0.0,8112.330106052006,0.0,0.0,0.0,8112.330106052006
t55,0.0,0.0,0.0,0.0,0.0,0.0,4850.130936481347,0.0,0.0,0.0,4850.130936481347
t56,0.0,0.0,0.0,0.0,4175.194979208312,0.0,8928.663452599236,0.0,0.0,0.0,13103.858431807548
t57,0.0,0.0,0.0,0.0,0.0,0.0,217.61148128905816,0.0,0.0,0.0,217.61148128905816
t58,0.0,0.0,0.0,0.0,2755.368412320899,0.0,8615.636354673981,0.0,0.0,0.0,11371.00476699488
t59,0.0,0.0,0.0,0.0,7089.9189775345685,0.0,3457.859110269867,0.0,0.0,0.0,10547.778087804436
t60,0.0,0.0,0.0,0.0,6293.49351,0.0,7395.6469917120785,0.0,0.0,0.0,13689.140501712078
t61,0.0,0.0,0.0,0.0,7357.23257,0.0,8369.617921802099,0.0,0.0,0.0,15726.850491802099
t62,0.0,0.0,0.0,0.0,5027.39787,0.0,7931.40441481495,0.0,0.0,0.0,12958.802284814949
t63,0.0,0.0,0.0,0.0,7073.46141,0.0,4016.730802704349,0.0,0.0,0.0,11090.192212704349
t64,0.0,0.0,0.0,0.0,0.0,0.0,8605.09484518043,0.0,0.0,0.0,8605.09484518043
t65,0.0,0.0,0.0,0.0,9275.22063,0.0,3508.5690732684984,0.0,0.0,0.0,12783.789703268498
t66,0.0,0.0,0.0,0.0,0.0,0.0,7799.69351389112,0.0,0.0,0.0,7799.69351389112
t67,0.0,0.0,0.0,0.0,0.0,0.0,1022.9059771075324,0.0,0.0,0.0,1022.9059771075324
t68,0.0,0.0,0.0,0.0,0.0,0.0,8738.154889176547,0.0,0.0,0.0,8738.154889176547
t69,0.0,0.0,0.0,0.0,3377.7886398651713,0.0,1909.2238786457312,0.0,0.0,0.0,5287.012518510903
t70,0.0,0.0,0.0,0.0,0.0,0.0,7479.187247469341,0.0,0.0,0.0,7479.187247469341
t71,0.0,0.0,0.0,0.0,0.0,0.0,6881.292406179907,0.0,0.0,0.0,6881.292406179907
t72,0.0,0.0,0.0,0.0,0.0,0.0,5454.824749486265,0.0,0.0,0.0,5454.824749486265
t73,0.0,0.0,0.0,0.0,0.0,0.0,7705.627154418291,0.0,0.0,0.0,7705.627154418291
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0,7741.333976885966,0.0,8912.31287666221,0.0,0.0,0.0,16653.646853548176
t76,0.0,0.0,0.0,0.0,0.0,0.0,7672.232369091962,0.0,0.0,0.0,7672.232369091962
t77,0.0,0.0,0.0,0.0,0.0,0.0,1775.0469552374107,0.0,0.0,0.0,1775.0469552374107
t78,0.0,0.0,0.0,0.0,0.0,0.0,6758.3259402613085,0.0,0.0,0.0,6758.3259402613085
t79,0.0,0.0,0.0,0.0,0.0,0.0,9512.936406458686,0.0,0.0,0.0,9512.936406458686
t80,0.0,0.0,0.0,0.0,6630.332850105657,0.0,3289.9747202653966,0.0,0.0,0.0,9920.307570371053
t81,0.0,0.0,0.0,0.0,0.0,0.0,6549.783330879862,0.0,0.0,0.0,6549.783330879862
t82,0.0,0.0,0.0,0.0,6410.20477,0.0,10528.744572750085,0.0,0.0,0.0,16938.949342750086
t83,0.0,0.0,0.0,0.0,6130.622543768286,0.0,10668.592893738245,0.0,0.0,0.0,16799.21543750653
t84,0.0,0.0,0.0,0.0,7683.9965600000005,0.0,6238.956830841356,0.0,0.0,0.0,13922.953390841358
t85,0.0,0.0,0.0,0.0,3775.235068599017,0.0,11431.430470135361,0.0,0.0,0.0,15206.665538734378
t86,0.0,0.0,0.0,0.0,3573.1057800625726,0.0,5789.084716418418,0.0,0.0,0.0,9362.190496480991
t87,0.0,0.0,0.0,0.0,4708.871818444173,0.0,10200.139028793441,0.0,0.0,0.0,14909.010847237614
t88,0.0,0.0,0.0,0.0,0.0,0.0,10609.022893980833,0.0,0.0,0.0,10609.022893980833
t89,0.0,0.0,0.0,0.0,0.0,0.0,1338.0051959884795,0.0,0.0,0.0,1338.0051959884795
t90,0.0,0.0,0.0,0.0,0.0,0.0,1513.4798920021187,0.0,0.0,0.0,1513.4798920021187
t91,0.0,0.0,0.0,0.0,0.0,0.0,1126.3048580156453,0.0,0.0,0.0,1126.3048580156453
t92,0.0,0.0,0.0,0.0,0.0,0.0,1422.166106998951,0.0,0.0,0.0,1422.166106998951
t93,0.0,0.0,0.0,0.0,0.0,0.0,7868.884355106002,0.0,0.0,0.0,7868.884355106002
t94,0.0,0.0,0.0,0.0,0.0,0.0,8303.742438195894,0.0,0.0,0.0,8303.742438195894
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0,0.0,0.0,653.3373147056257,0.0,0.0,0.0,653.3373147056257
t97,0.0,0.0,0.0,0.0,0.0,0.0,6445.171660205818,0.0,0.0,0.0,6445.171660205818
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0,0.0,0.0,5722.668247567889,0.0,0.0,0.0,5722.668247567889
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0,0.0,0.0,2068.357039665693,0.0,0.0,0.0,2068.357039665693
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t108,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-13,0.0,0.0,0.0,2.220446049250313e-13
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,0.0,0.0,0.0,470.0209465503331,0.0,0.0,0.0,470.0209465503331
t122,0.0,0.0,0.0,0.0,0.0,0.0,587.0531733697053,0.0,0.0,0.0,587.0531733697053
t123,0.0,0.0,0.0,0.0,0.0,0.0,740.1176792495505,0.0,0.0,0.0,740.1176792495505
t124,0.0,0.0,0.0,0.0,0.0,0.0,8075.785655085767,0.0,0.0,0.0,8075.785655085767
t125,0.0,0.0,0.0,0.0,0.0,0.0,263.5486158595253,0.0,0.0,0.0,263.5486158595253
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0,0.0,0.0,7488.7868832301165,0.0,0.0,0.0,7488.7868832301165
t129,0.0,0.0,0.0,0.0,0.0,0.0,2207.745444984855,0.0,0.0,0.0,2207.745444984855
t130,0.0,0.0,0.0,0.0,0.0,0.0,2036.0365798737732,0.0,0.0,0.0,2036.0365798737732
t131,0.0,0.0,0.0,0.0,0.0,0.0,2414.5982528878294,0.0,0.0,0.0,2414.5982528878294
t132,0.0,0.0,0.0,0.0,0.0,0.0,9449.011197054058,0.0,0.0,0.0,9449.011197054058
t133,0.0,0.0,0.0,0.0,0.0,0.0,1933.368845848033,0.0,0.0,0.0,1933.368845848033
t134,0.0,0.0,0.0,0.0,0.0,0.0,1218.7320896381627,0.0,0.0,0.0,1218.7320896381627
t135,0.0,0.0,0.0,0.0,0.0,0.0,8282.03428324398,0.0,0.0,0.0,8282.03428324398
t136,0.0,0.0,0.0,0.0,0.0,0.0,1463.0911711946073,0.0,0.0,0.0,1463.0911711946073
t137,0.0,0.0,0.0,0.0,0.0,0.0,728.9896446245497,0.0,0.0,0.0,728.9896446245497
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0,0.0,0.0,5643.30774457517,0.0,0.0,0.0,5643.30774457517
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0,0.0,0.0,3905.1118150410043,0.0,0.0,0.0,3905.1118150410043
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0,0.0,0.0,6669.813108724499,0.0,0.0,0.0,6669.813108724499
t144,0.0,0.0,0.0,0.0,0.0,0.0,8128.1773492890925,0.0,0.0,0.0,8128.1773492890925
t145,0.0,0.0,0.0,0.0,0.0,0.0,2603.3751749629505,0.0,0.0,0.0,2603.3751749629505
t146,0.0,0.0,0.0,0.0,0.0,0.0,10097.890161025083,0.0,0.0,0.0,10097.890161025083
t147,0.0,0.0,0.0,0.0,0.0,0.0,10146.130181266855,0.0,0.0,0.0,10146.130181266855
t148,0.0,0.0,0.0,0.0,0.0,0.0,10114.499966415637,0.0,0.0,0.0,10114.499966415637
t149,0.0,0.0,0.0,0.0,0.0,0.0,7079.314027703402,0.0,0.0,0.0,7079.314027703402
t150,0.0,0.0,0.0,0.0,0.0,0.0,9816.56115123917,0.0,0.0,0.0,9816.56115123917
t151,0.0,0.0,0.0,0.0,0.0,0.0,2494.7683751458067,0.0,0.0,0.0,2494.7683751458067
t152,0.0,0.0,0.0,0.0,0.0,0.0,10952.76323157731,0.0,0.0,0.0,10952.76323157731
t153,0.0,0.0,0.0,0.0,0.0,0.0,3157.1633914555778,0.0,0.0,0.0,3157.1633914555778
t154,0.0,0.0,0.0,0.0,1192.67933,0.0,8378.465891843309,0.0,0.0,0.0,9571.145221843308
t155,0.0,0.0,0.0,0.0,0.785,0.0,5384.884996792407,0.0,0.0,0.0,5385.669996792407
t156,0.0,0.0,0.0,0.0,0.0,0.0,1704.0083268026729,0.0,0.0,0.0,1704.0083268026729
t157,0.0,0.0,0.0,0.0,212.36543999999998,0.0,2793.5082695104015,0.0,0.0,0.0,3005.8737095104016
t158,0.0,0.0,0.0,0.0,2796.01127,1604.4809836800162,2268.480857741619,0.0,0.0,0.0,6668.973111421635
t159,0.0,0.0,0.0,0.0,4642.7834,0.0,191.2006593835607,0.0,0.0,0.0,4833.984059383561
t160,0.0,0.0,0.0,0.0,4343.9915858467675,0.0,2212.3891706306085,0.0,0.0,0.0,6556.380756477376
t161,0.0,0.0,0.0,0.0,9890.60044,0.0,3906.9528972629014,0.0,0.0,0.0,13797.553337262902
t162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t163,0.0,0.0,0.0,0.0,0.0,0.0,6478.393163499061,0.0,0.0,0.0,6478.393163499061
t164,0.0,0.0,0.0,0.0,0.0,0.0,1392.597563455693,0.0,0.0,0.0,1392.597563455693
t165,0.0,0.0,0.0,0.0,0.0,0.0,2479.131012337071,0.0,0.0,0.0,2479.131012337071
t166,0.0,0.0,0.0,0.0,0.0,0.0,5441.447230200737,0.0,0.0,0.0,5441.447230200737
t167,0.0,0.0,0.0,0.0,0.0,0.0,9835.464182862788,0.0,0.0,0.0,9835.464182862788
t168,0.0,0.0,0.0,0.0,0.0,0.0,2874.2486288823807,0.0,0.0,0.0,2874.2486288823807
t169,0.0,0.0,0.0,0.0,0.0,0.0,9869.105419300771,0.0,0.0,0.0,9869.105419300771
t170,0.0,0.0,0.0,0.0,0.0,0.0,9587.57273879254,0.0,0.0,0.0,9587.57273879254
t171,0.0,0.0,0.0,0.0,0.0,0.0,9901.137223237864,0.0,0.0,0.0,9901.137223237864
t172,0.0,0.0,0.0,0.0,0.0,0.0,6996.198370410606,0.0,0.0,0.0,6996.198370410606
t173,0.0,0.0,0.0,0.0,9758.29639388884,0.0,9973.02938693909,0.0,0.0,0.0,19731.32578082793
t174,0.0,0.0,0.0,0.0,0.0,0.0,6836.7632903749945,0.0,0.0,0.0,6836.7632903749945
t175,0.0,0.0,0.0,0.0,9433.31955605888,0.0,9795.67502118463,0.0,0.0,0.0,19228.99457724351
t176,0.0,0.0,0.0,0.0,9227.527766530138,0.0,6514.424447031358,0.0,0.0,0.0,15741.952213561497
t177,0.0,0.0,0.0,0.0,8000.706678302201,0.0,11543.683710135045,0.0,0.0,0.0,19544.390388437245
t178,0.0,0.0,0.0,0.0,9938.39562,0.0,11487.10589017808,0.0,0.0,0.0,21425.50151017808
t179,0.0,0.0,0.0,0.0,9664.79957,0.0,6724.972913146493,0.0,0.0,0.0,16389.77248314649
t180,0.0,0.0,0.0,0.0,9976.29941,0.0,11663.257530640598,0.0,0.0,0.0,21639.5569406406
t181,0.0,0.0,0.0,0.0,9555.816050000001,666.079405907471,11573.178113867238,0.0,0.0,0.0,21795.07356977471
t182,0.0,0.0,0.0,2110.103559104614,9729.86162,0.0,11651.47089401896,0.0,0.0,0.0,23491.436073123572
t183,0.0,0.0,0.0,0.0,9824.50366,0.0,11663.735837119806,0.0,0.0,0.0,21488.23949711981
t184,0.0,0.0,0.0,0.0,8208.407470495791,0.0,6748.6518020820085,0.0,0.0,0.0,14957.0592725778
t185,0.0,0.0,0.0,0.0,9001.590161467842,0.0,11613.433713557473,0.0,0.0,0.0,20615.023875025316
t186,0.0,0.0,0.0,0.0,9961.99787,0.0,9564.705123720165,0.0,0.0,0.0,19526.702993720166
t187,0.0,0.0,0.0,0.0,0.0,0.0,2265.7037501966124,0.0,0.0,0.0,2265.7037501966124
t188,0.0,0.0,0.0,0.0,0.0,0.0,9242.084757305422,0.0,0.0,0.0,9242.084757305422
t189,0.0,0.0,0.0,0.0,0.0,0.0,9378.243781740219,0.0,0.0,0.0,9378.243781740219
t190,0.0,0.0,0.0,0.0,0.0,0.0,1394.3821497823094,0.0,0.0,0.0,1394.3821497823094
t191,0.0,0.0,0.0,0.0,0.0,0.0,9928.456108152579,0.0,0.0,0.0,9928.456108152579
t192,0.0,0.0,0.0,0.0,0.0,0.0,644.3189629239452,0.0,0.0,0.0,644.3189629239452
t193,0.0,0.0,0.0,0.0,1989.5057479063832,0.0,8026.009010375646,0.0,0.0,0.0,10015.514758282028
t194,0.0,0.0,0.0,0.0,0.0,0.0,654.3310145386486,0.0,0.0,0.0,654.3310145386486
t195,0.0,0.0,0.0,0.0,0.0,0.0,4352.15891831589,0.0,0.0,0.0,4352.15891831589
t196,0.0,0.0,0.0,0.0,0.0,0.0,7050.538381587639,0.0,0.0,0.0,7050.538381587639
t197,0.0,0.0,0.0,0.0,0.0,0.0,7128.22955706226,0.0,0.0,0.0,7128.22955706226
t198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t199,0.0,0.0,0.0,0.0,0.0,0.0,7115.532867313083,0.0,0.0,0.0,7115.532867313083
t200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t201,0.0,0.0,0.0,0.0,9750.517010000001,0.0,8431.108798887055,0.0,0.0,0.0,18181.625808887056
